dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
01/04/2010 00:00,ACCKXNIA50698568,Scope Lens,AWYB85,UACN81,18120.0,USD,800,07/04/2011,22.65,USD,20.89
01/04/2010 00:00,TFVNUIEV14019758,Stocks,IJPI82,BBAX06,3733800.0,USD,70000,10/07/2013,53.34,USD,57.62
01/04/2010 00:01,FNWDJUUU69090445,Key of Kings,DOGG07,KKZA87,846796.78,SRD,500,09/04/2013,263.5,USD,1492.86
01/04/2010 00:02,JXKUFGPG37285835,Kicking Boots,ISWT83,SHXQ48,50240.95,BMD,400,18/06/2012,113.38,USD,105.85
01/04/2010 00:02,GBRDOBZX63468353,Iron Spiders,AMBT33,ZFHD93,13181000.0,USD,50000,14/12/2014,263.62,USD,244.31
01/04/2010 00:02,MSPKBJRP62459549,Stocks,WWNS72,GSTD71,3228425.77,COP,400,23/08/2011,29.27,CDF,7348.36
01/04/2010 00:02,EVPNANTV62902177,Stocks,UHOG52,INIL60,2836400.0,USD,70000,18/08/2014,40.52,USD,32.42
01/04/2010 00:02,RFREONDQ76833368,Tarkartan Blades,WVHK10,WHPS18,338281.48,GBP,200,17/11/2012,174.94,USD,1903.76
01/04/2010 00:03,XNJSUQNO27159994,Mimett Greens,NGBA40,NFAH30,814730.0,USD,7000,06/02/2012,116.39,USD,135.71
01/04/2010 00:03,PHFEOBIY11257554,Bold Hunter's Marks,MYXF05,MFJJ99,147550.0,USD,1000,28/10/2013,147.55,USD,164.11
01/04/2010 00:03,HDCIWMZE13123904,Stocks,UACN81,RQGG65,28833.0,USD,700,11/07/2012,41.19,USD,37.43
01/04/2010 00:04,UXROFRIU27199554,Stocks,NCYN50,WWNS72,20236873.72,ARS,4000,13/05/2014,176.47,USD,5870.72
01/04/2010 00:06,LVRJBWPT18153316,Stocks,BBJG05,LWGE44,683200.0,USD,80000,09/12/2012,8.54,USD,7.92
01/04/2010 00:06,OYEIFIWI93513687,Stocks,HPTP65,ZDAI73,1136520.0,USD,7000,15/07/2014,162.36,USD,157.19
01/04/2010 00:06,RZRHLHIR58109086,Potions of Acid,MDEQ10,RJCA92,213456.0,USD,600,17/01/2013,355.76,USD,316.44
01/04/2010 00:07,OSZTHYDB85902851,Stocks,RJCA92,HWJF09,3074200.0,USD,20000,22/01/2015,13380.93,GNF,128.55
01/04/2010 00:07,YRYNHUZK61356688,Snowballs,NQJL85,YSSR29,17922.0,USD,300,17/04/2014,59.74,USD,55.13
