companyName, companyTradeID
Blue Sun Corporation,QETH27
Kordco,DVVB31
M & M Enterprises,EMNK67
Kramerica Industries,KTLA69
Nakamoto Industries,EIWJ22
Shinra,SFZS08
Slaughterhousing Ltd.,YSSR29
State Og,SWGF93
Sinclair Solutions,YTAI13
Venture Industries,NGBA40
Altimit Corporation,CMZC67
Applied Cryogenics,PJKH65
Axon,HWHS51
Barrytron Limited,ZBIO05
Black Sun Systems Inc.,YWMD69
Com Tron Industries,EPZN28
CompuTech,VAHJ53
CyberAcme Systems Inc.,HWJF09
Cyberbiotics,AGBH66
Cyberdyne Systems Corporation,TFLS35
Daystrom Data Concepts,VPTI00
Data Systems,FORM54
Mitch and Murray,QLCE04
Digicom,WIZJ73
The Kengan Association,UFAY59
Atlas Corp.,DJNE62
Humanidyne Institute,GBEZ65
International Data Corporation,SXHU74
Initech,DOGG07
Cerberus,HPTP65
Initrode,GIWG34
International Technology Corporation,QHXJ50
Life Extension,ERHJ34
Olivia Pope and Associates,ZEHM52
Team Rocket,TBVE46
Peptic Thunder,RJUD59
Oceanic,PKBF70
Wolfram and Hart,BPLN25
Prestige Worldwide,WVEI17
Dunder Mifflin,VESX21
Dexter Industries,UWUK72
Shadaloo,SHXQ48
Eden Hall,TRFG21
Outer Haven,SEKK26
A.I.M.,EKXA24
Abstergo Industries,PNFK78
Medetic,HFLM11
Sovereign Colonies Armed Forces,VIMV38
Silver Shamrock Novelties,DDIB11
Metacortex,LBKT00
M.I.B.,WVHK10
Rothwild,EWUY52
Hunter's Mark,UHOG52
The Hellsing Organisation,GYWU23
DedSec,THJF58
The Fireflies,QAZT26
Hudsucker Industries,MEOQ86
Iscariot,KKZA87
Kiki's Delivery Service,CQPJ57
The Speedwagon Foundation,SAAM06
Wayne Enterprises,QOKP03
MicroData,LKPN86
Tyrell Corporation,SFEO61
Ono,OKYS51
The Daily Planet,MHFC34
Planet Express,UIKN63
The Syndicate,CIXF70
Wonkas,WYFO79
Kaibacorp,SBUT62
Rare Exports Inc.,DREA89
Gekko and Co.,RNZB01
Brawndo,ZFHD93
Brushwood Country Club,NFAH30
Quark Industries,KUWI70
Rekall Inc.,CVMG22
Quick Stop,HSWX88
Gentek,VLJL11
Genco Pura Olive Oil Company,VCSF07
Union Aerospace Corporation,IIZF28
Omni Consumer Products,VVXA11
Serano Genomics Inc.,BDBU00
Techno Union,FTFI87
Canyon Entertainment,DNIL23
Tokra Electronics,ZVEN26
Wario Ware Inc.,CBOX52
Zorin Industries,LIIS96
Gen-U-Tech,FDWI64
Globo Gym American Corp.,NCYN50
Insuricare,MRAH32
Career Tranisitions Corporation,FGVK43
Lacuna Inc.,IJPI82
LesterCorp,AHMZ79
Macmillan Toys,TVQQ54
The New Firm,SUOX82
Fink Manufacturing,QODV38
TranStar,TGZI54
Shoreline,BMRZ75
Shimago-Dominguez Corporation,QWOA67
Zap-Em,UEVD88
New York Inquirer,ITTS26
Sterling Cooper,ZELV96
FEISAR,RFZG50
AG Systems,PIFN94
Assegai Developments,YLGZ72
InGen,ZSXF19
Megadodo Publications,IZLM67
Parallax Corporation,ORQH73
Murdock and Nelson,QLMY86
Cage and Fish,VGYT30
Mustang Arms,DGTY64
Multi National United,RJCA92
Ultro Corporation,JXGF57
Millennium Group,ZDAI73
Jupiter Mining Corporation,TKVF94
Lexoil,XRBV61
Adventure Land,QCRG59
Roxxon,GZED20
Weyland-Yutani,VTKE98
WestStar,TYAE14
Crimson Permanent Assurance,OPET16
Anaheim Electronics,KEVJ11
Spectacular Optical,DBCS17
Bubba Gump,IZTD25
BLAND Corporation,KKGI60
Burleigh and Stronginthearm,XHYN07
Displace Internation,OPZI26
Kenbishi Industries,HNLV68
Diamond Dogs,ZNQA84
MIP Company,IBLA29
Spectre,SZRJ90
Duke and Duke,HYSJ42
Nordyne Defense Dynamics,RLZK87
Oscorp,NCCX02
Buy N Large,PVAZ61
X-Com,QBVN33
Paper Street,RDBE21
Umbrella Corp.,FGQR22
Axis Chemical Co.,KKGY69
SoroSuub,NCXS33
Devon Corporation,NQJL85
Capsule Corp.,BBAX06
Ajax,PQSW95
Acme,VXSM31
Zero-One Heavy Industry Corporation,LAUA80
Okama,QXFF29
Heartland Play Systems,LWGE44
Cybot Galactica,AMBT33
Sarif Industries,MFZY76
Cobra,BBJG05
Ollivander's,UACN81
Vault-Tec,NXTO39
Montana Management,INIL60
Scolex Industries,MKHA46
Godtube,OUNH49
Universal Exports,MYXF05
Ankh Futures,GSTD71
Gringotts,TQSJ85
Nakatomi Trading Corporation,GGLV00
30th Century Fox,AYIH50
FOX,RQGG65
Fox Hound,OHKH76
Monsters Inc.,WWNS72
Wesayso Development Corporation,SRYE59
Bluth Company,MFJJ99
Lunar Industries,VVBY18
Globex Corporation,KRRO64
Stark Industries,JZTC69
Starfleet,KRXZ15
Arasaka,QMZU44
Resources Development Administration,OQXV70
Xanatos Industries,FYYD57
Bug's Construction,OCQF34
Coralessian Company,EDYH00
T'orrud Cabal,ISWT83
Tallian League,QBAP68
Rat Catchers,AMRO66
WCI 31,YOQG45
The Worst Generation,ESPL27
The Straw Hat Grand Fleet,VKMV12
Baroque Works,FAWI50
Freeman Privateers,SMYT95
Korelri Compact,YCZA59
Wax Masons,ZMLP81
Trygalle Trade Guild,MDEQ10
Sto Plains Holdings,JVHD93
Hooli,SXTM39
Black Mesa,HHFP66
Meskor Engineering,JCWS17
Apature Science,HHOA99
Damage Control,MSHS03
S.H.I.E.L.D.,YFAM59
Consumer Recreation Services,CAVR54
TGS,HXDA52
Soylent Corporation,PBFW95
Pierce and Pierce,CMOI26
The Vinsmoke Family,FJOI82
Germa 66,WHPS18
The Black Order,CUVZ50
The Noah Family,ZXVX98
CROW,LIJW00
Industrial Illusions,AWYB85
Passione,DILF10
