date,currency,valueInUSD
11/02/2010,AFN,9.9336
11/02/2010,ALL,1.9804
11/02/2010,DZD,3.8842
11/02/2010,AOA,6.4933
11/02/2010,ARS,28.8593
11/02/2010,AMD,8.3635
11/02/2010,AWG,8.6304
11/02/2010,AUD,67.5123
11/02/2010,AZN,5.5244
11/02/2010,BSD,5.4153
11/02/2010,BHD,2.9498
11/02/2010,BDT,7.2508
11/02/2010,BBD,85.0467
11/02/2010,BYR,6.712
11/02/2010,BZD,4.9723
11/02/2010,BMD,1.0195
11/02/2010,BTN,7.1851
11/02/2010,BOB,34.4595
11/02/2010,BAM,0.3639
11/02/2010,BWP,2.8395
11/02/2010,BRL,10.0546
11/02/2010,GBP,9.4748
11/02/2010,BND,0.3093
11/02/2010,BGN,0.118
11/02/2010,BIF,2.1366
11/02/2010,XOF,6.2839
11/02/2010,XAF,5.2014
11/02/2010,XPF,0.4092
11/02/2010,KHR,4.3465
11/02/2010,CAD,27.9293
11/02/2010,CVE,9.2691
11/02/2010,KYD,8.1504
11/02/2010,CLP,8.9263
11/02/2010,CNY,7.5542
11/02/2010,COP,66.4919
11/02/2010,KMF,5.7737
11/02/2010,CDF,0.2096
11/02/2010,CRC,1.4409
11/02/2010,HRK,92.3585
11/02/2010,CUC,5.7865
11/02/2010,CUP,2.6352
11/02/2010,CZK,5.0148
11/02/2010,DKK,1.3404
11/02/2010,DJF,8.0927
11/02/2010,DOP,7.6161
11/02/2010,XCD,50.9044
11/02/2010,EGP,5.8265
11/02/2010,SVC,4.1338
11/02/2010,ETB,13.5407
11/02/2010,FKP,9.204
11/02/2010,FJD,9.7688
11/02/2010,GMD,9.808
11/02/2010,GEL,4.9125
11/02/2010,GHS,9.1136
11/02/2010,GIP,7.2586
11/02/2010,GTQ,0.7188
11/02/2010,GNF,92.8985
11/02/2010,GYD,3.9101
11/02/2010,HTG,26.9336
11/02/2010,HNL,3.3044
11/02/2010,HKD,3.9771
11/02/2010,HUF,2.932
11/02/2010,ISK,3.1653
11/02/2010,INR,34.7441
11/02/2010,IDR,6.0002
11/02/2010,IRR,9.7487
11/02/2010,IQD,9.3177
11/02/2010,ILS,8.9238
11/02/2010,JMD,0.8718
11/02/2010,JPY,0.0498
11/02/2010,JOD,2.6978
11/02/2010,KZT,3.798
11/02/2010,KES,5.3717
11/02/2010,KWD,7.9644
11/02/2010,KGS,7.4696
11/02/2010,LAK,8.5112
11/02/2010,LBP,8.4753
11/02/2010,LSL,2.0999
11/02/2010,LRD,6.2528
11/02/2010,LYD,12.6041
11/02/2010,MOP,1.1461
11/02/2010,MKD,6.0652
11/02/2010,MGA,5.6602
11/02/2010,MWK,9.5005
11/02/2010,MYR,54.0341
11/02/2010,MVR,7.5087
11/02/2010,MRO,2.1851
11/02/2010,MUR,95.0287
11/02/2010,MXN,4.9988
11/02/2010,MDL,8.0988
11/02/2010,MNT,0.2078
11/02/2010,MAD,2.2032
11/02/2010,MZN,8.7238
11/02/2010,MMK,2.6459
11/02/2010,ANG,7.8318
11/02/2010,NAD,3.4648
11/02/2010,NPR,1.4212
11/02/2010,NZD,2.7544
11/02/2010,NIO,1.8323
11/02/2010,NGN,0.147
11/02/2010,KPW,2.8435
11/02/2010,NOK,1.2506
11/02/2010,OMR,4.0653
11/02/2010,PKR,8.4652
11/02/2010,PAB,12.5144
11/02/2010,PGK,2.4298
11/02/2010,PYG,8.6669
11/02/2010,PEN,0.3144
11/02/2010,PHP,68.903
11/02/2010,PLN,0.217
11/02/2010,QAR,2.854
11/02/2010,RON,1.3064
11/02/2010,RUB,9.6499
11/02/2010,RWF,7.0116
11/02/2010,WST,1.928
11/02/2010,STD,4.7649
11/02/2010,SAR,6.693
11/02/2010,RSD,1.3039
11/02/2010,SCR,3.578
11/02/2010,SLL,3.7809
11/02/2010,SGD,4.201
11/02/2010,SBD,8.2014
11/02/2010,SOS,2.9678
11/02/2010,ZAR,6.0336
11/02/2010,KRW,0.4105
11/02/2010,LKR,1.726
11/02/2010,SHP,5.3191
11/02/2010,SDG,6.6448
11/02/2010,SRD,7.3412
11/02/2010,SZL,5.2616
11/02/2010,SEK,4.2691
11/02/2010,CHF,8.1863
11/02/2010,SYP,5.56
11/02/2010,TWD,444.217
11/02/2010,TZS,8.6394
11/02/2010,THB,1.0374
11/02/2010,TOP,6.2273
11/02/2010,TTD,4.4906
11/02/2010,TND,7.8728
11/02/2010,TRY,1.0305
11/02/2010,TMM,4.2757
11/02/2010,USD,1
11/02/2010,UGX,9.559
11/02/2010,UAH,34.0957
11/02/2010,UYU,45.9559
11/02/2010,AED,1.1476
11/02/2010,VUV,28.6177
11/02/2010,VEB,1.7508
11/02/2010,VND,8.7318
11/02/2010,YER,7.0004
11/02/2010,ZMK,6.8947
11/02/2010,ZWD,5.9805
