date,currency,valueInUSD
21/01/2011,AFN,10.8017
21/01/2011,ALL,1.9359
21/01/2011,DZD,3.934
21/01/2011,AOA,6.5788
21/01/2011,ARS,28.2445
21/01/2011,AMD,10.54
21/01/2011,AWG,8.9376
21/01/2011,AUD,66.6392
21/01/2011,AZN,6.471
21/01/2011,BSD,5.6443
21/01/2011,BHD,2.7408
21/01/2011,BDT,7.252
21/01/2011,BBD,96.0732
21/01/2011,BYR,6.9801
21/01/2011,BZD,5.4627
21/01/2011,BMD,1.2267
21/01/2011,BTN,7.4528
21/01/2011,BOB,28.1671
21/01/2011,BAM,0.3633
21/01/2011,BWP,3.8748
21/01/2011,BRL,10.1098
21/01/2011,GBP,9.6959
21/01/2011,BND,0.2883
21/01/2011,BGN,0.1191
21/01/2011,BIF,1.5865
21/01/2011,XOF,5.0503
21/01/2011,XAF,4.3882
21/01/2011,XPF,0.351
21/01/2011,KHR,3.2472
21/01/2011,CAD,23.0488
21/01/2011,CVE,10.0354
21/01/2011,KYD,6.82
21/01/2011,CLP,6.9824
21/01/2011,CNY,6.9546
21/01/2011,COP,63.441
21/01/2011,KMF,5.2079
21/01/2011,CDF,0.2259
21/01/2011,CRC,1.3892
21/01/2011,HRK,122.005
21/01/2011,CUC,5.2052
21/01/2011,CUP,2.3793
21/01/2011,CZK,4.8602
21/01/2011,DKK,1.3317
21/01/2011,DJF,9.2741
21/01/2011,DOP,8.0991
21/01/2011,XCD,43.4607
21/01/2011,EGP,5.8607
21/01/2011,SVC,4.3322
21/01/2011,ETB,11.3936
21/01/2011,FKP,8.2795
21/01/2011,FJD,9.4379
21/01/2011,GMD,8.342
21/01/2011,GEL,4.4598
21/01/2011,GHS,9.5961
21/01/2011,GIP,6.5899
21/01/2011,GTQ,0.6845
21/01/2011,GNF,98.094
21/01/2011,GYD,3.9775
21/01/2011,HTG,31.3944
21/01/2011,HNL,2.6673
21/01/2011,HKD,4.5402
21/01/2011,HUF,3.179
21/01/2011,ISK,2.8973
21/01/2011,INR,34.9653
21/01/2011,IDR,4.9487
21/01/2011,IRR,9.0193
21/01/2011,IQD,9.7547
21/01/2011,ILS,8.5624
21/01/2011,JMD,0.7719
21/01/2011,JPY,0.0375
21/01/2011,JOD,2.974
21/01/2011,KZT,3.9822
21/01/2011,KES,5.737
21/01/2011,KWD,7.1555
21/01/2011,KGS,8.6264
21/01/2011,LAK,5.7992
21/01/2011,LBP,9.8603
21/01/2011,LSL,1.8462
21/01/2011,LRD,5.483
21/01/2011,LYD,12.0853
21/01/2011,MOP,0.9164
21/01/2011,MKD,5.9499
21/01/2011,MGA,5.1888
21/01/2011,MWK,8.6119
21/01/2011,MYR,52.0657
21/01/2011,MVR,7.7491
21/01/2011,MRO,3.1212
21/01/2011,MUR,93.8038
21/01/2011,MXN,5.2586
21/01/2011,MDL,7.4698
21/01/2011,MNT,0.2199
21/01/2011,MAD,2.3438
21/01/2011,MZN,6.6981
21/01/2011,MMK,3.0533
21/01/2011,ANG,6.1989
21/01/2011,NAD,2.837
21/01/2011,NPR,1.157
21/01/2011,NZD,2.576
21/01/2011,NIO,1.4935
21/01/2011,NGN,0.1354
21/01/2011,KPW,2.585
21/01/2011,NOK,1.1419
21/01/2011,OMR,3.9157
21/01/2011,PKR,9.5016
21/01/2011,PAB,11.9889
21/01/2011,PGK,2.6436
21/01/2011,PYG,9.3808
21/01/2011,PEN,0.2692
21/01/2011,PHP,70.5017
21/01/2011,PLN,0.2124
21/01/2011,QAR,3.241
21/01/2011,RON,1.5491
21/01/2011,RUB,15.0617
21/01/2011,RWF,7.4155
21/01/2011,WST,2.5858
21/01/2011,STD,5.1492
21/01/2011,SAR,7.0459
21/01/2011,RSD,1.2745
21/01/2011,SCR,3.5245
21/01/2011,SLL,2.7695
21/01/2011,SGD,5.9101
21/01/2011,SBD,8.5503
21/01/2011,SOS,3.2435
21/01/2011,ZAR,6.2767
21/01/2011,KRW,0.3177
21/01/2011,LKR,1.7495
21/01/2011,SHP,3.8238
21/01/2011,SDG,6.2262
21/01/2011,SRD,8.425
21/01/2011,SZL,5.2424
21/01/2011,SEK,4.5108
21/01/2011,CHF,7.4505
21/01/2011,SYP,4.2114
21/01/2011,TWD,500.6207
21/01/2011,TZS,9.0426
21/01/2011,THB,1.1387
21/01/2011,TOP,9.1894
21/01/2011,TTD,4.4548
21/01/2011,TND,5.6637
21/01/2011,TRY,0.7244
21/01/2011,TMM,3.6666
21/01/2011,USD,1
21/01/2011,UGX,10.612
21/01/2011,UAH,34.9597
21/01/2011,UYU,45.8574
21/01/2011,AED,1.4338
21/01/2011,VUV,27.8208
21/01/2011,VEB,1.3637
21/01/2011,VND,8.8485
21/01/2011,YER,6.8272
21/01/2011,ZMK,5.901
21/01/2011,ZWD,5.206
