date,currency,valueInUSD
03/05/2011,AFN,10.5181
03/05/2011,ALL,1.9774
03/05/2011,DZD,3.6652
03/05/2011,AOA,6.5262
03/05/2011,ARS,25.9786
03/05/2011,AMD,10.4902
03/05/2011,AWG,9.1935
03/05/2011,AUD,67.6369
03/05/2011,AZN,7.0391
03/05/2011,BSD,5.6677
03/05/2011,BHD,3.1198
03/05/2011,BDT,8.4348
03/05/2011,BBD,89.7808
03/05/2011,BYR,7.6302
03/05/2011,BZD,5.5102
03/05/2011,BMD,1.3083
03/05/2011,BTN,8.2703
03/05/2011,BOB,33.7091
03/05/2011,BAM,0.3467
03/05/2011,BWP,3.7015
03/05/2011,BRL,10.8687
03/05/2011,GBP,9.9208
03/05/2011,BND,0.3179
03/05/2011,BGN,0.1224
03/05/2011,BIF,1.3706
03/05/2011,XOF,5.3189
03/05/2011,XAF,4.1492
03/05/2011,XPF,0.3509
03/05/2011,KHR,3.3064
03/05/2011,CAD,23.4964
03/05/2011,CVE,9.3616
03/05/2011,KYD,7.3563
03/05/2011,CLP,8.1749
03/05/2011,CNY,7.087
03/05/2011,COP,65.2493
03/05/2011,KMF,4.9218
03/05/2011,CDF,0.2182
03/05/2011,CRC,1.3867
03/05/2011,HRK,122.7998
03/05/2011,CUC,5.4477
03/05/2011,CUP,2.2479
03/05/2011,CZK,4.8793
03/05/2011,DKK,1.3386
03/05/2011,DJF,9.477
03/05/2011,DOP,7.5603
03/05/2011,XCD,46.8446
03/05/2011,EGP,5.7463
03/05/2011,SVC,4.1625
03/05/2011,ETB,10.2733
03/05/2011,FKP,7.5516
03/05/2011,FJD,9.4097
03/05/2011,GMD,7.8085
03/05/2011,GEL,4.4471
03/05/2011,GHS,10.1011
03/05/2011,GIP,7.3833
03/05/2011,GTQ,0.6709
03/05/2011,GNF,113.8242
03/05/2011,GYD,3.8995
03/05/2011,HTG,30.2777
03/05/2011,HNL,2.533
03/05/2011,HKD,3.9125
03/05/2011,HUF,2.6854
03/05/2011,ISK,2.8537
03/05/2011,INR,30.4046
03/05/2011,IDR,5.1179
03/05/2011,IRR,9.7523
03/05/2011,IQD,10.4303
03/05/2011,ILS,8.5509
03/05/2011,JMD,0.7661
03/05/2011,JPY,0.0414
03/05/2011,JOD,2.8761
03/05/2011,KZT,3.7293
03/05/2011,KES,5.9343
03/05/2011,KWD,6.0877
03/05/2011,KGS,8.2232
03/05/2011,LAK,6.0658
03/05/2011,LBP,9.2365
03/05/2011,LSL,2.147
03/05/2011,LRD,4.3294
03/05/2011,LYD,11.7754
03/05/2011,MOP,0.8931
03/05/2011,MKD,5.323
03/05/2011,MGA,5.3327
03/05/2011,MWK,8.2365
03/05/2011,MYR,52.5902
03/05/2011,MVR,7.5464
03/05/2011,MRO,2.989
03/05/2011,MUR,87.2921
03/05/2011,MXN,5.9765
03/05/2011,MDL,6.9767
03/05/2011,MNT,0.2088
03/05/2011,MAD,2.2937
03/05/2011,MZN,6.0738
03/05/2011,MMK,3.3588
03/05/2011,ANG,7.0437
03/05/2011,NAD,2.7995
03/05/2011,NPR,1.1725
03/05/2011,NZD,2.5471
03/05/2011,NIO,1.5808
03/05/2011,NGN,0.1456
03/05/2011,KPW,2.7638
03/05/2011,NOK,1.0999
03/05/2011,OMR,4.0634
03/05/2011,PKR,9.467
03/05/2011,PAB,12.0006
03/05/2011,PGK,2.4761
03/05/2011,PYG,8.5336
03/05/2011,PEN,0.2508
03/05/2011,PHP,64.6901
03/05/2011,PLN,0.2177
03/05/2011,QAR,2.9694
03/05/2011,RON,1.5675
03/05/2011,RUB,15.2061
03/05/2011,RWF,6.5314
03/05/2011,WST,2.6292
03/05/2011,STD,5.6846
03/05/2011,SAR,7.9732
03/05/2011,RSD,1.0816
03/05/2011,SCR,3.6385
03/05/2011,SLL,2.9338
03/05/2011,SGD,6.0956
03/05/2011,SBD,8.4605
03/05/2011,SOS,3.2884
03/05/2011,ZAR,6.1062
03/05/2011,KRW,0.2794
03/05/2011,LKR,1.6992
03/05/2011,SHP,3.8416
03/05/2011,SDG,6.5391
03/05/2011,SRD,8.2208
03/05/2011,SZL,6.1741
03/05/2011,SEK,4.46
03/05/2011,CHF,7.7394
03/05/2011,SYP,4.4667
03/05/2011,TWD,483.9071
03/05/2011,TZS,9.3026
03/05/2011,THB,0.9085
03/05/2011,TOP,8.4814
03/05/2011,TTD,4.7375
03/05/2011,TND,5.3982
03/05/2011,TRY,0.6594
03/05/2011,TMM,3.6404
03/05/2011,USD,1
03/05/2011,UGX,10.1468
03/05/2011,UAH,30.4857
03/05/2011,UYU,42.0577
03/05/2011,AED,1.3961
03/05/2011,VUV,28.983
03/05/2011,VEB,1.4079
03/05/2011,VND,8.0843
03/05/2011,YER,7.6934
03/05/2011,ZMK,5.4783
03/05/2011,ZWD,5.2012
