date,currency,valueInUSD
01/04/2012,AFN,11.3817
01/04/2012,ALL,2.0438
01/04/2012,DZD,3.5178
01/04/2012,AOA,7.7595
01/04/2012,ARS,22.8465
01/04/2012,AMD,14.9812
01/04/2012,AWG,8.3693
01/04/2012,AUD,88.4025
01/04/2012,AZN,6.2163
01/04/2012,BSD,5.8754
01/04/2012,BHD,3.543
01/04/2012,BDT,8.419
01/04/2012,BBD,90.3885
01/04/2012,BYR,7.6153
01/04/2012,BZD,5.9218
01/04/2012,BMD,1.0197
01/04/2012,BTN,8.0266
01/04/2012,BOB,40.0555
01/04/2012,BAM,0.3872
01/04/2012,BWP,2.5785
01/04/2012,BRL,11.6369
01/04/2012,GBP,11.9704
01/04/2012,BND,0.4189
01/04/2012,BGN,0.1156
01/04/2012,BIF,1.615
01/04/2012,XOF,4.9862
01/04/2012,XAF,4.0839
01/04/2012,XPF,0.3288
01/04/2012,KHR,2.6227
01/04/2012,CAD,20.1396
01/04/2012,CVE,10.7409
01/04/2012,KYD,7.5993
01/04/2012,CLP,8.0673
01/04/2012,CNY,6.2824
01/04/2012,COP,67.8489
01/04/2012,KMF,6.4795
01/04/2012,CDF,0.2358
01/04/2012,CRC,1.1467
01/04/2012,HRK,112.5611
01/04/2012,CUC,4.7084
01/04/2012,CUP,2.4559
01/04/2012,CZK,5.2688
01/04/2012,DKK,1.6502
01/04/2012,DJF,8.5339
01/04/2012,DOP,6.3526
01/04/2012,XCD,32.6383
01/04/2012,EGP,4.6657
01/04/2012,SVC,4.7883
01/04/2012,ETB,9.7091
01/04/2012,FKP,7.855
01/04/2012,FJD,8.8217
01/04/2012,GMD,8.6726
01/04/2012,GEL,4.2881
01/04/2012,GHS,9.2305
01/04/2012,GIP,6.48
01/04/2012,GTQ,0.6604
01/04/2012,GNF,115.0309
01/04/2012,GYD,3.7685
01/04/2012,HTG,26.4514
01/04/2012,HNL,1.9818
01/04/2012,HKD,4.4081
01/04/2012,HUF,2.8912
01/04/2012,ISK,3.339
01/04/2012,INR,33.1299
01/04/2012,IDR,5.5092
01/04/2012,IRR,11.2796
01/04/2012,IQD,10.4848
01/04/2012,ILS,8.0843
01/04/2012,JMD,0.7043
01/04/2012,JPY,0.0454
01/04/2012,JOD,2.5592
01/04/2012,KZT,4.3323
01/04/2012,KES,6.4795
01/04/2012,KWD,5.9108
01/04/2012,KGS,6.7037
01/04/2012,LAK,5.0176
01/04/2012,LBP,9.9673
01/04/2012,LSL,1.9338
01/04/2012,LRD,4.0501
01/04/2012,LYD,11.524
01/04/2012,MOP,0.8424
01/04/2012,MKD,4.445
01/04/2012,MGA,4.3525
01/04/2012,MWK,6.4187
01/04/2012,MYR,55.0426
01/04/2012,MVR,7.6881
01/04/2012,MRO,3.1052
01/04/2012,MUR,80.0797
01/04/2012,MXN,8.632
01/04/2012,MDL,7.4054
01/04/2012,MNT,0.1655
01/04/2012,MAD,2.5252
01/04/2012,MZN,5.4479
01/04/2012,MMK,3.1631
01/04/2012,ANG,8.377
01/04/2012,NAD,2.7664
01/04/2012,NPR,1.2094
01/04/2012,NZD,2.4926
01/04/2012,NIO,1.6598
01/04/2012,NGN,0.1639
01/04/2012,KPW,2.6789
01/04/2012,NOK,1.1274
01/04/2012,OMR,4.4203
01/04/2012,PKR,9.996
01/04/2012,PAB,14.3045
01/04/2012,PGK,2.3214
01/04/2012,PYG,9.9412
01/04/2012,PEN,0.2004
01/04/2012,PHP,56.6619
01/04/2012,PLN,0.2023
01/04/2012,QAR,3.3593
01/04/2012,RON,1.5312
01/04/2012,RUB,16.9232
01/04/2012,RWF,6.2467
01/04/2012,WST,2.6033
01/04/2012,STD,5.4036
01/04/2012,SAR,7.1745
01/04/2012,RSD,1.037
01/04/2012,SCR,3.8139
01/04/2012,SLL,3.0698
01/04/2012,SGD,7.18
01/04/2012,SBD,10.2931
01/04/2012,SOS,3.0454
01/04/2012,ZAR,5.5639
01/04/2012,KRW,0.2452
01/04/2012,LKR,1.6321
01/04/2012,SHP,4.2403
01/04/2012,SDG,7.6317
01/04/2012,SRD,6.91
01/04/2012,SZL,4.5295
01/04/2012,SEK,4.0405
01/04/2012,CHF,7.4983
01/04/2012,SYP,3.9466
01/04/2012,TWD,412.636
01/04/2012,TZS,10.0077
01/04/2012,THB,0.978
01/04/2012,TOP,6.8057
01/04/2012,TTD,4.8163
01/04/2012,TND,5.7612
01/04/2012,TRY,0.7335
01/04/2012,TMM,3.9822
01/04/2012,USD,1
01/04/2012,UGX,10.5632
01/04/2012,UAH,29.096
01/04/2012,UYU,42.0898
01/04/2012,AED,1.1959
01/04/2012,VUV,26.9719
01/04/2012,VEB,1.5879
01/04/2012,VND,6.3347
01/04/2012,YER,6.8159
01/04/2012,ZMK,5.9834
01/04/2012,ZWD,5.0984
