date,currency,valueInUSD
31/12/2013,AFN,13.6061
31/12/2013,ALL,1.8631
31/12/2013,DZD,3.7857
31/12/2013,AOA,7.1325
31/12/2013,ARS,17.55
31/12/2013,AMD,13.4766
31/12/2013,AWG,8.6751
31/12/2013,AUD,75.5941
31/12/2013,AZN,6.5897
31/12/2013,BSD,7.2757
31/12/2013,BHD,3.5828
31/12/2013,BDT,8.4512
31/12/2013,BBD,106.0562
31/12/2013,BYR,7.8055
31/12/2013,BZD,7.5126
31/12/2013,BMD,0.9225
31/12/2013,BTN,6.6088
31/12/2013,BOB,29.2969
31/12/2013,BAM,0.3701
31/12/2013,BWP,3.3575
31/12/2013,BRL,11.9211
31/12/2013,GBP,10.9213
31/12/2013,BND,0.329
31/12/2013,BGN,0.0827
31/12/2013,BIF,1.3369
31/12/2013,XOF,5.9985
31/12/2013,XAF,3.276
31/12/2013,XPF,0.3049
31/12/2013,KHR,2.0097
31/12/2013,CAD,15.4934
31/12/2013,CVE,9.7098
31/12/2013,KYD,7.9129
31/12/2013,CLP,6.2333
31/12/2013,CNY,6.9922
31/12/2013,COP,74.9859
31/12/2013,KMF,5.8226
31/12/2013,CDF,0.2853
31/12/2013,CRC,0.9921
31/12/2013,HRK,95.4269
31/12/2013,CUC,4.6809
31/12/2013,CUP,3.0258
31/12/2013,CZK,4.8237
31/12/2013,DKK,1.3569
31/12/2013,DJF,7.4835
31/12/2013,DOP,6.7595
31/12/2013,XCD,22.8687
31/12/2013,EGP,4.3887
31/12/2013,SVC,3.2617
31/12/2013,ETB,8.1438
31/12/2013,FKP,7.6481
31/12/2013,FJD,10.5889
31/12/2013,GMD,8.995
31/12/2013,GEL,5.1781
31/12/2013,GHS,9.838
31/12/2013,GIP,7.2925
31/12/2013,GTQ,0.6096
31/12/2013,GNF,117.6545
31/12/2013,GYD,3.9423
31/12/2013,HTG,14.9527
31/12/2013,HNL,2.024
31/12/2013,HKD,5.8257
31/12/2013,HUF,3.5659
31/12/2013,ISK,2.6743
31/12/2013,INR,26.1178
31/12/2013,IDR,4.5926
31/12/2013,IRR,13.7256
31/12/2013,IQD,12.0999
31/12/2013,ILS,6.458
31/12/2013,JMD,0.875
31/12/2013,JPY,0.034
31/12/2013,JOD,2.7474
31/12/2013,KZT,3.2483
31/12/2013,KES,6.013
31/12/2013,KWD,6.5436
31/12/2013,KGS,7.9457
31/12/2013,LAK,3.2095
31/12/2013,LBP,8.9362
31/12/2013,LSL,2.0779
31/12/2013,LRD,4.8725
31/12/2013,LYD,12.1421
31/12/2013,MOP,0.9252
31/12/2013,MKD,4.7417
31/12/2013,MGA,4.7656
31/12/2013,MWK,5.4066
31/12/2013,MYR,43.2772
31/12/2013,MVR,6.5619
31/12/2013,MRO,2.9524
31/12/2013,MUR,57.9451
31/12/2013,MXN,7.1225
31/12/2013,MDL,6.7574
31/12/2013,MNT,0.1659
31/12/2013,MAD,2.6757
31/12/2013,MZN,5.5618
31/12/2013,MMK,2.9565
31/12/2013,ANG,9.9522
31/12/2013,NAD,2.5879
31/12/2013,NPR,0.9253
31/12/2013,NZD,2.0498
31/12/2013,NIO,1.6962
31/12/2013,NGN,0.1568
31/12/2013,KPW,2.3715
31/12/2013,NOK,1.1752
31/12/2013,OMR,4.4504
31/12/2013,PKR,9.2097
31/12/2013,PAB,12.1962
31/12/2013,PGK,2.9666
31/12/2013,PYG,6.9793
31/12/2013,PEN,0.2251
31/12/2013,PHP,58.6793
31/12/2013,PLN,0.2069
31/12/2013,QAR,3.0325
31/12/2013,RON,1.8624
31/12/2013,RUB,19.1928
31/12/2013,RWF,6.3658
31/12/2013,WST,2.3004
31/12/2013,STD,4.2851
31/12/2013,SAR,7.0608
31/12/2013,RSD,1.0304
31/12/2013,SCR,5.5147
31/12/2013,SLL,3.7122
31/12/2013,SGD,6.8913
31/12/2013,SBD,9.2598
31/12/2013,SOS,3.1094
31/12/2013,ZAR,5.1967
31/12/2013,KRW,0.2665
31/12/2013,LKR,1.2556
31/12/2013,SHP,4.029
31/12/2013,SDG,7.4632
31/12/2013,SRD,4.9873
31/12/2013,SZL,4.055
31/12/2013,SEK,3.5648
31/12/2013,CHF,8.4236
31/12/2013,SYP,4.5777
31/12/2013,TWD,510.2742
31/12/2013,TZS,10.162
31/12/2013,THB,0.8646
31/12/2013,TOP,7.6796
31/12/2013,TTD,6.3771
31/12/2013,TND,6.0794
31/12/2013,TRY,0.6042
31/12/2013,TMM,4.1498
31/12/2013,USD,1
31/12/2013,UGX,10.2571
31/12/2013,UAH,33.2682
31/12/2013,UYU,32.2738
31/12/2013,AED,1.4066
31/12/2013,VUV,26.5722
31/12/2013,VEB,1.4457
31/12/2013,VND,6.5481
31/12/2013,YER,7.4437
31/12/2013,ZMK,4.607
31/12/2013,ZWD,4.2813
