date,currency,valueInUSD
12/06/2013,AFN,11.5633
12/06/2013,ALL,1.9985
12/06/2013,DZD,3.2291
12/06/2013,AOA,6.4374
12/06/2013,ARS,16.5256
12/06/2013,AMD,11.3688
12/06/2013,AWG,8.2565
12/06/2013,AUD,90.9869
12/06/2013,AZN,7.1652
12/06/2013,BSD,7.778
12/06/2013,BHD,2.9533
12/06/2013,BDT,7.2358
12/06/2013,BBD,86.5886
12/06/2013,BYR,7.9931
12/06/2013,BZD,6.7568
12/06/2013,BMD,0.9222
12/06/2013,BTN,6.5668
12/06/2013,BOB,38.3765
12/06/2013,BAM,0.3321
12/06/2013,BWP,3.0448
12/06/2013,BRL,12.7497
12/06/2013,GBP,11.696
12/06/2013,BND,0.3293
12/06/2013,BGN,0.0842
12/06/2013,BIF,1.5875
12/06/2013,XOF,6.3322
12/06/2013,XAF,3.48
12/06/2013,XPF,0.3225
12/06/2013,KHR,2.1157
12/06/2013,CAD,14.3121
12/06/2013,CVE,11.8284
12/06/2013,KYD,6.683
12/06/2013,CLP,6.9807
12/06/2013,CNY,7.4694
12/06/2013,COP,75.9714
12/06/2013,KMF,5.8967
12/06/2013,CDF,0.2567
12/06/2013,CRC,1.0934
12/06/2013,HRK,111.6344
12/06/2013,CUC,5.3421
12/06/2013,CUP,2.2445
12/06/2013,CZK,4.7384
12/06/2013,DKK,1.4253
12/06/2013,DJF,8.6059
12/06/2013,DOP,7.2799
12/06/2013,XCD,24.5782
12/06/2013,EGP,4.2788
12/06/2013,SVC,3.9856
12/06/2013,ETB,9.7911
12/06/2013,FKP,7.1691
12/06/2013,FJD,9.4928
12/06/2013,GMD,8.0141
12/06/2013,GEL,4.4404
12/06/2013,GHS,10.0432
12/06/2013,GIP,7.5832
12/06/2013,GTQ,0.5607
12/06/2013,GNF,130.852
12/06/2013,GYD,4.0538
12/06/2013,HTG,18.3728
12/06/2013,HNL,1.9776
12/06/2013,HKD,5.4839
12/06/2013,HUF,3.6585
12/06/2013,ISK,3.1485
12/06/2013,INR,27.6447
12/06/2013,IDR,5.0143
12/06/2013,IRR,12.1543
12/06/2013,IQD,11.2974
12/06/2013,ILS,6.8693
12/06/2013,JMD,0.7983
12/06/2013,JPY,0.0408
12/06/2013,JOD,2.9173
12/06/2013,KZT,3.4748
12/06/2013,KES,5.7421
12/06/2013,KWD,8.5452
12/06/2013,KGS,8.0856
12/06/2013,LAK,3.741
12/06/2013,LBP,9.1246
12/06/2013,LSL,1.85
12/06/2013,LRD,4.4847
12/06/2013,LYD,9.6737
12/06/2013,MOP,0.8954
12/06/2013,MKD,4.4551
12/06/2013,MGA,4.3126
12/06/2013,MWK,6.2183
12/06/2013,MYR,53.5291
12/06/2013,MVR,5.9065
12/06/2013,MRO,2.4411
12/06/2013,MUR,54.3701
12/06/2013,MXN,5.9764
12/06/2013,MDL,6.8984
12/06/2013,MNT,0.1775
12/06/2013,MAD,2.431
12/06/2013,MZN,4.8775
12/06/2013,MMK,3.3124
12/06/2013,ANG,9.7275
12/06/2013,NAD,2.1335
12/06/2013,NPR,0.9948
12/06/2013,NZD,2.0927
12/06/2013,NIO,1.608
12/06/2013,NGN,0.1495
12/06/2013,KPW,2.2914
12/06/2013,NOK,1.1376
12/06/2013,OMR,4.0828
12/06/2013,PKR,10.4896
12/06/2013,PAB,12.6525
12/06/2013,PGK,2.9207
12/06/2013,PYG,7.4135
12/06/2013,PEN,0.2278
12/06/2013,PHP,59.7177
12/06/2013,PLN,0.2
12/06/2013,QAR,3.2943
12/06/2013,RON,1.563
12/06/2013,RUB,19.3118
12/06/2013,RWF,6.8909
12/06/2013,WST,2.8353
12/06/2013,STD,4.286
12/06/2013,SAR,6.4383
12/06/2013,RSD,1.1343
12/06/2013,SCR,4.6463
12/06/2013,SLL,3.9684
12/06/2013,SGD,7.4233
12/06/2013,SBD,8.4593
12/06/2013,SOS,2.7801
12/06/2013,ZAR,4.9064
12/06/2013,KRW,0.2529
12/06/2013,LKR,1.3389
12/06/2013,SHP,3.4286
12/06/2013,SDG,7.943
12/06/2013,SRD,5.3604
12/06/2013,SZL,4.2529
12/06/2013,SEK,3.298
12/06/2013,CHF,8.6524
12/06/2013,SYP,4.5668
12/06/2013,TWD,476.8016
12/06/2013,TZS,11.6959
12/06/2013,THB,0.9126
12/06/2013,TOP,8.9121
12/06/2013,TTD,5.3922
12/06/2013,TND,7.0561
12/06/2013,TRY,0.603
12/06/2013,TMM,3.7806
12/06/2013,USD,1
12/06/2013,UGX,9.6163
12/06/2013,UAH,31.0721
12/06/2013,UYU,34.3336
12/06/2013,AED,1.2055
12/06/2013,VUV,28.2723
12/06/2013,VEB,1.328
12/06/2013,VND,6.0476
12/06/2013,YER,7.5699
12/06/2013,ZMK,5.0512
12/06/2013,ZWD,4.8614
