date,currency,valueInUSD
22/11/2016,AFN,13.0789
22/11/2016,ALL,2.0435
22/11/2016,DZD,6.0642
22/11/2016,AOA,5.8842
22/11/2016,ARS,15.7519
22/11/2016,AMD,7.7506
22/11/2016,AWG,5.3847
22/11/2016,AUD,53.5495
22/11/2016,AZN,4.942
22/11/2016,BSD,4.8326
22/11/2016,BHD,3.2318
22/11/2016,BDT,7.7532
22/11/2016,BBD,51.7788
22/11/2016,BYR,6.3926
22/11/2016,BZD,6.5276
22/11/2016,BMD,1.2272
22/11/2016,BTN,6.4126
22/11/2016,BOB,30.9055
22/11/2016,BAM,0.2712
22/11/2016,BWP,4.0491
22/11/2016,BRL,13.13
22/11/2016,GBP,11.6857
22/11/2016,BND,0.2709
22/11/2016,BGN,0.0848
22/11/2016,BIF,1.0121
22/11/2016,XOF,7.0283
22/11/2016,XAF,2.652
22/11/2016,XPF,0.2768
22/11/2016,KHR,1.7008
22/11/2016,CAD,13.5427
22/11/2016,CVE,8.8307
22/11/2016,KYD,9.2226
22/11/2016,CLP,8.1629
22/11/2016,CNY,7.5438
22/11/2016,COP,57.0883
22/11/2016,KMF,4.3598
22/11/2016,CDF,0.253
22/11/2016,CRC,0.9151
22/11/2016,HRK,201.7619
22/11/2016,CUC,6.7462
22/11/2016,CUP,2.1686
22/11/2016,CZK,3.2857
22/11/2016,DKK,1.1132
22/11/2016,DJF,7.6105
22/11/2016,DOP,6.2377
22/11/2016,XCD,25.6763
22/11/2016,EGP,4.048
22/11/2016,SVC,2.816
22/11/2016,ETB,9.5739
22/11/2016,FKP,5.9211
22/11/2016,FJD,9.6751
22/11/2016,GMD,10.027
22/11/2016,GEL,6.128
22/11/2016,GHS,6.5192
22/11/2016,GIP,9.0247
22/11/2016,GTQ,0.6132
22/11/2016,GNF,150.2442
22/11/2016,GYD,4.2077
22/11/2016,HTG,17.3627
22/11/2016,HNL,2.4667
22/11/2016,HKD,4.0033
22/11/2016,HUF,3.5476
22/11/2016,ISK,2.1304
22/11/2016,INR,29.6321
22/11/2016,IDR,5.443
22/11/2016,IRR,11.3494
22/11/2016,IQD,12.9776
22/11/2016,ILS,7.5057
22/11/2016,JMD,0.7839
22/11/2016,JPY,0.0362
22/11/2016,JOD,2.0684
22/11/2016,KZT,3.4108
22/11/2016,KES,7.6065
22/11/2016,KWD,4.6424
22/11/2016,KGS,5.6101
22/11/2016,LAK,2.8664
22/11/2016,LBP,9.6039
22/11/2016,LSL,3.1718
22/11/2016,LRD,3.6288
22/11/2016,LYD,14.3607
22/11/2016,MOP,0.8385
22/11/2016,MKD,4.6373
22/11/2016,MGA,5.981
22/11/2016,MWK,6.4717
22/11/2016,MYR,37.0261
22/11/2016,MVR,5.7451
22/11/2016,MRO,2.9935
22/11/2016,MUR,66.8798
22/11/2016,MXN,5.8928
22/11/2016,MDL,6.4659
22/11/2016,MNT,0.112
22/11/2016,MAD,1.8184
22/11/2016,MZN,5.5363
22/11/2016,MMK,3.6642
22/11/2016,ANG,7.6937
22/11/2016,NAD,1.5692
22/11/2016,NPR,0.7252
22/11/2016,NZD,2.2167
22/11/2016,NIO,1.7105
22/11/2016,NGN,0.1795
22/11/2016,KPW,1.5636
22/11/2016,NOK,1.1191
22/11/2016,OMR,5.343
22/11/2016,PKR,10.5932
22/11/2016,PAB,11.4518
22/11/2016,PGK,3.1996
22/11/2016,PYG,6.2245
22/11/2016,PEN,0.264
22/11/2016,PHP,94.4689
22/11/2016,PLN,0.2964
22/11/2016,QAR,2.3281
22/11/2016,RON,1.8681
22/11/2016,RUB,13.6055
22/11/2016,RWF,5.0901
22/11/2016,WST,2.6955
22/11/2016,STD,4.254
22/11/2016,SAR,6.5205
22/11/2016,RSD,0.9656
22/11/2016,SCR,4.3932
22/11/2016,SLL,2.9742
22/11/2016,SGD,6.9804
22/11/2016,SBD,8.8131
22/11/2016,SOS,2.2196
22/11/2016,ZAR,5.2287
22/11/2016,KRW,0.1855
22/11/2016,LKR,1.7761
22/11/2016,SHP,3.1599
22/11/2016,SDG,6.888
22/11/2016,SRD,3.6025
22/11/2016,SZL,4.8058
22/11/2016,SEK,3.9428
22/11/2016,CHF,12.1144
22/11/2016,SYP,5.234
22/11/2016,TWD,417.133
22/11/2016,TZS,10.7471
22/11/2016,THB,0.8166
22/11/2016,TOP,8.0777
22/11/2016,TTD,4.5766
22/11/2016,TND,4.6166
22/11/2016,TRY,0.4292
22/11/2016,TMM,3.5283
22/11/2016,USD,1
22/11/2016,UGX,8.0717
22/11/2016,UAH,35.8634
22/11/2016,UYU,31.5034
22/11/2016,AED,1.4042
22/11/2016,VUV,31.4595
22/11/2016,VEB,1.1449
22/11/2016,VND,7.1696
22/11/2016,YER,7.7968
22/11/2016,ZMK,4.1633
22/11/2016,ZWD,5.3146
