date,currency,valueInUSD
06/08/2018,AFN,18.1882
06/08/2018,ALL,1.5652
06/08/2018,DZD,4.5612
06/08/2018,AOA,5.411
06/08/2018,ARS,13.9547
06/08/2018,AMD,7.7966
06/08/2018,AWG,5.1607
06/08/2018,AUD,52.6758
06/08/2018,AZN,4.3824
06/08/2018,BSD,5.1594
06/08/2018,BHD,4.2944
06/08/2018,BDT,7.4271
06/08/2018,BBD,50.5205
06/08/2018,BYR,7.0466
06/08/2018,BZD,6.8387
06/08/2018,BMD,1.0264
06/08/2018,BTN,6.8467
06/08/2018,BOB,35.4819
06/08/2018,BAM,0.3426
06/08/2018,BWP,3.9935
06/08/2018,BRL,11.7587
06/08/2018,GBP,13.7572
06/08/2018,BND,0.3228
06/08/2018,BGN,0.083
06/08/2018,BIF,1.2171
06/08/2018,XOF,5.7202
06/08/2018,XAF,2.5377
06/08/2018,XPF,0.2012
06/08/2018,KHR,1.6624
06/08/2018,CAD,20.7739
06/08/2018,CVE,7.6352
06/08/2018,KYD,6.9546
06/08/2018,CLP,8.2094
06/08/2018,CNY,7.7625
06/08/2018,COP,49.0901
06/08/2018,KMF,3.959
06/08/2018,CDF,0.2237
06/08/2018,CRC,0.7159
06/08/2018,HRK,176.1962
06/08/2018,CUC,5.2776
06/08/2018,CUP,2.2076
06/08/2018,CZK,2.9687
06/08/2018,DKK,0.9712
06/08/2018,DJF,6.9212
06/08/2018,DOP,8.3814
06/08/2018,XCD,27.6181
06/08/2018,EGP,3.3274
06/08/2018,SVC,4.2187
06/08/2018,ETB,9.1327
06/08/2018,FKP,4.8232
06/08/2018,FJD,7.5915
06/08/2018,GMD,11.3882
06/08/2018,GEL,4.3386
06/08/2018,GHS,7.1953
06/08/2018,GIP,9.2159
06/08/2018,GTQ,0.4922
06/08/2018,GNF,113.8698
06/08/2018,GYD,4.2256
06/08/2018,HTG,19.5312
06/08/2018,HNL,2.5909
06/08/2018,HKD,3.188
06/08/2018,HUF,3.3136
06/08/2018,ISK,2.4558
06/08/2018,INR,37.5355
06/08/2018,IDR,4.3781
06/08/2018,IRR,12.9687
06/08/2018,IQD,14.2233
06/08/2018,ILS,7.2949
06/08/2018,JMD,0.7575
06/08/2018,JPY,0.0441
06/08/2018,JOD,2.346
06/08/2018,KZT,2.5716
06/08/2018,KES,7.6297
06/08/2018,KWD,4.0159
06/08/2018,KGS,5.3492
06/08/2018,LAK,2.7565
06/08/2018,LBP,11.9688
06/08/2018,LSL,3.5208
06/08/2018,LRD,4.5756
06/08/2018,LYD,17.1185
06/08/2018,MOP,0.939
06/08/2018,MKD,4.0394
06/08/2018,MGA,6.2861
06/08/2018,MWK,6.9673
06/08/2018,MYR,34.0652
06/08/2018,MVR,5.7268
06/08/2018,MRO,3.234
06/08/2018,MUR,82.1863
06/08/2018,MXN,7.7738
06/08/2018,MDL,5.6792
06/08/2018,MNT,0.0848
06/08/2018,MAD,2.1477
06/08/2018,MZN,5.6979
06/08/2018,MMK,4.0749
06/08/2018,ANG,7.7347
06/08/2018,NAD,1.3451
06/08/2018,NPR,1.0236
06/08/2018,NZD,1.7407
06/08/2018,NIO,2.515
06/08/2018,NGN,0.1535
06/08/2018,KPW,1.6848
06/08/2018,NOK,0.8438
06/08/2018,OMR,4.8479
06/08/2018,PKR,12.4483
06/08/2018,PAB,12.8222
06/08/2018,PGK,3.7653
06/08/2018,PYG,6.1493
06/08/2018,PEN,0.3604
06/08/2018,PHP,140.7932
06/08/2018,PLN,0.2515
06/08/2018,QAR,2.1599
06/08/2018,RON,2.0767
06/08/2018,RUB,11.649
06/08/2018,RWF,5.6889
06/08/2018,WST,3.0102
06/08/2018,STD,4.8719
06/08/2018,SAR,6.1562
06/08/2018,RSD,0.8458
06/08/2018,SCR,3.7258
06/08/2018,SLL,1.9505
06/08/2018,SGD,6.629
06/08/2018,SBD,8.2635
06/08/2018,SOS,2.3432
06/08/2018,ZAR,5.1072
06/08/2018,KRW,0.1994
06/08/2018,LKR,2.0734
06/08/2018,SHP,3.8572
06/08/2018,SDG,6.729
06/08/2018,SRD,3.0161
06/08/2018,SZL,4.7875
06/08/2018,SEK,3.5299
06/08/2018,CHF,8.3292
06/08/2018,SYP,3.9995
06/08/2018,TWD,353.7805
06/08/2018,TZS,10.917
06/08/2018,THB,1.0934
06/08/2018,TOP,8.4454
06/08/2018,TTD,4.3923
06/08/2018,TND,3.6149
06/08/2018,TRY,0.5675
06/08/2018,TMM,4.9714
06/08/2018,USD,1
06/08/2018,UGX,7.0778
06/08/2018,UAH,34.5933
06/08/2018,UYU,37.8687
06/08/2018,AED,1.0664
06/08/2018,VUV,30.0903
06/08/2018,VEB,0.8683
06/08/2018,VND,5.8384
06/08/2018,YER,7.5376
06/08/2018,ZMK,5.6104
06/08/2018,ZWD,4.0343
