date,currency,valueInUSD
12/07/2018,AFN,17.5597
12/07/2018,ALL,1.6135
12/07/2018,DZD,4.8692
12/07/2018,AOA,5.401
12/07/2018,ARS,13.7273
12/07/2018,AMD,7.8755
12/07/2018,AWG,5.4237
12/07/2018,AUD,51.2574
12/07/2018,AZN,4.4622
12/07/2018,BSD,5.1748
12/07/2018,BHD,3.9346
12/07/2018,BDT,7.2952
12/07/2018,BBD,49.2418
12/07/2018,BYR,6.9018
12/07/2018,BZD,6.6041
12/07/2018,BMD,1.0684
12/07/2018,BTN,6.8858
12/07/2018,BOB,33.6647
12/07/2018,BAM,0.3451
12/07/2018,BWP,3.893
12/07/2018,BRL,11.7276
12/07/2018,GBP,13.6771
12/07/2018,BND,0.3274
12/07/2018,BGN,0.0784
12/07/2018,BIF,1.249
12/07/2018,XOF,6.1439
12/07/2018,XAF,2.7045
12/07/2018,XPF,0.2061
12/07/2018,KHR,1.5927
12/07/2018,CAD,20.2498
12/07/2018,CVE,7.9579
12/07/2018,KYD,6.8709
12/07/2018,CLP,8.0417
12/07/2018,CNY,7.6136
12/07/2018,COP,51.9385
12/07/2018,KMF,4.0221
12/07/2018,CDF,0.2229
12/07/2018,CRC,0.7092
12/07/2018,HRK,175.1089
12/07/2018,CUC,5.1621
12/07/2018,CUP,2.3592
12/07/2018,CZK,2.8192
12/07/2018,DKK,1.0088
12/07/2018,DJF,7.0825
12/07/2018,DOP,8.4721
12/07/2018,XCD,28.0569
12/07/2018,EGP,3.3156
12/07/2018,SVC,4.1622
12/07/2018,ETB,8.8336
12/07/2018,FKP,4.7028
12/07/2018,FJD,8.0129
12/07/2018,GMD,11.7176
12/07/2018,GEL,4.4811
12/07/2018,GHS,7.3022
12/07/2018,GIP,9.7445
12/07/2018,GTQ,0.4884
12/07/2018,GNF,120.1663
12/07/2018,GYD,4.1689
12/07/2018,HTG,20.7331
12/07/2018,HNL,2.7098
12/07/2018,HKD,3.1923
12/07/2018,HUF,3.3082
12/07/2018,ISK,2.5031
12/07/2018,INR,38.541
12/07/2018,IDR,4.4003
12/07/2018,IRR,13.4074
12/07/2018,IQD,13.5735
12/07/2018,ILS,8.0868
12/07/2018,JMD,0.7687
12/07/2018,JPY,0.0442
12/07/2018,JOD,2.1323
12/07/2018,KZT,2.3738
12/07/2018,KES,7.2094
12/07/2018,KWD,4.4344
12/07/2018,KGS,5.6425
12/07/2018,LAK,2.583
12/07/2018,LBP,11.5293
12/07/2018,LSL,3.51
12/07/2018,LRD,4.6841
12/07/2018,LYD,18.0027
12/07/2018,MOP,0.9136
12/07/2018,MKD,4.4601
12/07/2018,MGA,6.1796
12/07/2018,MWK,7.0187
12/07/2018,MYR,35.6442
12/07/2018,MVR,6.0414
12/07/2018,MRO,3.2227
12/07/2018,MUR,77.1343
12/07/2018,MXN,7.8065
12/07/2018,MDL,5.8093
12/07/2018,MNT,0.0801
12/07/2018,MAD,2.1002
12/07/2018,MZN,5.9608
12/07/2018,MMK,4.1495
12/07/2018,ANG,7.5877
12/07/2018,NAD,1.3419
12/07/2018,NPR,0.9797
12/07/2018,NZD,1.9248
12/07/2018,NIO,2.4436
12/07/2018,NGN,0.1565
12/07/2018,KPW,1.6542
12/07/2018,NOK,0.9233
12/07/2018,OMR,4.5544
12/07/2018,PKR,12.1917
12/07/2018,PAB,12.9303
12/07/2018,PGK,3.8013
12/07/2018,PYG,6.1761
12/07/2018,PEN,0.3777
12/07/2018,PHP,135.2993
12/07/2018,PLN,0.2514
12/07/2018,QAR,2.1095
12/07/2018,RON,2.1412
12/07/2018,RUB,11.229
12/07/2018,RWF,5.5968
12/07/2018,WST,2.7664
12/07/2018,STD,5.007
12/07/2018,SAR,6.1983
12/07/2018,RSD,0.8716
12/07/2018,SCR,3.7223
12/07/2018,SLL,1.8394
12/07/2018,SGD,6.4029
12/07/2018,SBD,7.9389
12/07/2018,SOS,2.5298
12/07/2018,ZAR,5.2474
12/07/2018,KRW,0.2011
12/07/2018,LKR,2.0875
12/07/2018,SHP,3.9643
12/07/2018,SDG,6.8844
12/07/2018,SRD,2.955
12/07/2018,SZL,4.7489
12/07/2018,SEK,3.4194
12/07/2018,CHF,8.472
12/07/2018,SYP,4.0453
12/07/2018,TWD,366.498
12/07/2018,TZS,11.3937
12/07/2018,THB,1.05
12/07/2018,TOP,8.3998
12/07/2018,TTD,4.5152
12/07/2018,TND,3.5374
12/07/2018,TRY,0.5586
12/07/2018,TMM,4.7534
12/07/2018,USD,1
12/07/2018,UGX,7.1044
12/07/2018,UAH,35.9076
12/07/2018,UYU,38.8926
12/07/2018,AED,1.0953
12/07/2018,VUV,28.444
12/07/2018,VEB,0.9424
12/07/2018,VND,5.908
12/07/2018,YER,7.5176
12/07/2018,ZMK,5.7166
12/07/2018,ZWD,3.807
