date,currency,valueInUSD
13/03/2018,AFN,16.0135
13/03/2018,ALL,1.6714
13/03/2018,DZD,5.0064
13/03/2018,AOA,5.6841
13/03/2018,ARS,13.7893
13/03/2018,AMD,7.8129
13/03/2018,AWG,5.1028
13/03/2018,AUD,53.308
13/03/2018,AZN,4.6676
13/03/2018,BSD,4.9133
13/03/2018,BHD,3.7327
13/03/2018,BDT,6.5466
13/03/2018,BBD,48.3545
13/03/2018,BYR,7.3314
13/03/2018,BZD,7.3792
13/03/2018,BMD,1.0578
13/03/2018,BTN,7.2963
13/03/2018,BOB,32.1558
13/03/2018,BAM,0.3203
13/03/2018,BWP,4.1256
13/03/2018,BRL,12.8682
13/03/2018,GBP,13.9117
13/03/2018,BND,0.3247
13/03/2018,BGN,0.0732
13/03/2018,BIF,1.2067
13/03/2018,XOF,6.0066
13/03/2018,XAF,2.5868
13/03/2018,XPF,0.2253
13/03/2018,KHR,1.5883
13/03/2018,CAD,19.5591
13/03/2018,CVE,8.5633
13/03/2018,KYD,7.7065
13/03/2018,CLP,7.2962
13/03/2018,CNY,7.6267
13/03/2018,COP,51.848
13/03/2018,KMF,4.1677
13/03/2018,CDF,0.2181
13/03/2018,CRC,0.755
13/03/2018,HRK,164.5581
13/03/2018,CUC,5.9065
13/03/2018,CUP,2.1128
13/03/2018,CZK,2.6777
13/03/2018,DKK,0.9767
13/03/2018,DJF,8.1748
13/03/2018,DOP,7.8383
13/03/2018,XCD,25.4089
13/03/2018,EGP,3.2818
13/03/2018,SVC,3.8521
13/03/2018,ETB,8.9858
13/03/2018,FKP,6.0971
13/03/2018,FJD,8.5508
13/03/2018,GMD,11.3671
13/03/2018,GEL,5.1883
13/03/2018,GHS,7.3174
13/03/2018,GIP,9.7116
13/03/2018,GTQ,0.5289
13/03/2018,GNF,128.8671
13/03/2018,GYD,4.1121
13/03/2018,HTG,20.6152
13/03/2018,HNL,2.6002
13/03/2018,HKD,3.0166
13/03/2018,HUF,3.4953
13/03/2018,ISK,2.2498
13/03/2018,INR,31.732
13/03/2018,IDR,4.4509
13/03/2018,IRR,13.9264
13/03/2018,IQD,14.419
13/03/2018,ILS,7.0346
13/03/2018,JMD,0.8341
13/03/2018,JPY,0.0463
13/03/2018,JOD,2.042
13/03/2018,KZT,2.5699
13/03/2018,KES,7.2117
13/03/2018,KWD,4.4341
13/03/2018,KGS,5.5296
13/03/2018,LAK,2.4337
13/03/2018,LBP,11.9172
13/03/2018,LSL,3.0656
13/03/2018,LRD,4.4611
13/03/2018,LYD,16.4067
13/03/2018,MOP,1.0737
13/03/2018,MKD,4.4889
13/03/2018,MGA,5.5028
13/03/2018,MWK,6.7635
13/03/2018,MYR,35.0395
13/03/2018,MVR,5.521
13/03/2018,MRO,3.2418
13/03/2018,MUR,71.8427
13/03/2018,MXN,8.1537
13/03/2018,MDL,5.844
13/03/2018,MNT,0.0912
13/03/2018,MAD,1.8619
13/03/2018,MZN,5.2865
13/03/2018,MMK,4.3094
13/03/2018,ANG,6.8054
13/03/2018,NAD,1.255
13/03/2018,NPR,0.8103
13/03/2018,NZD,2.1623
13/03/2018,NIO,2.2346
13/03/2018,NGN,0.1516
13/03/2018,KPW,1.5128
13/03/2018,NOK,0.915
13/03/2018,OMR,4.5288
13/03/2018,PKR,11.2097
13/03/2018,PAB,10.7653
13/03/2018,PGK,3.8349
13/03/2018,PYG,6.0764
13/03/2018,PEN,0.3841
13/03/2018,PHP,131.6873
13/03/2018,PLN,0.2761
13/03/2018,QAR,1.9887
13/03/2018,RON,1.8395
13/03/2018,RUB,11.4175
13/03/2018,RWF,5.3272
13/03/2018,WST,2.7673
13/03/2018,STD,4.7853
13/03/2018,SAR,6.0171
13/03/2018,RSD,0.8193
13/03/2018,SCR,3.5493
13/03/2018,SLL,2.0089
13/03/2018,SGD,6.2969
13/03/2018,SBD,8.3387
13/03/2018,SOS,2.7712
13/03/2018,ZAR,5.1388
13/03/2018,KRW,0.1895
13/03/2018,LKR,2.0314
13/03/2018,SHP,4.2838
13/03/2018,SDG,6.5939
13/03/2018,SRD,3.1685
13/03/2018,SZL,4.7889
13/03/2018,SEK,3.6941
13/03/2018,CHF,8.7873
13/03/2018,SYP,4.7586
13/03/2018,TWD,366.377
13/03/2018,TZS,10.4452
13/03/2018,THB,1.0642
13/03/2018,TOP,8.3135
13/03/2018,TTD,4.356
13/03/2018,TND,3.429
13/03/2018,TRY,0.5062
13/03/2018,TMM,4.9669
13/03/2018,USD,1
13/03/2018,UGX,6.5206
13/03/2018,UAH,35.6549
13/03/2018,UYU,36.4261
13/03/2018,AED,1.1388
13/03/2018,VUV,26.5046
13/03/2018,VEB,1.0041
13/03/2018,VND,5.5821
13/03/2018,YER,7.1861
13/03/2018,ZMK,5.9125
13/03/2018,ZWD,4.0405
