date,currency,valueInUSD
03/09/2018,AFN,18.5556
03/09/2018,ALL,1.6032
03/09/2018,DZD,4.6952
03/09/2018,AOA,5.2847
03/09/2018,ARS,13.9798
03/09/2018,AMD,7.9937
03/09/2018,AWG,5.4348
03/09/2018,AUD,53.2193
03/09/2018,AZN,4.4663
03/09/2018,BSD,5.1705
03/09/2018,BHD,4.3581
03/09/2018,BDT,7.3227
03/09/2018,BBD,48.4982
03/09/2018,BYR,6.6702
03/09/2018,BZD,7.2828
03/09/2018,BMD,0.9971
03/09/2018,BTN,7.0075
03/09/2018,BOB,36.5773
03/09/2018,BAM,0.3316
03/09/2018,BWP,4.3
03/09/2018,BRL,12.085
03/09/2018,GBP,13.5411
03/09/2018,BND,0.3497
03/09/2018,BGN,0.0808
03/09/2018,BIF,1.2288
03/09/2018,XOF,5.7632
03/09/2018,XAF,2.5638
03/09/2018,XPF,0.1981
03/09/2018,KHR,1.8206
03/09/2018,CAD,21.404
03/09/2018,CVE,7.6906
03/09/2018,KYD,6.4796
03/09/2018,CLP,8.1596
03/09/2018,CNY,8.4915
03/09/2018,COP,51.3807
03/09/2018,KMF,3.785
03/09/2018,CDF,0.2359
03/09/2018,CRC,0.7394
03/09/2018,HRK,168.4043
03/09/2018,CUC,5.5674
03/09/2018,CUP,2.0655
03/09/2018,CZK,3.1231
03/09/2018,DKK,0.9644
03/09/2018,DJF,7.338
03/09/2018,DOP,8.6161
03/09/2018,XCD,29.005
03/09/2018,EGP,3.386
03/09/2018,SVC,4.3745
03/09/2018,ETB,8.9015
03/09/2018,FKP,5.0688
03/09/2018,FJD,7.9363
03/09/2018,GMD,11.2254
03/09/2018,GEL,4.5081
03/09/2018,GHS,7.2908
03/09/2018,GIP,9.2508
03/09/2018,GTQ,0.486
03/09/2018,GNF,106.8042
03/09/2018,GYD,3.97
03/09/2018,HTG,19.5294
03/09/2018,HNL,2.534
03/09/2018,HKD,3.3795
03/09/2018,HUF,3.2138
03/09/2018,ISK,2.4009
03/09/2018,INR,38.4977
03/09/2018,IDR,4.5984
03/09/2018,IRR,13.0065
03/09/2018,IQD,13.9788
03/09/2018,ILS,7.479
03/09/2018,JMD,0.8031
03/09/2018,JPY,0.0462
03/09/2018,JOD,2.3708
03/09/2018,KZT,2.7428
03/09/2018,KES,7.093
03/09/2018,KWD,3.7842
03/09/2018,KGS,5.2975
03/09/2018,LAK,2.9363
03/09/2018,LBP,11.2293
03/09/2018,LSL,3.3338
03/09/2018,LRD,4.7152
03/09/2018,LYD,16.6335
03/09/2018,MOP,0.9139
03/09/2018,MKD,4.2172
03/09/2018,MGA,5.9648
03/09/2018,MWK,6.9073
03/09/2018,MYR,32.9983
03/09/2018,MVR,5.3408
03/09/2018,MRO,2.9802
03/09/2018,MUR,79.5516
03/09/2018,MXN,7.4364
03/09/2018,MDL,6.0529
03/09/2018,MNT,0.0813
03/09/2018,MAD,2.0251
03/09/2018,MZN,6.004
03/09/2018,MMK,4.4835
03/09/2018,ANG,7.3417
03/09/2018,NAD,1.341
03/09/2018,NPR,1.0572
03/09/2018,NZD,1.669
03/09/2018,NIO,2.6448
03/09/2018,NGN,0.1493
03/09/2018,KPW,1.6582
03/09/2018,NOK,0.8573
03/09/2018,OMR,4.6314
03/09/2018,PKR,11.9393
03/09/2018,PAB,12.2173
03/09/2018,PGK,4.0369
03/09/2018,PYG,6.2
03/09/2018,PEN,0.3664
03/09/2018,PHP,142.666
03/09/2018,PLN,0.2631
03/09/2018,QAR,2.1896
03/09/2018,RON,2.0559
03/09/2018,RUB,11.3995
03/09/2018,RWF,5.5578
03/09/2018,WST,2.844
03/09/2018,STD,4.7698
03/09/2018,SAR,6.0334
03/09/2018,RSD,0.8272
03/09/2018,SCR,3.4527
03/09/2018,SLL,1.97
03/09/2018,SGD,6.6047
03/09/2018,SBD,8.5948
03/09/2018,SOS,2.2687
03/09/2018,ZAR,5.245
03/09/2018,KRW,0.1911
03/09/2018,LKR,1.9078
03/09/2018,SHP,3.6144
03/09/2018,SDG,6.9308
03/09/2018,SRD,2.982
03/09/2018,SZL,5.0525
03/09/2018,SEK,3.8192
03/09/2018,CHF,8.5415
03/09/2018,SYP,4.0182
03/09/2018,TWD,368.0164
03/09/2018,TZS,11.5475
03/09/2018,THB,1.0927
03/09/2018,TOP,8.7828
03/09/2018,TTD,4.4799
03/09/2018,TND,3.5887
03/09/2018,TRY,0.5486
03/09/2018,TMM,4.7708
03/09/2018,USD,1
03/09/2018,UGX,7.198
03/09/2018,UAH,34.9972
03/09/2018,UYU,40.0986
03/09/2018,AED,1.0827
03/09/2018,VUV,30.3163
03/09/2018,VEB,0.8634
03/09/2018,VND,5.9259
03/09/2018,YER,8.0848
03/09/2018,ZMK,5.623
03/09/2018,ZWD,4.2674
