date,currency,valueInUSD
25/10/2019,AFN,19.6733
25/10/2019,ALL,1.345
25/10/2019,DZD,5.5348
25/10/2019,AOA,5.9571
25/10/2019,ARS,12.0618
25/10/2019,AMD,8.7287
25/10/2019,AWG,4.1487
25/10/2019,AUD,58.2543
25/10/2019,AZN,5.192
25/10/2019,BSD,5.1807
25/10/2019,BHD,5.8249
25/10/2019,BDT,6.0198
25/10/2019,BBD,47.6971
25/10/2019,BYR,5.8107
25/10/2019,BZD,8.8843
25/10/2019,BMD,1.0233
25/10/2019,BTN,5.3061
25/10/2019,BOB,48.2783
25/10/2019,BAM,0.2071
25/10/2019,BWP,4.3756
25/10/2019,BRL,9.1609
25/10/2019,GBP,11.3608
25/10/2019,BND,0.3708
25/10/2019,BGN,0.0922
25/10/2019,BIF,1.3719
25/10/2019,XOF,4.7343
25/10/2019,XAF,2.1562
25/10/2019,XPF,0.1591
25/10/2019,KHR,1.1299
25/10/2019,CAD,18.3579
25/10/2019,CVE,9.8106
25/10/2019,KYD,6.2521
25/10/2019,CLP,8.0283
25/10/2019,CNY,8.1129
25/10/2019,COP,48.4971
25/10/2019,KMF,3.2467
25/10/2019,CDF,0.2427
25/10/2019,CRC,0.6026
25/10/2019,HRK,193.0355
25/10/2019,CUC,5.2915
25/10/2019,CUP,1.8989
25/10/2019,CZK,2.8759
25/10/2019,DKK,0.8162
25/10/2019,DJF,7.68
25/10/2019,DOP,8.5917
25/10/2019,XCD,30.3436
25/10/2019,EGP,3.3862
25/10/2019,SVC,4.3076
25/10/2019,ETB,7.6824
25/10/2019,FKP,4.4404
25/10/2019,FJD,7.2029
25/10/2019,GMD,11.3776
25/10/2019,GEL,3.8617
25/10/2019,GHS,6.927
25/10/2019,GIP,8.3064
25/10/2019,GTQ,0.3754
25/10/2019,GNF,102.6785
25/10/2019,GYD,2.9481
25/10/2019,HTG,17.692
25/10/2019,HNL,3.5011
25/10/2019,HKD,3.3098
25/10/2019,HUF,4.099
25/10/2019,ISK,2.2058
25/10/2019,INR,48.1801
25/10/2019,IDR,4.2868
25/10/2019,IRR,10.4167
25/10/2019,IQD,13.7344
25/10/2019,ILS,6.6983
25/10/2019,JMD,0.7599
25/10/2019,JPY,0.0462
25/10/2019,JOD,1.8811
25/10/2019,KZT,2.3458
25/10/2019,KES,6.7657
25/10/2019,KWD,3.3687
25/10/2019,KGS,4.6903
25/10/2019,LAK,3.0955
25/10/2019,LBP,11.9661
25/10/2019,LSL,3.3657
25/10/2019,LRD,4.8258
25/10/2019,LYD,19.6467
25/10/2019,MOP,1.2985
25/10/2019,MKD,3.4646
25/10/2019,MGA,6.1329
25/10/2019,MWK,5.6851
25/10/2019,MYR,35.8825
25/10/2019,MVR,5.4512
25/10/2019,MRO,3.1514
25/10/2019,MUR,75.5569
25/10/2019,MXN,8.6634
25/10/2019,MDL,6.4102
25/10/2019,MNT,0.0567
25/10/2019,MAD,1.3922
25/10/2019,MZN,5.8052
25/10/2019,MMK,4.0829
25/10/2019,ANG,7.155
25/10/2019,NAD,1.3714
25/10/2019,NPR,1.105
25/10/2019,NZD,1.7401
25/10/2019,NIO,2.1666
25/10/2019,NGN,0.1497
25/10/2019,KPW,1.7648
25/10/2019,NOK,1.0232
25/10/2019,OMR,4.5447
25/10/2019,PKR,12.364
25/10/2019,PAB,12.6265
25/10/2019,PGK,3.4921
25/10/2019,PYG,6.6586
25/10/2019,PEN,0.3527
25/10/2019,PHP,133.5018
25/10/2019,PLN,0.3619
25/10/2019,QAR,2.6621
25/10/2019,RON,2.0599
25/10/2019,RUB,7.5151
25/10/2019,RWF,5.8271
25/10/2019,WST,2.8886
25/10/2019,STD,3.9546
25/10/2019,SAR,4.2589
25/10/2019,RSD,0.7709
25/10/2019,SCR,3.067
25/10/2019,SLL,2.1312
25/10/2019,SGD,6.5522
25/10/2019,SBD,8.5538
25/10/2019,SOS,2.0055
25/10/2019,ZAR,5.2163
25/10/2019,KRW,0.1879
25/10/2019,LKR,1.592
25/10/2019,SHP,4.048
25/10/2019,SDG,7.93
25/10/2019,SRD,3.373
25/10/2019,SZL,4.925
25/10/2019,SEK,4.2174
25/10/2019,CHF,9.931
25/10/2019,SYP,4.5597
25/10/2019,TWD,341.2655
25/10/2019,TZS,11.9023
25/10/2019,THB,1.1645
25/10/2019,TOP,7.6466
25/10/2019,TTD,4.813
25/10/2019,TND,4.0323
25/10/2019,TRY,0.49
25/10/2019,TMM,5.0764
25/10/2019,USD,1
25/10/2019,UGX,8.6619
25/10/2019,UAH,36.9051
25/10/2019,UYU,45.9519
25/10/2019,AED,0.9695
25/10/2019,VUV,37.8283
25/10/2019,VEB,0.7836
25/10/2019,VND,5.2905
25/10/2019,YER,6.6059
25/10/2019,ZMK,6.2533
25/10/2019,ZWD,4.5707
