dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
24/12/2010 00:00,KWNGBULT31246271,Old Hunter Bells,NCCX02,WYFO79,9374451.92,MZN,4000,22/12/2015,319.45,USD,2003.1
24/12/2010 00:00,UOLIVUFZ44466815,Stocks,IBLA29,IJPI82,320080.0,USD,2000,30/01/2013,160.04,USD,138.58
24/12/2010 00:00,PTAGVXEI28352908,Stocks,LKPN86,FDWI64,78660.0,USD,2000,13/11/2013,39.33,USD,36.07
24/12/2010 00:00,HSFLLUHB01422462,Stocks,DILF10,QWOA67,14849457.31,MWK,8000,06/06/2012,222.26,USD,2044.73
24/12/2010 00:01,MJROXYUJ33591661,Stocks,XHYN07,QLCE04,7072887.65,TOP,9000,06/02/2011,87.07,USD,697.08
24/12/2010 00:01,AFLPITHP53702525,Stocks,CAVR54,YTAI13,35589.0,USD,300,30/11/2012,118.63,USD,110.2
24/12/2010 00:01,YJCIHQOW58459724,Stocks,YCZA59,HPTP65,44592.0,USD,200,21/08/2014,222.96,USD,194.66
24/12/2010 00:02,QEQCWRMT56987906,Stocks,OHKH76,GGLV00,188650.0,USD,7000,19/11/2014,26.95,USD,30.14
24/12/2010 00:02,FNQAJSVP71666806,Zoni Vessels,BPLN25,WVEI17,739479.09,TND,700,10/02/2014,189.87,USD,902.84
24/12/2010 00:02,XMRWXTMY96690985,Pressures,YWMD69,SWGF93,2160120.0,USD,6000,22/04/2013,360.02,USD,316.82
24/12/2010 00:02,JCHKNXQY66501685,Ninja Info Cards,IJPI82,EKXA24,3390240.0,USD,7000,01/04/2011,484.32,USD,487.28
24/12/2010 00:02,RTAHEEOK78817302,Don Gero Masks,SHXQ48,TFLS35,1041059.94,MVR,600,04/01/2013,218.29,USD,1724.84
24/12/2010 00:03,BLJNXHAY19864477,Stocks,ZFHD93,DGTY64,58140.0,USD,3000,08/02/2015,19.38,USD,19.91
24/12/2010 00:03,XDYKANFK61283614,Stocks,HNLV68,MKHA46,21028000.0,USD,70000,25/11/2012,300.4,USD,331.03
