dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
26/08/2014 00:00,GLHUPMVB60813416,Meat Sticks,BBJG05,SFZS08,154248.0,USD,600,15/06/2016,257.08,USD,284.15
26/08/2014 00:00,CEBTBKQA94135518,Otataral Bars,VAHJ53,JZTC69,727478.77,BSD,5000,19/03/2018,17.87,USD,140.17
26/08/2014 00:00,AXWJWCWX24425236,Stocks,GYWU23,GZED20,12268400.0,USD,40000,20/04/2017,306.71,USD,338.47
26/08/2014 00:00,JPVAZGZM64287358,Books of Cagliostro,ZBIO05,MSHS03,746760.0,USD,6000,15/06/2018,124.46,USD,131.02
26/08/2014 00:01,DAMUQAST63365932,Stocks,QLCE04,AHMZ79,16714800.0,USD,90000,25/03/2019,185.72,USD,190.32
26/08/2014 00:01,AOUGSKZO45068784,Stocks,HYSJ42,QLCE04,52320.0,USD,500,21/06/2016,104.64,USD,109.95
26/08/2014 00:01,ZIRDUADQ84986629,Orcish Ring Mail,GIWG34,VLJL11,6531.0,USD,100,16/12/2016,65.31,USD,57.26
26/08/2014 00:01,NWLFNYJZ48986060,Stocks,BMRZ75,DNIL23,6281050.68,BDT,5000,10/02/2015,191.44,USD,1286.13
26/08/2014 00:01,UMIUKJOI75224796,Big Roots,FJOI82,MFZY76,69816.0,USD,300,22/09/2016,232.72,USD,252.39
26/08/2014 00:01,KQSXXTOT97834766,Stocks,CAVR54,KTLA69,88928.0,USD,800,16/08/2016,111.16,USD,123.87
26/08/2014 00:01,JLZUYPWY35487987,Stocks,VTKE98,YWMD69,888686.49,CNY,700,22/09/2017,166.1,USD,1153.38
26/08/2014 00:02,MMLSLIRC56911180,Stalkers,CAVR54,TKVF94,62598.0,USD,300,04/11/2017,208.66,USD,243.04
26/08/2014 00:02,JZFNZRWD15038553,Stocks,GBEZ65,LBKT00,1704.0,USD,300,17/08/2016,17.8,SOS,6.01
26/08/2014 00:02,GWANEVCO12421809,Stocks,SEKK26,YWMD69,1328800.0,USD,8000,31/10/2016,166.1,USD,153.75
26/08/2014 00:02,DNWJGFJV95698916,Rings of Increase Accuracy,INIL60,RLZK87,120136.0,USD,800,20/11/2016,150.17,USD,165.28
26/08/2014 00:02,SASENPZM55677077,Stocks,TKVF94,DOGG07,278730.0,USD,9000,12/06/2018,30.97,USD,33.38
26/08/2014 00:02,ZGDJMZPT36931734,Capes of Fujin,YWMD69,EWUY52,11562.68,BGN,600,03/12/2015,201.16,USD,19.29
26/08/2014 00:02,FANNXZPK00862940,Stocks,SXHU74,WHPS18,2909489.94,GBP,10000,07/04/2015,127.36,EGP,265.99
26/08/2014 00:03,OVGCDTPR85667325,Scouters,SRYE59,GGLV00,4113432.16,NOK,80000,09/06/2017,141.04,KZT,49.79
26/08/2014 00:03,CDAZJORF41558392,Mental Herbs,ZNQA84,HSWX88,1934450.0,USD,7000,14/05/2017,276.35,USD,329.67
26/08/2014 00:03,RSAJSBVX63276859,CodeBots,EPZN28,ZBIO05,26845.0,USD,700,06/03/2015,38.35,USD,38.18
26/08/2014 00:03,FORPGZQT90514899,Stocks,DGTY64,ZMLP81,1296000.0,USD,50000,24/04/2016,25.92,USD,31.5
26/08/2014 00:03,OMUJABNL38049068,Potions of Booze,DREA89,YWMD69,108820.0,USD,2000,02/06/2019,54.41,USD,58.44
26/08/2014 00:03,HBJHSFQE86305766,Moranth Burners,HFLM11,QHXJ50,2120600.0,USD,5000,27/01/2016,424.12,USD,360.24
26/08/2014 00:03,ZBEKSQCY89096372,Doodle Disks,MDEQ10,QWOA67,905030.0,USD,7000,09/04/2017,129.29,USD,155.0
26/08/2014 00:03,GAHCSRJO80003605,Stocks,NXTO39,VTKE98,12658.0,USD,200,15/11/2019,63.29,USD,54.78
26/08/2014 00:04,OTMVRRIF89445885,Stocks,RFZG50,WWNS72,23305.0,USD,100,19/02/2018,233.05,USD,244.02
26/08/2014 00:05,KGYZLLJQ21921189,Blue Orbs,IJPI82,EWUY52,1354358.66,THB,6000,27/04/2015,268.02,USD,240.94
26/08/2014 00:05,UTJQIHRX79981385,Boom Brooms,KKGI60,THJF58,672000.0,USD,6000,19/02/2017,112.0,USD,87.32
26/08/2014 00:05,KSJLDVMZ60846532,Nano-paks,SZRJ90,VLJL11,4581900.0,USD,6000,03/11/2017,763.65,USD,861.66
26/08/2014 00:05,JXXVWCTV01596882,Rings of Poison Resistance,VESX21,KTLA69,89048.0,USD,400,18/09/2017,222.62,USD,258.04
26/08/2014 00:06,NCKGDDGA24101252,Stocks,QOKP03,ZMLP81,5184.0,USD,200,25/05/2015,25.92,USD,27.01
26/08/2014 00:06,NBSCFUAQ58665362,Stocks,TYAE14,SUOX82,789550.0,USD,5000,13/02/2019,157.91,USD,157.95
26/08/2014 00:06,ETQSBFVJ58731641,Moloko Plus,SXHU74,BPLN25,1725200.0,USD,40000,17/07/2018,11.17,KRW,47.7
