dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
26/01/2014 00:00,NANOZQXQ94339497,Unicorn Horns,PVAZ61,TGZI54,17929.0,USD,100,13/12/2019,179.29,USD,195.04
26/01/2014 00:00,JRONVJNJ65385422,Metal Knight Units,TVQQ54,FTFI87,36600.0,USD,4000,19/07/2019,9.15,USD,7.55
26/01/2014 00:00,AOWCCFIU06255951,Dilithium Crystals,GBEZ65,IZTD25,2310080.0,USD,8000,31/05/2019,288.76,USD,295.97
26/01/2014 00:00,ECQXMCXR74709956,Hare Disks,OKYS51,LIIS96,1988500.0,USD,10000,26/04/2018,198.85,USD,168.95
26/01/2014 00:01,KJPQDIBH83957402,T-800s,HWJF09,QAZT26,1285350.0,USD,5000,11/11/2019,257.07,USD,233.2
26/01/2014 00:01,EGSGGROT16117495,Cockatrice Claws,BBAX06,PBFW95,11993.51,SRD,400,17/08/2016,6.04,USD,33.62
26/01/2014 00:01,XMMEMTAQ54699006,Holodecks,MYXF05,GBEZ65,1871400.0,USD,10000,24/09/2016,187.14,USD,167.88
26/01/2014 00:02,DGZTSTYX00271853,Shooters,OKYS51,LBKT00,434774.69,RUB,900,26/03/2016,25.83,USD,517.05
26/01/2014 00:02,RMXBXWQA13785020,Chain Wind Staffs,KUWI70,NCYN50,46658.0,USD,100,23/10/2018,466.58,USD,519.67
26/01/2014 00:02,SOORLDNY60220898,Lightning Barrels,VAHJ53,JXGF57,15852.0,USD,400,26/06/2018,39.63,USD,35.59
26/01/2014 00:02,LKNGQFGB33181295,Stocks,VIMV38,FJOI82,8786.0,USD,100,30/08/2018,87.86,USD,94.15
26/01/2014 00:03,HPLITWGE81161314,Stocks,HHOA99,UEVD88,2172000.0,USD,8000,29/11/2016,271.5,USD,317.99
26/01/2014 00:04,FFFVMONG58595792,Stocks,YFAM59,HHFP66,14582400.0,USD,80000,22/11/2017,182.28,USD,146.2
26/01/2014 00:04,ZLVSSPQD39667578,Stocks,AGBH66,ERHJ34,252171.0,USD,900,25/04/2018,280.19,USD,265.8
26/01/2014 00:04,HZOITNZR88924897,Toxic Orbs,MEOQ86,QXFF29,105766.65,BRL,400,21/06/2015,22.77,USD,238.57
26/01/2014 00:05,DUYWXISF58219708,Stocks,HWJF09,GBEZ65,1061495.4,AMD,900,07/07/2019,95.41,USD,1247.3
26/01/2014 00:05,PJDJAUFZ37623610,Stocks,NFAH30,PIFN94,927261.76,SOS,800,11/11/2018,379.54,USD,1028.32
