dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
11/03/2016 00:00,XCTSONEC04547979,Stocks,OKYS51,CMOI26,16860.0,USD,100,14/06/2018,168.6,USD,147.16
11/03/2016 00:00,JLRQTMYE87323698,Stocks,WVHK10,TRFG21,1243.1,TRY,900,22/07/2018,3.12,USD,1.53
11/03/2016 00:00,WJJLSVNZ51737056,Strongest Potions,HWHS51,VVXA11,34012.0,USD,400,25/09/2020,85.03,USD,95.02
11/03/2016 00:00,AZUGIIEQ17022419,Cocoons,FTFI87,FGQR22,280480.0,USD,2000,23/09/2017,140.24,USD,117.69
11/03/2016 00:00,DLJBHYCS10365692,Stocks,SFZS08,ESPL27,35616.0,USD,700,10/08/2021,231.38,ZMK,56.75
11/03/2016 00:01,ZTCYBCHU23633419,Stocks,VPTI00,OUNH49,480720.0,USD,4000,25/11/2017,120.18,USD,108.12
11/03/2016 00:01,EFJBGEVH65918570,Dragon Balls,SBUT62,RFZG50,10371.0,USD,100,10/06/2019,103.71,USD,98.56
11/03/2016 00:01,ALURBRMR04628088,Stocks,DBCS17,AGBH66,69177.94,KGS,100,25/09/2020,88.25,JMD,752.15
11/03/2016 00:01,GNRUSSLI34753223,Stocks,AMRO66,NQJL85,157960.0,USD,4000,24/03/2017,39.49,USD,42.1
11/03/2016 00:01,JHMEEPRR50821529,Rings of Conflict,SZRJ90,KUWI70,902935643.16,COP,60000,06/04/2019,273.59,USD,16453.53
11/03/2016 00:01,NDXEYDLK45446096,Thief Gloves,PBFW95,GZED20,611615.0,USD,500,25/01/2021,1223.23,USD,1123.03
11/03/2016 00:02,PLQWZITA06057786,Nano-paks,AHMZ79,VLJL11,6697350.0,USD,9000,03/09/2018,744.15,USD,870.75
11/03/2016 00:02,ZCLUUKCR39979762,Stocks,HSWX88,SXHU74,40462411.44,ILS,60000,01/12/2017,85.16,USD,639.82
11/03/2016 00:02,EMVQLKLZ47430693,Surrounders,OPET16,TKVF94,348350.0,USD,5000,10/08/2020,69.67,USD,64.55
11/03/2016 00:02,FDSXYLIZ93265857,Stocks,JXGF57,ZNQA84,3602100.0,USD,30000,10/02/2017,120.07,USD,107.53
11/03/2016 00:03,ASVSLDKC39563837,Stocks,JZTC69,SFEO61,24780.51,CHF,300,28/06/2020,7.72,USD,69.25
11/03/2016 00:03,EPMYKOUZ28310840,Stocks,FTFI87,RJCA92,1423692.78,CNY,10000,04/06/2017,21.53,USD,129.25
11/03/2016 00:03,MPYVQPFG87424027,Bombchus,VCSF07,OPET16,3500448.4,LSL,3000,20/01/2020,398.53,USD,1272.87
11/03/2016 00:03,WDKNPLLT54122865,Tickle-tickle Bugs,LWGE44,FJOI82,1728735.72,KYD,700,18/05/2020,316.14,USD,2098.44
11/03/2016 00:04,OAETTKDA50043775,Stocks,EWUY52,PBFW95,599118.36,MZN,700,04/11/2018,612.02,SRD,967.61
11/03/2016 00:04,CNWYJEFK38165415,Nenyas,RFZG50,PVAZ61,3744000.0,USD,30000,16/07/2019,124.8,USD,137.33
11/03/2016 00:04,EEMJGTBQ54886039,Stocks,MYXF05,SXHU74,76644.0,USD,900,14/06/2019,85.16,USD,71.89
11/03/2016 00:04,IVYPIIXV78295316,Monster Cells,RJUD59,AGBH66,98466.0,USD,600,16/06/2018,10041.41,BBD,156.28
11/03/2016 00:04,ICUXVKTI08737612,Stocks,LIIS96,UIKN63,33840.0,USD,200,08/12/2020,169.2,USD,169.59
11/03/2016 00:04,BCBHMEJG05828771,Stocks,MDEQ10,KRRO64,557055.0,USD,900,30/12/2019,618.95,USD,703.82
11/03/2016 00:04,XUHIKUZV00782652,Stocks,YTAI13,HNLV68,11105656.32,NZD,80000,09/01/2018,62.04,USD,142.95
11/03/2016 00:04,QYPSALGQ87387237,Nemesis Whips,UFAY59,ORQH73,182280.75,MWK,800,13/08/2017,44.47,USD,189.23
11/03/2016 00:05,DNVNDHDS13137271,Cainhurst Badges,DOGG07,UIKN63,67047742.4,GIP,20000,28/05/2017,373.55,USD,3849.66
11/03/2016 00:05,QKXPBNIO77540052,Super Soldier Serums,SHXQ48,YOQG45,1033920.0,USD,9000,15/05/2019,3868.0,VUV,133.58
11/03/2016 00:05,FWLULOBL99578849,Barrier Tags,CMZC67,TBVE46,364281.18,GBP,100,24/09/2017,2437.34,CNY,3377.61
11/03/2016 00:05,QFFJQYDD79918965,Stocks,RJCA92,VGYT30,366123.46,XPF,7000,18/07/2018,180.17,USD,56.72
11/03/2016 00:06,MGKGQQAG64932922,Stocks,OUNH49,NQJL85,394900.0,USD,10000,22/01/2017,39.49,USD,45.98
11/03/2016 00:06,WLFGGQRE64510347,Stocks,FGVK43,OUNH49,108162.0,USD,900,12/04/2020,120.18,USD,146.5
11/03/2016 00:06,WDRUBSDE01926852,Stocks,ITTS26,SRYE59,1936.0,USD,800,03/11/2020,2.42,USD,1.98
11/03/2016 00:06,WXKFNTYI55294013,Cell Cells,RLZK87,AGBH66,13508.0,USD,200,28/12/2020,67.54,USD,71.84
11/03/2016 00:07,BBVUXUDH14262372,Horcuxes,CMOI26,LBKT00,1019854.4,SBD,800,18/02/2018,132.45,USD,1128.46
11/03/2016 00:07,ZBYBWQYO12993760,Bolt Papers,SUOX82,UHOG52,1243040.27,SAR,800,18/12/2017,241.72,USD,1676.26
11/03/2016 00:07,ORABADXL49404822,Wands of Nothing,QHXJ50,PQSW95,531063.0,USD,900,20/01/2020,1203.74,JOD,677.63
11/03/2016 00:08,ARAMKRRN01074923,DigiBytes,KEVJ11,PBFW95,142098.0,USD,600,30/09/2021,236.83,USD,210.52
11/03/2016 00:08,VQHEZJXO90658998,Blue Elixirs,QLCE04,QLMY86,217770.0,USD,700,22/03/2020,311.1,USD,330.59
11/03/2016 00:09,QCCNDPTP81826853,Stocks,QMZU44,YLGZ72,1958552.04,NPR,60000,04/06/2019,47.57,USD,32.72
11/03/2016 00:09,AUVEPTYL58761747,Infiltrators,XRBV61,BDBU00,16406700.0,USD,30000,19/06/2017,1296.29,ISK,555.59
11/03/2016 00:09,EECWBLAT28795718,Stocks,LBKT00,ZXVX98,5002.0,USD,100,24/10/2019,50.02,USD,52.48
11/03/2016 00:09,LGMEHVSD19491789,Mocchi Disks,QETH27,VVBY18,15666527.74,UYU,8000,23/04/2020,54.88,USD,1893.77
11/03/2016 00:09,ZMDBUCME92961896,Djinns,AHMZ79,BDBU00,1187220.0,USD,6000,19/05/2019,197.87,USD,190.06
11/03/2016 00:10,FCFFIYVW87570170,Vagyrisk Claws,HHOA99,SHXQ48,129200.0,USD,2000,17/03/2018,64.6,USD,69.02
