dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
05/11/2017 00:00,YHKOOLLS51634152,Stocks,DGTY64,WVHK10,46729.28,STD,100,22/04/2019,111.83,USD,504.07
05/11/2017 00:01,PWAKVVQO27047375,Stocks,QAZT26,HPTP65,1518500.97,MYR,400,07/07/2018,120.32,USD,4401.82
05/11/2017 00:01,JZEWEDCZ78263341,Grassy Seeds,VLJL11,XHYN07,18882.0,USD,900,14/06/2018,20.98,USD,23.51
05/11/2017 00:02,LWCQFSVC68131006,Levitators,QBAP68,HWHS51,118772.7,MVR,200,01/08/2020,106.29,USD,552.03
05/11/2017 00:03,QSQLMEAI69961045,Absorbing Eyes,WWNS72,HYSJ42,2424.0,USD,100,24/06/2018,24.24,USD,26.15
05/11/2017 00:03,CHPXSPIG90072303,Stocks,HYSJ42,QBVN33,70491750.0,AUD,40000,11/01/2020,32.41,USD,2021.98
05/11/2017 00:04,VRBXAQPH31316961,Stocks,CAVR54,UWUK72,12210.0,USD,200,07/12/2020,61.05,USD,65.57
05/11/2017 00:04,NRTZKUQT56532632,Stocks,PBFW95,PJKH65,881400.0,USD,60000,08/04/2020,14.69,USD,15.34
05/11/2017 00:04,HJQRRVJU52745625,Meow Meow Beans,YSSR29,UEVD88,213780.0,USD,500,16/11/2021,427.56,USD,409.64
05/11/2017 00:04,RPRGLRPK52885041,Atium Bars,NQJL85,YTAI13,3147400.0,USD,20000,15/07/2020,157.37,USD,147.78
05/11/2017 00:05,DAPYOIHQ01799774,Stocks,AMRO66,MFZY76,126476.0,USD,700,20/05/2020,180.68,USD,167.37
05/11/2017 00:05,LERYUMOC10087170,Rejuvenation Tanks,VAHJ53,PQSW95,6259289.26,VUV,900,15/04/2022,252.47,USD,7251.74
05/11/2017 00:05,MYANMCSR33854826,Stocks,MFJJ99,OUNH49,3530964.32,LBP,4000,11/05/2021,448.21,MGA,938.1
05/11/2017 00:05,KJOBHBAP32042066,Stocks,ZVEN26,NGBA40,14655.0,USD,100,29/03/2022,146.55,USD,128.45
05/11/2017 00:06,EVDVLRIL10420427,Zelo Nuts,ZBIO05,NCXS33,1612119.25,LRD,7000,23/08/2018,56.9,USD,272.82
05/11/2017 00:06,IZAMKNDI93647386,Cainhurst Badges,SXTM39,UIKN63,2098080.0,USD,4000,02/04/2021,3753.94,SGD,545.28
05/11/2017 00:06,VFHWDWIG71831327,Deku Sticks,RJCA92,HFLM11,167148.0,USD,400,30/06/2018,417.87,USD,392.85
05/11/2017 00:07,EFSWTHQE18290367,Ampules,GSTD71,LAUA80,7731384.61,GHS,7000,15/07/2018,153.26,USD,1120.82
05/11/2017 00:07,CWKVCVMM37714374,Stocks,UFAY59,TGZI54,1094170.0,USD,7000,11/12/2022,693.36,DZD,171.37
05/11/2017 00:08,MQLDELQO91007559,Stocks,WVHK10,SHXQ48,211169.29,EGP,500,25/06/2019,121.88,USD,413.24
05/11/2017 00:08,XLXFLZVY60609128,Stamina Pluses,SXTM39,EMNK67,13440.0,USD,700,20/06/2022,19.2,USD,18.58
05/11/2017 00:09,BPWJFWYK07253154,Stocks,HPTP65,RJCA92,12290.0,USD,500,01/07/2019,24.58,USD,21.07
05/11/2017 00:09,CCRQDDTZ35937637,Stocks,KRXZ15,HSWX88,354510.0,USD,9000,24/08/2020,39.39,USD,44.32
05/11/2017 00:09,EFQQSUIE24551571,Fire Horns,VVBY18,ORQH73,108204.0,USD,400,12/12/2018,270.51,USD,257.66
05/11/2017 00:11,PWFQGMRO13546075,Shining Coins,FTFI87,NCCX02,1830671.43,TOP,800,22/09/2019,269.74,USD,2437.66
05/11/2017 00:11,TFJHNIDM17093336,Centipedes,QLCE04,SUOX82,247700.94,SEK,500,16/01/2019,129.26,USD,521.7
05/11/2017 00:11,RCRNFWDB66256094,Stocks,TRFG21,RFZG50,4156800.0,USD,80000,05/12/2020,51.96,USD,49.67
05/11/2017 00:12,LHIZTQKK49059367,Stocks,LIJW00,DDIB11,15638.0,USD,700,12/01/2022,216.12,KYD,19.52
05/11/2017 00:12,LUMFXCMJ80609274,White Herbs,WYFO79,NCXS33,21488336.96,GIP,8000,04/01/2020,285.2,USD,2848.8
05/11/2017 00:13,LKRZMKLM17541500,Stocks,DOGG07,TBVE46,797850.0,USD,5000,15/03/2018,159.57,USD,175.99
05/11/2017 00:14,MIGISYLN95943780,Stocks,AMBT33,UACN81,18018.0,USD,900,25/11/2020,20.02,USD,16.87
05/11/2017 00:14,ASJFSLRY74055007,Mocchi Disks,TBVE46,VVBY18,178240.0,USD,4000,13/03/2019,271.4,MDL,40.26
05/11/2017 00:14,BUWJAPIJ44877420,Stocks,LBKT00,NXTO39,5734400.0,USD,40000,23/10/2018,143.36,USD,164.86
05/11/2017 00:15,DIGDSYDS71602289,Magic Lamps,GYWU23,JVHD93,5536651.2,HKD,60000,11/11/2019,26.72,USD,106.3
05/11/2017 00:16,MUFBDUSX59576307,Stocks,UEVD88,VAHJ53,67573.93,MXN,200,02/12/2019,51.03,USD,319.0
05/11/2017 00:16,SUTEFTOI30122193,Stocks,FTFI87,VCSF07,150501.37,BSD,800,01/03/2018,200.82,KGS,167.8
05/11/2017 00:17,NYLYJYXU51242673,Curries of Life,PBFW95,DILF10,65107056.96,QAR,90000,24/08/2019,330.99,USD,805.28
05/11/2017 00:18,DUDNMOGJ97598459,Stocks,AGBH66,VAHJ53,25515.0,USD,500,23/06/2018,51.03,USD,56.05
05/11/2017 00:18,WJXJXWIC19360066,Stocks,WWNS72,FGQR22,441029.64,BMD,60000,10/09/2021,6.29,USD,6.54
05/11/2017 00:19,NSFRGSSS44995157,Stocks,AMBT33,OQXV70,5104.0,USD,400,08/03/2020,12.76,USD,13.56
05/11/2017 00:19,FKINVZUU59555497,Stocks,THJF58,EDYH00,749900.0,USD,5000,30/12/2020,149.98,USD,126.38
05/11/2017 00:19,YWOCSRFE61083936,Mind Pluses,LAUA80,EKXA24,355620.0,USD,6000,05/02/2018,307.75,ZAR,59.77
05/11/2017 00:19,WHHCOHJO37784122,Wrath Hammers,NFAH30,IBLA29,594600.0,USD,60000,22/11/2022,40.11,LRD,10.73
05/11/2017 00:20,TXHLYTWP42217810,Iron Spiders,AGBH66,ZFHD93,8313300.0,USD,30000,10/08/2018,277.11,USD,291.24
05/11/2017 00:20,YTOGAKMI85570796,Stocks,QODV38,OQXV70,1148400.0,USD,90000,07/07/2020,12.76,USD,11.08
05/11/2017 00:21,SQGMWQZF30130480,Bolts,SZRJ90,EPZN28,94639275.0,LKR,50000,10/07/2021,923.31,USD,1625.8
05/11/2017 00:21,SFKHBEMU84538870,Stalkers,KRRO64,TKVF94,32937.84,XPF,800,28/11/2018,152.49,USD,38.28
05/11/2017 00:22,GJOAWHAM62598747,Stocks,MKHA46,OCQF34,212160.0,USD,3000,21/09/2022,70.72,USD,78.56
05/11/2017 00:22,NROAVKZC33988987,Rings of Poison Resistance,SBUT62,KTLA69,176236.0,USD,400,13/05/2021,440.59,USD,412.95
05/11/2017 00:22,MGQEKARA15564213,Stocks,HWJF09,KKZA87,1105800.0,USD,30000,19/08/2022,114.27,LSL,40.52
05/11/2017 00:22,CJZCOWHJ89128641,Doors of Durin,QXFF29,ZSXF19,830790.0,USD,9000,11/11/2021,92.31,USD,105.44
05/11/2017 00:22,PYFXNMVH99037295,Mr. Zerkons,EPZN28,IZTD25,94914.0,USD,900,09/06/2019,105.46,USD,120.03
05/11/2017 00:23,OSTOTOCX05668461,Tear Stones,UIKN63,LIJW00,247888.0,USD,800,30/01/2018,309.86,USD,345.87
05/11/2017 00:24,FPSOJNDM51119268,Mana Ore,ZFHD93,JCWS17,695859.21,XCD,500,23/06/2020,53.68,USD,1300.68
05/11/2017 00:24,PNBCABEQ52477745,Stocks,ISWT83,FORM54,62370.0,USD,7000,19/11/2020,8.91,USD,7.82
05/11/2017 00:24,RTIWSRCO71091193,Stocks,ZSXF19,MKHA46,282213.0,USD,900,28/03/2019,313.57,USD,275.86
05/11/2017 00:25,SUQOOSUN40274333,Ruby Slippers,IBLA29,FYYD57,21640.0,USD,500,09/09/2021,43.28,USD,44.78
05/11/2017 00:26,DUCTLACT16844016,Cerebros,YWMD69,AMRO66,6328703.53,IRR,900,16/02/2018,481.62,USD,6408.48
05/11/2017 00:26,PKXRDUTP75724172,Stocks,EWUY52,TGZI54,7742831.48,LYD,3000,13/05/2020,156.31,USD,2820.65
05/11/2017 00:26,BEZZLEIH90747526,Absorbing Eyes,QXFF29,HYSJ42,4848.0,USD,200,09/01/2018,24.24,USD,27.38
05/11/2017 00:26,GHZQXCGR11490887,Felix Felicis,PBFW95,ISWT83,209041.51,DZD,200,23/11/2022,235.63,USD,1190.29
05/11/2017 00:26,OVABTKYH75845997,Curries of Life,YCZA59,DILF10,165495.0,USD,500,08/12/2022,330.99,USD,377.88
05/11/2017 00:27,FAQOCGTD79864985,Stocks,ERHJ34,AWYB85,75008.0,USD,400,14/12/2022,187.52,USD,200.45
05/11/2017 00:27,PJMRBRAU41304319,Niflheim Alloy Bars,QMZU44,HPTP65,571200.0,USD,40000,31/01/2021,14.28,USD,15.3
05/11/2017 00:27,JTQIKAUD36982337,Stocks,SAAM06,ZBIO05,1640602.51,LYD,9000,07/01/2021,11.04,USD,152.93
05/11/2017 00:27,TMLRBAIZ88650371,Absorb Bulbs,UACN81,ITTS26,178688.0,USD,800,14/05/2019,223.36,USD,245.27
05/11/2017 00:27,BWMGIVTC66080997,Stocks,KEVJ11,YTAI13,73820.0,USD,400,21/02/2020,746.97,LRD,213.42
05/11/2017 00:28,QFBGIACG03448248,Mystic Keys,HHFP66,RFZG50,10052.0,USD,200,29/03/2020,50.26,USD,59.09
05/11/2017 00:28,SOKDXBSZ18726955,Stocks,QOKP03,KRXZ15,898050.0,USD,5000,10/10/2019,179.61,USD,174.79
05/11/2017 00:28,DPSKEAPN56198383,Mystic Keys,CUVZ50,RFZG50,15078.0,USD,300,28/07/2021,50.26,USD,57.6
05/11/2017 00:29,OAMBILFE72913866,Excalibers,SXTM39,UWUK72,26293.55,MDL,300,29/09/2020,14.39,USD,73.71
05/11/2017 00:29,FVKDNJHG91477718,Stocks,MEOQ86,EPZN28,24060852.25,SDG,50000,13/09/2022,67.15,USD,566.33
05/11/2017 00:29,EFFEIFTV61959613,HALs,NXTO39,WYFO79,365800.0,USD,1000,10/02/2021,365.8,USD,412.52
05/11/2017 00:29,WSCTQVEV77168307,Stocks,LKPN86,PVAZ61,290660.0,USD,2000,27/03/2021,145.33,USD,120.51
05/11/2017 00:31,EAXLKISJ17141626,Stocks,OQXV70,HYSJ42,845730.0,USD,9000,24/10/2021,93.97,USD,97.43
05/11/2017 00:31,DSVUXKFK19457012,Stocks,HXDA52,NCYN50,10612.0,USD,700,27/04/2021,15.16,USD,13.4
05/11/2017 00:31,XAGTPTHQ65370142,Dragon Scale Mail,NQJL85,CAVR54,31891.0,USD,100,10/03/2018,318.91,USD,277.37
05/11/2017 00:32,JLSYVXFA35335222,Stocks,YFAM59,LIJW00,261828.0,USD,900,01/06/2018,290.92,USD,273.99
05/11/2017 00:32,NEZWKDNY77550348,Stocks,ZSXF19,TVQQ54,298240.0,USD,4000,31/10/2018,74.56,USD,84.11
05/11/2017 00:33,OBLVYZGX52556143,Stocks,OHKH76,DNIL23,9156400.0,USD,40000,30/09/2021,228.91,USD,198.57
05/11/2017 00:33,OKORWEON81927781,Dragon Balls,QWOA67,RFZG50,2774400.0,USD,40000,29/08/2021,69.36,USD,77.34
05/11/2017 00:33,LTIIALMG30746589,Vampire Fangs,PBFW95,PNFK78,103734.0,USD,900,25/11/2019,115.26,USD,105.74
05/11/2017 00:33,YGTKCTUO98461543,Stocks,MKHA46,ESPL27,2922386.34,AZN,9000,27/08/2019,71.11,USD,275.6
05/11/2017 00:33,CHLYUJEC91077363,Stocks,QBAP68,HPTP65,1082880.0,USD,9000,12/09/2022,120.32,USD,108.95
05/11/2017 00:33,NPENPYNL91561660,Stocks,IIZF28,UWUK72,48840.0,USD,800,03/08/2019,61.05,USD,55.8
05/11/2017 00:34,TFXDGQRP39390224,Cell Cells,ORQH73,AGBH66,6126300.0,USD,90000,11/12/2021,68.07,USD,72.52
05/11/2017 00:34,CWPBDWZL66118384,Sabor de Soledad Chips,QAZT26,DBCS17,63616.0,USD,400,09/06/2019,159.04,USD,150.17
05/11/2017 00:34,RQXSYMDZ63215208,Stocks,VVBY18,MFZY76,1878277.01,EGP,3000,19/04/2022,180.68,USD,584.09
05/11/2017 00:34,PMASKNIG94824715,Mana Ore,ZEHM52,JCWS17,429440.0,USD,8000,03/12/2022,109.36,MAD,49.86
05/11/2017 00:35,FMIEWEYY67714321,Stocks,RJUD59,VAHJ53,17394.6,TND,100,14/11/2020,114.36,NZD,189.67
05/11/2017 00:35,XFWZEPTQ61975471,Stocks,QODV38,FORM54,35640.0,USD,4000,08/08/2021,8.91,USD,10.11
05/11/2017 00:36,ZWLGYAGC21523684,Stocks,LKPN86,HNLV68,233041.97,RWF,800,29/11/2020,57.29,USD,305.44
05/11/2017 00:37,WEGYTTSU14122932,Piranha Plants,MFZY76,HNLV68,667911.38,NAD,400,14/08/2018,1272.6,USD,1784.82
05/11/2017 00:37,FEHNHKXS55884151,Rune Bars,DREA89,ZNQA84,13343000.0,USD,50000,05/02/2021,1191.85,SZL,278.85
05/11/2017 00:37,OFABSQUY02881311,Stocks,SBUT62,BDBU00,15963.0,USD,100,30/09/2020,159.63,USD,144.18
05/11/2017 00:38,KROWESKH18826271,Rings of Polymorph,AHMZ79,UHOG52,369194.18,JMD,600,21/08/2022,770.31,USD,549.75
05/11/2017 00:39,AHSCXAEF66140086,Stocks,VIMV38,WIZJ73,101772.58,KYD,1000,10/07/2020,10.52,USD,88.06
05/11/2017 00:40,CNTKUFLU28193997,Shed Shells,QMZU44,DBCS17,7095009.46,SRD,70000,24/04/2020,33.77,USD,113.46
05/11/2017 00:41,PTHSLESU72606178,Holy Grails,LBKT00,RLZK87,4814810.0,USD,7000,17/11/2022,687.83,USD,770.1
05/11/2017 00:41,WFHCUHYX81709081,Stocks,KRRO64,RNZB01,6514.46,AED,800,11/09/2021,6.6,USD,8.99
05/11/2017 00:41,YLPXGUAG95890329,Psychic Seeds,UWUK72,SZRJ90,1184296.22,KHR,5000,03/12/2019,164.68,USD,256.83
05/11/2017 00:41,FWXBKXRS13266430,Turbo Ethers,TRFG21,VPTI00,8248.0,USD,400,10/03/2021,20.62,USD,18.29
05/11/2017 00:41,QKDHZUCG61685375,Stocks,MFJJ99,PKBF70,17515800.0,USD,90000,04/06/2020,194.62,USD,171.01
05/11/2017 00:42,NSXXLYLS49115299,Stocks,PKBF70,HSWX88,3151200.0,USD,80000,28/05/2018,342.52,CVE,46.17
05/11/2017 00:42,USRVTGBH97109385,Gold Bolts,HWJF09,PNFK78,804240.0,USD,4000,15/01/2018,201.06,USD,186.03
05/11/2017 00:42,BKXQUGCX40193647,Decepticons,YFAM59,SXHU74,33516.0,USD,900,06/01/2022,37.24,USD,42.81
05/11/2017 00:43,CVHUSZJS70801046,DigiBytes,EIWJ22,PBFW95,3934000.0,USD,20000,16/03/2019,196.7,USD,176.77
