dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
30/10/2017 00:00,KWKJHZFK79101403,Stocks,MFJJ99,YWMD69,459979.26,HKD,900,17/10/2020,147.88,USD,593.21
30/10/2017 00:00,RESKWHSH68518075,Stocks,DGTY64,QBVN33,417422.25,LYD,800,28/06/2021,32.04,USD,610.22
30/10/2017 00:00,YDQTCEFH25696902,Stocks,FYYD57,KRRO64,17285700.0,USD,30000,09/07/2022,576.19,USD,600.35
30/10/2017 00:01,VZVKSVMG08376728,Mana Ore,FJOI82,JCWS17,3653702.64,CRC,90000,26/03/2021,54.39,USD,45.76
30/10/2017 00:01,UJJKOKAZ80304925,Stocks,INIL60,OPZI26,114940.0,USD,7000,31/10/2018,16.42,USD,17.19
30/10/2017 00:01,SGHGCNUM35331964,Stocks,ITTS26,XHYN07,33552.34,HTG,100,27/03/2021,18.5,USD,328.49
30/10/2017 00:01,OSZMVWJV36248322,Red Fangs,EMNK67,ZDAI73,30840.0,USD,6000,05/11/2022,5.14,USD,4.79
30/10/2017 00:01,FSLHEIDA29764809,Amulets of Restful Sleep,AYIH50,VGYT30,126741.94,MYR,500,02/01/2022,8.16,USD,232.93
30/10/2017 00:01,EDWPAGPV28146834,Stocks,AYIH50,EPZN28,2125844.4,KMF,8000,09/02/2022,67.53,USD,257.03
30/10/2017 00:01,EKCERWAL99419769,Meow Meow Beans,MRAH32,UEVD88,4163600.0,USD,10000,15/08/2021,416.36,USD,342.0
30/10/2017 00:01,PCLBUTNG70882263,Lunar Curtains,QLMY86,EPZN28,3991604.16,CLP,900,14/02/2018,615.39,USD,3976.69
30/10/2017 00:01,PJBVATUK05558950,Diverseys,UWUK72,TQSJ85,568092.92,LYD,400,13/12/2018,87.21,USD,1366.84
30/10/2017 00:01,XQPRQMFH32158720,Fumbles,GIWG34,JXGF57,8072127.58,MUR,600,15/04/2019,201.91,USD,15848.62
