dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
23/04/2018 00:00,ALPCTQZH52861934,Stocks,FJOI82,YLGZ72,54131.0,USD,700,05/05/2020,77.33,USD,66.05
23/04/2018 00:00,AKOREEEU33432592,Go-Pods,QBVN33,QOKP03,14880.0,USD,200,30/03/2020,74.4,USD,68.52
23/04/2018 00:01,HMEXTXWG76092708,Koins,MFJJ99,IZLM67,46100.0,USD,500,12/04/2022,92.2,USD,82.08
23/04/2018 00:01,VSQZHGMT52171999,Water Walking Boots,ZMLP81,BMRZ75,138725.0,USD,500,13/10/2020,277.45,USD,317.57
23/04/2018 00:02,KBFQKUSK04734478,Stocks,SWGF93,HYSJ42,67263.0,USD,700,18/04/2020,96.09,USD,109.41
23/04/2018 00:02,ZMJXRTZY95340149,Vesper,SBUT62,VXSM31,11101200.0,USD,60000,25/06/2019,185.02,USD,158.93
23/04/2018 00:02,STCPTXKV07336073,Stocks,HFLM11,VAHJ53,25830.0,USD,500,01/03/2019,51.66,USD,45.96
23/04/2018 00:03,WSVIYSMZ01079216,Stocks,EWUY52,HFLM11,1412300.0,USD,10000,15/07/2020,141.23,USD,158.61
23/04/2018 00:03,HEGIJIWI96672619,Stocks,CBOX52,ERHJ34,252965.0,USD,500,31/05/2022,505.93,USD,513.06
23/04/2018 00:03,RPRMNTDN19010324,Stocks,LWGE44,OKYS51,44373.84,MNT,60000,24/04/2019,8.54,USD,0.68
23/04/2018 00:03,DKKHFRPZ76659485,Stocks,UEVD88,FAWI50,15845.0,USD,100,29/08/2021,158.45,USD,166.05
23/04/2018 00:04,URAMOELY75665285,Stocks,XHYN07,YOQG45,99240.0,USD,2000,17/04/2019,49.62,USD,52.53
23/04/2018 00:04,JJBAYFGP88987354,String of Beads,LIJW00,FTFI87,9849.98,JPY,70000,24/11/2019,3.22,USD,0.13
23/04/2018 00:04,RKEGJEXU51281218,Master Swords,YFAM59,ZVEN26,25860.0,USD,1000,20/03/2019,52.42,NZD,23.59
23/04/2018 00:05,SWPTEWVP69843459,Stocks,TQSJ85,GIWG34,11883.46,BDT,800,05/12/2020,2.16,USD,12.86
23/04/2018 00:05,NUSNCAHS17657968,Stocks,FGQR22,CAVR54,5481000.0,USD,60000,10/01/2020,91.35,USD,76.51
23/04/2018 00:05,XUNZYHDK31910539,Garu Disks,BBAX06,KUWI70,65790.0,USD,9000,09/09/2019,7.31,USD,7.98
23/04/2018 00:06,LMKKJMPU34183384,Stocks,LKPN86,WIZJ73,4770.0,USD,500,31/08/2019,9.54,USD,10.05
23/04/2018 00:07,JLANTWQF95927259,Stocks,HNLV68,RJUD59,4936275.12,AWG,60000,06/05/2021,16.52,USD,77.88
23/04/2018 00:07,EIICBKAH99237608,Stocks,GZED20,ZNQA84,1047180.0,USD,6000,16/12/2021,714.68,KMF,190.96
23/04/2018 00:07,UHRGZHCW30210529,Millennium Eyes,INIL60,CIXF70,144330.0,USD,600,29/05/2019,240.55,USD,210.83
23/04/2018 00:08,NOFSKQOG92932546,Stocks,NCXS33,OQXV70,9864.0,USD,800,27/12/2022,12.33,USD,13.97
23/04/2018 00:09,SJRJLXWN01219699,Stocks,WVHK10,CAVR54,91350.0,USD,1000,14/01/2021,91.35,USD,80.71
23/04/2018 00:10,APANSFRQ25101164,Stocks,VPTI00,HPTP65,47340.0,USD,400,22/01/2022,118.35,USD,124.3
23/04/2018 00:11,HTJKNLYH82926211,Stocks,EWUY52,VTKE98,66320.52,MXN,100,30/06/2022,84.13,USD,787.45
23/04/2018 00:11,TFUDGBFG38571361,Stocks,FJOI82,GZED20,57602520.0,SCR,80000,24/09/2019,198.75,USD,857.27
23/04/2018 00:12,VXYWWCDK70918101,Stocks,KKGY69,AMRO66,125344.36,VND,700,07/05/2019,32.97,USD,153.29
23/04/2018 00:12,GGXPZUHZ26435321,Slurm,MSHS03,TRFG21,853100.0,USD,10000,20/09/2023,85.31,USD,79.8
23/04/2018 00:12,XPCOPQVB00298307,Stocks,SHXQ48,EIWJ22,135950.0,USD,5000,09/10/2023,26.02,DKK,27.65
23/04/2018 00:14,VTBRNKRF62061928,Stocks,SMYT95,YOQG45,992400.0,USD,20000,05/05/2022,49.62,USD,49.77
23/04/2018 00:15,YQHVIRVT23826707,Stocks,SFZS08,MHFC34,42264.0,USD,400,23/10/2019,105.66,USD,94.48
23/04/2018 00:15,WRTXHTRD39137512,Stocks,VVBY18,LBKT00,2830.0,USD,500,11/01/2022,5.66,USD,6.11
23/04/2018 00:16,HPEEIXPX46188079,Stocks,MFZY76,MKHA46,1149240.0,USD,4000,27/10/2021,287.31,USD,306.28
23/04/2018 00:16,ZABPNUCH87016701,Tarkartan Blades,DNIL23,WHPS18,69828.09,ETB,100,05/06/2019,75.91,USD,845.62
23/04/2018 00:16,PHTVNXPI82769307,Stocks,EKXA24,YOQG45,1984800.0,USD,40000,18/12/2021,49.62,USD,53.16
23/04/2018 00:17,UTBSSNPY18480822,Mocchi Disks,EKXA24,VVBY18,35008.0,USD,800,26/01/2021,43.76,USD,49.15
23/04/2018 00:17,HKYKTORX45475519,Butterflys,GIWG34,SBUT62,101192.0,USD,800,08/03/2023,126.49,USD,110.23
23/04/2018 00:17,AYUALHZT29422395,Blue Fire Powder,HWHS51,CIXF70,330105.51,BHD,600,21/04/2020,148.04,USD,488.49
23/04/2018 00:18,BKODZIAN37432877,Stocks,IIZF28,OPET16,1636.0,USD,400,07/03/2020,4.09,USD,4.02
23/04/2018 00:18,SFYCYLQG80710702,Hades Helms,GZED20,ZELV96,87026.0,USD,200,30/04/2020,435.13,USD,392.57
23/04/2018 00:18,HYKNGMBQ13559605,Fire Horns,XRBV61,ORQH73,137664.0,USD,600,14/09/2023,229.44,USD,248.22
23/04/2018 00:19,ZTLFIGNN32668529,Stocks,ZSXF19,ZELV96,3913509.12,AOA,40000,19/01/2023,16.44,USD,108.45
23/04/2018 00:19,JVWEHEVC68754559,Stocks,MRAH32,LIJW00,538196.26,SBD,200,30/06/2020,335.4,USD,2631.74
23/04/2018 00:19,LKBXCVUY00950440,Stocks,NQJL85,SEKK26,39345796.8,LBP,60000,23/05/2021,55.32,USD,683.84
23/04/2018 00:20,EHIBJBOT90366452,Stocks,UEVD88,JZTC69,49245.0,USD,300,12/09/2022,1945.83,LBP,139.0
23/04/2018 00:21,QQPDSZXN76142708,Stocks,QODV38,AYIH50,159843.16,QAR,400,03/02/2020,981.21,TMM,456.58
23/04/2018 00:21,DWIVAFWH72028241,Stocks,ESPL27,UFAY59,44496.0,USD,900,26/09/2019,154.33,EGP,46.7
23/04/2018 00:22,XPKBRBES80338683,Stocks,LAUA80,NCCX02,872644.15,RON,700,13/04/2019,698.16,USD,1414.3
23/04/2018 00:23,ITCHBAZU24755135,Stocks,DOGG07,VGYT30,1890180.0,USD,9000,20/03/2023,210.02,USD,238.82
23/04/2018 00:24,SHQGEQTX59035059,Pacts,PNFK78,KRXZ15,1059280.0,USD,8000,25/11/2019,661.85,TMM,111.54
23/04/2018 00:24,TJILPUJV04951713,Millennium Keys,QHXJ50,JXGF57,124115.0,USD,500,08/10/2020,248.23,USD,274.74
23/04/2018 00:24,ZDIPDATJ93302481,Stocks,ERHJ34,MHFC34,84528.0,USD,800,24/05/2019,105.66,USD,104.08
23/04/2018 00:24,HSZBTDYG36050559,Stocks,AWYB85,CAVR54,639450.0,USD,7000,30/03/2023,91.35,USD,97.04
23/04/2018 00:24,SBQNYDZH94113431,Stocks,JCWS17,SMYT95,207903.28,CHF,300,10/07/2020,16.28,CDF,771.26
23/04/2018 00:25,CPAEECHK27855797,Magic Markers,TFLS35,WWNS72,6678.0,USD,200,27/06/2023,33.39,USD,29.43
23/04/2018 00:25,JZJOZJBO75484698,Stocks,IIZF28,CVMG22,645400.0,USD,20000,15/10/2023,32.27,USD,31.66
23/04/2018 00:26,BKFRFMXJ45046255,Decks of Many Things,OKYS51,UFAY59,36858400.0,USD,80000,12/07/2020,460.73,USD,426.92
23/04/2018 00:26,DEDFOACC08206428,Stocks,JXGF57,DDIB11,89670.0,USD,3000,12/10/2019,29.89,USD,27.62
23/04/2018 00:27,ATYJGIHY91646065,Stocks,IZLM67,UEVD88,173220.0,USD,600,07/05/2019,288.7,USD,268.26
23/04/2018 00:27,MQOVAHDJ55966452,Stocks,VESX21,VVXA11,182608.0,USD,800,25/01/2021,228.26,USD,213.42
23/04/2018 00:28,MFKGUSWE42691259,Gundams,LAUA80,SBUT62,1611630.0,USD,9000,17/06/2022,179.07,USD,152.29
23/04/2018 00:28,UTWAIKRR59747921,Reflectors,QWOA67,VIMV38,2957220.0,USD,9000,05/04/2023,328.58,USD,269.31
23/04/2018 00:29,JPVUWQBK77329104,Elven Mithril Coats,KKGY69,SWGF93,36490.0,USD,500,24/12/2022,72.98,USD,84.89
23/04/2018 00:30,IXSCYCXX97570519,Titan Horns,PVAZ61,MRAH32,89796.48,NZD,300,28/09/2023,147.66,USD,328.2
23/04/2018 00:30,SPMBLKCY81128960,Scrolls of Mail,PBFW95,UACN81,4173293.33,UYU,3000,07/12/2021,35.78,USD,1381.03
23/04/2018 00:30,VMDFOGXV86413807,Thief Gloves,EWUY52,GZED20,661400.0,USD,400,09/03/2022,1653.5,USD,1860.22
23/04/2018 00:30,QBJHNRJW06803386,Stocks,MDEQ10,QXFF29,1075897.8,BHD,30000,30/08/2019,9.65,USD,37.9
23/04/2018 00:31,YGBQTATO86392032,Stocks,HHOA99,THJF58,27722.68,LAK,500,31/12/2020,22.64,USD,58.76
23/04/2018 00:31,DJUWVPPL92646178,Stocks,DGTY64,GYWU23,33310.0,USD,1000,20/08/2022,33.31,USD,36.14
23/04/2018 00:32,FNWQWHWP02695937,Falco Disks,SWGF93,CBOX52,80437.0,USD,700,01/05/2021,114.91,USD,102.24
23/04/2018 00:32,UFOMXZEC30806632,Fire Tablets,WWNS72,UIKN63,15395.0,USD,100,17/07/2021,153.95,USD,134.11
23/04/2018 00:33,SRAAUOFQ36101695,Stocks,HSWX88,ZMLP81,22640.0,USD,800,01/03/2021,28.3,USD,25.54
23/04/2018 00:33,ZNQKXANY32116773,Stocks,WWNS72,ERHJ34,177022377.35,TMM,70000,08/07/2020,505.93,USD,2093.22
23/04/2018 00:34,QISSKLKH56864110,Stocks,KRRO64,ZEHM52,847800.0,USD,20000,14/01/2022,42.39,USD,47.89
23/04/2018 00:34,FPCTTQXW61577892,Hades Helms,JCWS17,ZELV96,304591.0,USD,700,13/06/2022,435.13,USD,419.96
23/04/2018 00:34,STZLPPCY14221820,Finnests,SRYE59,TGZI54,38042874.56,XCD,9000,12/06/2021,147.94,USD,3924.47
23/04/2018 00:34,XYSNGXIZ76642125,Valars,NXTO39,KKGY69,902749.43,AOA,600,08/12/2020,252.82,USD,1469.85
23/04/2018 00:35,XINKGOSI63187637,Stocks,NCCX02,YFAM59,45114.0,USD,600,19/04/2020,75.19,USD,84.52
23/04/2018 00:35,KFGUVYNY26477684,Cloaks of Magic Resistance,CQPJ57,GZED20,18399.0,USD,300,09/09/2023,61.33,USD,59.04
23/04/2018 00:36,NBMQQCEA72395698,Stocks,IIZF28,UIKN63,4947600.0,USD,30000,04/04/2020,164.92,USD,166.3
23/04/2018 00:36,VBGYAGBS34898664,Stocks,DGTY64,INIL60,485000.0,USD,20000,13/12/2023,24.25,USD,26.71
23/04/2018 00:36,BHXXSOGH74297868,Fatmans,VVXA11,AWYB85,325320.0,USD,3000,02/09/2019,108.44,USD,100.47
23/04/2018 00:37,XOICCFWN26942516,Choice Bands,RFZG50,AMRO66,615817.28,AZN,1000,07/09/2020,132.32,USD,548.22
23/04/2018 00:37,JXZTNHOR22586437,Stocks,VVXA11,INIL60,8211.29,AED,300,24/02/2022,24.25,USD,31.45
23/04/2018 00:38,JNKRYYKO23119062,Argonaughts,GIWG34,GYWU23,340249.0,USD,700,29/09/2020,2439.54,STD,573.25
23/04/2018 00:38,DDRDEFUH40791422,L Coffees,TBVE46,OHKH76,41038021.4,OMR,50000,14/06/2022,166.52,USD,773.33
23/04/2018 00:40,IUJCUWRD91107220,Stocks,CQPJ57,SFEO61,1355.0,USD,100,03/05/2020,13.55,USD,12.42
23/04/2018 00:41,UJYADTZH29954707,Stocks,RFZG50,SHXQ48,4829448.2,IDR,9000,01/09/2021,118.86,USD,483.92
23/04/2018 00:41,IOTUTVBH32948258,Stocks,MKHA46,HSWX88,3148000.0,USD,80000,05/06/2022,772.51,CAD,45.53
23/04/2018 00:43,PEZJERMC05286775,Stocks,MDEQ10,EIWJ22,19033.0,USD,700,29/03/2020,27.19,USD,27.68
23/04/2018 00:43,FAQRAINU63073935,Moranth Melters,MKHA46,VVXA11,20496.0,USD,100,25/01/2023,204.96,USD,186.86
23/04/2018 00:43,OITKUVQX74157840,Misty Seeds,UEVD88,TQSJ85,664200.0,USD,5000,05/12/2022,132.84,USD,142.73
23/04/2018 00:44,ANLGBCNM27978059,Stocks,OCQF34,PJKH65,41160.0,USD,3000,30/04/2021,13.72,USD,14.33
23/04/2018 00:44,FEBHHFZO81557259,Stocks,YOQG45,BMRZ75,973646.16,ZAR,700,22/09/2023,270.85,USD,1620.32
23/04/2018 00:44,QHMUAGEQ17634974,Wands of Watoomb,SXTM39,VKMV12,457520.0,USD,800,20/08/2022,571.9,USD,498.21
23/04/2018 00:45,PRWXJJPG88615528,Stocks,SZRJ90,GIWG34,1589.13,KYD,100,24/03/2020,2.16,USD,14.11
23/04/2018 00:45,EPLYUBBZ31428344,Infiltrators,EPZN28,BDBU00,29231500.0,USD,50000,09/01/2023,584.63,USD,661.13
23/04/2018 00:45,QZZKYORI78478492,Stocks,HFLM11,SEKK26,33192.0,USD,600,07/07/2020,55.32,USD,62.59
23/04/2018 00:45,WIJHRXNI10375652,Stocks,OCQF34,FDWI64,526500.0,USD,30000,22/10/2022,17.55,USD,19.87
23/04/2018 00:45,CTRNCGWT77062593,Stocks,AYIH50,RDBE21,667200.0,USD,40000,18/09/2021,16.68,USD,16.83
23/04/2018 00:46,RMZCVZNB42954643,Shaman Bone Blades,VKMV12,QLCE04,1002660.0,USD,6000,22/03/2020,167.11,USD,194.04
23/04/2018 00:46,BVVKRCJU52423506,Stocks,VTKE98,QCRG59,9104031.23,UYU,900,07/04/2019,260.18,USD,11796.42
23/04/2018 00:46,YRSTBJVD25550839,Goldy Charms,VLJL11,UEVD88,92880.0,USD,6000,29/10/2020,15.48,USD,14.04
23/04/2018 00:47,PNQVKQPL00103795,Stocks,KRRO64,MEOQ86,130075.6,ZMK,3000,06/12/2023,7.31,USD,49.14
23/04/2018 00:47,VQJQOMVL24556313,Stocks,EPZN28,WWNS72,9512133.14,MGA,4000,13/11/2020,2492.55,FKP,1981.21
23/04/2018 00:48,GCUHOLEN37364637,Stocks,EDYH00,SXHU74,220800.0,USD,4000,02/08/2020,143.94,CZK,58.92
23/04/2018 00:48,TYFFUJZM85104000,Stocks,UIKN63,YOQG45,1201166.23,WST,9000,06/04/2022,49.62,USD,144.32
23/04/2018 00:49,JFEWSHUB13745523,Millennium Rods,QOKP03,TYAE14,23757300.0,USD,90000,02/05/2022,20668.38,MUR,289.63
23/04/2018 00:49,HHDDIQQQ00395374,Bolt Papers,UEVD88,UHOG52,13752075.9,CAD,6000,20/06/2019,116.75,USD,1980.72
23/04/2018 00:50,NXTGLMZV24603636,Stocks,QLMY86,RQGG65,16368.0,USD,400,26/04/2019,40.92,USD,48.74
23/04/2018 00:50,DPESTATR87421071,Mana Ore,NGBA40,JCWS17,469500.0,USD,10000,30/07/2021,46.95,USD,55.86
23/04/2018 00:51,DLPGMIVO74921230,Stocks,QAZT26,OPET16,19472.33,AOA,800,22/10/2022,4.09,USD,22.23
