dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
03/02/2018 00:00,WNMESXWW55519448,Stocks,VVXA11,ISWT83,7059500.0,USD,50000,16/02/2019,141.19,USD,156.84
03/02/2018 00:00,VHYMTOPA66601523,Stocks,DVVB31,GIWG34,64153.48,INR,1000,18/08/2023,2.03,USD,68.23
03/02/2018 00:00,AZXHQAEZ93644484,Stocks,LIIS96,DBCS17,394770.0,USD,3000,16/11/2019,131.59,USD,135.54
03/02/2018 00:00,YKYISEVC30768459,Redstone Blocks,HFLM11,CAVR54,34368300.0,USD,90000,26/04/2021,381.87,USD,418.75
03/02/2018 00:01,VIACPFEP33400457,Stocks,QAZT26,OKYS51,17000.0,USD,2000,04/04/2021,8.5,USD,7.86
03/02/2018 00:01,UTQZLTNX17341606,Stocks,CIXF70,NXTO39,89040.0,USD,800,10/08/2023,111.3,USD,121.69
03/02/2018 00:01,JNGSVNON14185081,Owls of Athena,HXDA52,WIZJ73,2961760.0,USD,8000,15/06/2023,370.22,USD,395.96
03/02/2018 00:01,IQARWAKD18476109,Stocks,SMYT95,LAUA80,297999.58,CHF,100,08/12/2023,324.99,USD,2731.02
03/02/2018 00:01,LFSZHHWI44247869,Dragon Eggs,RQGG65,YCZA59,86502.0,USD,300,24/10/2022,1880.96,PYG,309.57
03/02/2018 00:01,HZULJRBY60337244,Nitro Powder Blocks,ZDAI73,LWGE44,113976.0,USD,600,13/08/2019,189.96,USD,171.73
03/02/2018 00:01,QTGTNWHO62945929,Surrounders,ZNQA84,TKVF94,5405400.0,USD,90000,05/04/2019,328.41,MGA,50.59
03/02/2018 00:01,ELVQVKIC75861557,Stocks,NQJL85,IZLM67,156212.96,OMR,400,09/02/2020,302.38,PGK,416.8
03/02/2018 00:01,WXNNIOKV88741583,Stocks,FJOI82,MKHA46,2531250.0,USD,9000,10/12/2023,281.25,USD,248.32
03/02/2018 00:01,RLMGOOPY61792382,Mjolnirs,GBEZ65,FORM54,141552.0,USD,400,02/06/2020,353.88,USD,384.59
03/02/2018 00:01,QMLDUCXN40188447,Stocks,SBUT62,SZRJ90,1043950.0,USD,5000,12/03/2022,208.79,USD,224.71
03/02/2018 00:01,SCCAJYHJ09752739,Stocks,VKMV12,PVAZ61,1036770.0,USD,7000,10/12/2020,148.11,USD,178.57
03/02/2018 00:01,NBTWHION33166315,Master Swords,VLJL11,ZVEN26,1271277.72,CVE,6000,16/12/2023,25.29,USD,220.12
03/02/2018 00:02,ASEVYIZD22743418,Stocks,ZFHD93,YWMD69,869606.96,DOP,800,30/04/2020,138.89,USD,1050.72
03/02/2018 00:02,LIJXJTYY46937676,Stocks,BPLN25,BMRZ75,39258345.18,BZD,20000,03/02/2023,277.77,USD,2013.17
03/02/2018 00:02,THIZSXRV02972973,Stocks,IJPI82,OHKH76,504879.84,NIO,10000,20/02/2020,24.12,USD,45.1
03/02/2018 00:02,JFAHTZTN02719664,Stalkers,WYFO79,TKVF94,632680.0,USD,4000,11/09/2020,158.17,USD,132.84
03/02/2018 00:02,TPTQISSQ61584492,Hades Helms,NGBA40,ZELV96,185260.0,USD,400,10/06/2020,463.15,USD,531.37
03/02/2018 00:02,VVFDMDML35663254,Super Soldier Serums,CQPJ57,YOQG45,697446.75,BRL,600,06/08/2019,92.9,USD,1123.04
03/02/2018 00:02,LYHBEYWF77513140,Celestial Dials,TFLS35,INIL60,61400.0,USD,1000,23/10/2020,61.4,USD,56.47
03/02/2018 00:03,CHFGKCTO31526955,Hi-Potions,QCRG59,PKBF70,125360.0,USD,1000,15/02/2020,125.36,USD,117.94
03/02/2018 00:03,SVBOOAXR20144686,Stocks,DREA89,MHFC34,33395.03,LAK,100,15/02/2022,129.76,USD,353.77
03/02/2018 00:03,TLCOPPQO43585378,Stocks,DDIB11,HSWX88,25710.0,USD,600,08/04/2022,221.73,RWF,50.94
03/02/2018 00:04,GQNWYBVR58913814,Stocks,JVHD93,OCQF34,55440.0,USD,900,16/09/2019,347.73,XOF,69.67
03/02/2018 00:04,SVSNCIVN09943131,Dragon Balls,LKPN86,RFZG50,245875.52,JMD,5000,29/03/2023,60.74,USD,44.43
03/02/2018 00:04,DRVLYFOX46388475,Stocks,ZFHD93,EMNK67,54204.0,USD,400,27/01/2019,135.51,USD,148.1
03/02/2018 00:04,SUQXHMWU84506169,Stocks,DREA89,VCSF07,24090.0,USD,600,11/12/2023,40.15,USD,36.56
03/02/2018 00:04,GRHPUKCA09382561,Zelo Nuts,ZEHM52,NCXS33,11657603.98,INR,6000,22/06/2022,61.48,USD,2065.76
03/02/2018 00:04,CVHDIBUM99135080,Stocks,VVBY18,ZXVX98,28584.0,USD,600,29/10/2020,47.64,USD,53.29
03/02/2018 00:05,DXAWGHMR35398138,Cloaks of Invisibility,YOQG45,HPTP65,26439.0,USD,700,15/08/2022,86.4,ISK,35.41
03/02/2018 00:05,IBFNNDLM00786502,Sabor de Soledad Chips,TGZI54,DBCS17,55945.0,USD,500,28/12/2021,111.89,USD,118.36
03/02/2018 00:05,FXAUXWUD72742876,Stocks,KUWI70,TGZI54,92334.0,USD,600,08/06/2021,492.03,HKD,133.69
