dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
20/07/2018 00:00,HVUAZIDG12518401,Stocks,SRYE59,DJNE62,29764.0,USD,400,12/11/2020,74.41,USD,65.99
20/07/2018 00:00,GWMLBRIC60855568,Stocks,BBAX06,OQXV70,299764.53,ARS,2000,16/04/2022,11.07,USD,162.67
20/07/2018 00:00,MLYMJTQT73602921,Iron Balls,MDEQ10,RJCA92,8517181.2,SDG,10000,03/05/2019,127.56,USD,863.7
20/07/2018 00:00,WKGNFWHO78391023,Gold Needles,IBLA29,PKBF70,5496500.0,USD,10000,18/03/2021,549.65,USD,473.2
20/07/2018 00:00,ONUZIZRR12063572,Stocks,QCRG59,INIL60,7371.0,USD,300,03/03/2021,24.57,USD,27.63
20/07/2018 00:00,TNDNWXNK60760072,Rings of Conflict,VLJL11,KUWI70,137165.0,USD,500,24/03/2020,38188.93,PHP,235.78
20/07/2018 00:00,IENUHUDM96838818,Stocks,NCXS33,SHXQ48,34800.0,USD,300,22/01/2019,116.0,USD,104.8
20/07/2018 00:00,CBXVDSZE35960215,L-Viruses,YCZA59,MHFC34,3022500.0,USD,30000,27/02/2021,100.75,USD,111.85
20/07/2018 00:00,YCKZFMGQ89887973,Flame Orbs,MYXF05,BDBU00,162000.0,USD,800,16/10/2023,202.5,USD,170.17
20/07/2018 00:01,EGYZESMX58407119,Elven Mithril Coats,YTAI13,SWGF93,72160.52,THB,1000,03/08/2021,67.75,USD,63.11
20/07/2018 00:01,TBOTVXBY35095624,Stocks,PJKH65,HHFP66,231136.0,USD,800,08/04/2023,288.92,USD,323.24
20/07/2018 00:01,BRQTNGSH26171228,Heart Containers,DREA89,OCQF34,2393988.1,ETB,500,29/03/2020,529.14,USD,5255.95
20/07/2018 00:01,HGGNJVMZ48020330,Stars,FYYD57,TRFG21,78400.0,USD,200,02/01/2022,392.0,USD,342.34
20/07/2018 00:02,VCRVEUIZ27838173,Stocks,GZED20,YWMD69,1000715.56,FJD,1000,12/07/2021,127.82,USD,1151.64
20/07/2018 00:02,FXUAXMVO67429813,Sonic Screwdrivers,TQSJ85,PVAZ61,652400.0,USD,1000,28/04/2019,652.4,USD,738.96
20/07/2018 00:03,XRTGELPB28573630,Stocks,ZXVX98,ZDAI73,138834.0,USD,600,15/07/2021,231.39,USD,250.34
20/07/2018 00:03,EQAKVFQH40943629,Gold Dust,QAZT26,QBVN33,33908.0,USD,700,06/10/2021,48.44,USD,44.1
20/07/2018 00:03,LMLFMQBT95654436,Choice Bands,EKXA24,AMRO66,14342400.0,USD,90000,04/01/2020,159.36,USD,137.25
20/07/2018 00:04,VEFVGFRL82145598,Stocks,GIWG34,DOGG07,48300.0,USD,2000,22/05/2023,24.15,USD,25.7
20/07/2018 00:04,DDOSZJZY61545527,Tarkartan Blades,JZTC69,WHPS18,24201.0,USD,300,23/06/2020,80.67,USD,89.55
20/07/2018 00:04,CCRKFXAM16916082,Stocks,IJPI82,THJF58,130860.0,USD,6000,11/12/2020,21.81,USD,19.94
20/07/2018 00:04,GDEXTLSP74827400,Stocks,QETH27,HHOA99,2515014.37,TWD,1000,27/11/2022,6.97,USD,2381.47
20/07/2018 00:05,IRLEFSBO74770516,Companion Cubes,QBAP68,EKXA24,4442400.0,USD,60000,19/03/2022,74.04,USD,79.37
20/07/2018 00:05,YGPQAGQY64058997,Stocks,ISWT83,FORM54,19520.0,USD,2000,18/12/2020,9.76,USD,11.66
20/07/2018 00:05,RISLHBRN68873168,Hearts of Onaga,GBEZ65,RJUD59,151590.0,USD,300,13/05/2023,505.3,USD,503.28
20/07/2018 00:06,PFJSHXPQ68413868,Master Balls,FTFI87,DOGG07,21580.0,USD,500,14/01/2021,43.16,USD,36.62
20/07/2018 00:06,PUWBLQVU94314452,Limit Break Manuals,QXFF29,HSWX88,10954.72,JPY,2000,28/06/2021,3748.09,VUV,5.31
20/07/2018 00:06,HKQGIQXO79691913,Stocks,WYFO79,SRYE59,1512.0,USD,700,27/03/2022,2.16,USD,2.48
20/07/2018 00:06,RRLEAZLG42653165,Red Jewelled Brooches,HPTP65,YOQG45,135392.0,USD,800,03/11/2020,169.24,USD,160.81
20/07/2018 00:07,VYZVGLZE18768364,Stocks,DNIL23,HNLV68,674187.6,PAB,1000,18/01/2020,51.53,USD,713.31
20/07/2018 00:07,LWAVDVWG44561193,Stocks,BMRZ75,FGVK43,924800.0,USD,80000,25/12/2023,11.56,USD,12.67
20/07/2018 00:07,CJPOCQKH51586387,Bolts,SFEO61,EPZN28,699471.0,USD,900,16/12/2020,777.19,USD,833.68
20/07/2018 00:07,OSVODXWX39193667,Bags of Tricks,RQGG65,WVHK10,299774.08,CHF,300,12/05/2023,119.43,USD,958.53
20/07/2018 00:07,RBUHBUQR02678130,Stocks,SBUT62,MFJJ99,20915.0,USD,500,25/11/2019,306.19,GHS,40.1
20/07/2018 00:08,XDEAEBTW40580992,Light Clays,FYYD57,NCXS33,9254.0,USD,200,16/07/2023,46.27,USD,42.74
20/07/2018 00:08,SXMIUMQN28283168,Rings of Free Action,OUNH49,QOKP03,4343000.0,USD,50000,07/02/2023,86.86,USD,78.18
20/07/2018 00:08,AQZCGQZO57210720,Stocks,CQPJ57,RJCA92,216000.0,USD,9000,31/01/2020,88.67,SCR,24.32
20/07/2018 00:08,QFRINBCG06970787,Stocks,ZDAI73,SXHU74,29550.0,USD,500,04/04/2019,59.1,USD,56.64
20/07/2018 00:08,RDOUADPA39202367,Millennium Keys,IIZF28,JXGF57,2342970.0,USD,9000,14/08/2020,260.33,USD,234.43
20/07/2018 00:08,RLHTEOZR48438469,Elven Mithril Coats,BBJG05,SWGF93,54200.0,USD,800,20/09/2021,174.96,LAK,75.89
20/07/2018 00:08,HLKLZYTQ40928596,L-Viruses,WWNS72,MHFC34,50375.0,USD,500,24/03/2023,100.75,USD,109.35
20/07/2018 00:08,IWPWIGZG78411853,Stocks,MRAH32,CMOI26,257820.0,USD,2000,09/03/2020,128.91,USD,116.73
20/07/2018 00:09,BSDNQIHC42952316,Nenyas,HWHS51,PVAZ61,2321400.0,USD,20000,14/02/2020,116.07,USD,102.66
20/07/2018 00:09,UXMCQAEM61608948,Duff,FTFI87,WIZJ73,12442500.0,USD,50000,25/03/2021,312.08,BIF,284.18
20/07/2018 00:10,YVTKLWOO00949208,Stocks,FDWI64,OPET16,377.0,USD,100,12/04/2020,3.77,USD,3.98
20/07/2018 00:10,HXNRZGSU54016677,Amulet Coins,OPET16,ESPL27,89775.0,USD,300,26/10/2023,299.25,USD,271.33
20/07/2018 00:10,LFVKXIOO12943245,Quicksilver Bullets,LWGE44,QMZU44,189036.0,USD,900,03/02/2021,210.04,USD,184.73
20/07/2018 00:10,HTVPCDGN87341622,Stocks,CUVZ50,LIJW00,2451360.0,USD,8000,20/06/2019,306.42,USD,276.98
20/07/2018 00:11,ZGSVFISY14803540,Stocks,VGYT30,MHFC34,1011960.0,USD,9000,02/03/2023,112.44,USD,114.27
20/07/2018 00:11,DRVVKFOL95507964,Octiron Bars,OHKH76,SRYE59,19713.0,USD,100,14/01/2022,197.13,USD,232.14
20/07/2018 00:11,TLQOTEZF32688212,Don Gero Masks,LIJW00,TFLS35,48534.17,BGN,2000,24/07/2020,295.22,USD,25.4
20/07/2018 00:11,AGCXZJSS20399148,Elder Wands,ERHJ34,LKPN86,1136520.0,USD,6000,20/04/2023,189.42,USD,192.85
20/07/2018 00:11,SNENTEUD29553753,Stocks,SXHU74,CBOX52,9416278.2,MOP,20000,27/08/2020,516.81,USD,437.51
20/07/2018 00:11,NHALMZAA53001454,Stocks,HPTP65,QAZT26,1231380.0,USD,3000,05/12/2019,410.46,USD,410.34
20/07/2018 00:12,ABYEMICJ76030769,Garu Disks,VLJL11,KUWI70,22980.0,USD,3000,26/06/2022,7.66,USD,8.66
20/07/2018 00:12,MGLUNNTJ54895278,Stocks,SXTM39,DBCS17,51736.0,USD,400,22/09/2019,141.01,AED,121.6
20/07/2018 00:13,DCBGTUKU80516510,Stocks,KKGI60,CIXF70,9546.0,USD,200,02/10/2021,47.73,USD,40.53
20/07/2018 00:13,IDZACYZG56069782,Great One's Wisdoms,RLZK87,QHXJ50,104734.0,USD,200,21/04/2020,523.67,USD,538.14
20/07/2018 00:13,MPGQZQPK45833460,Stocks,OCQF34,ZMLP81,10868.0,USD,400,03/11/2020,27.17,USD,25.05
20/07/2018 00:14,MNFEWBWP90855987,Nemean Cestuses,IBLA29,JCWS17,880740.0,USD,2000,13/09/2020,440.37,USD,490.55
20/07/2018 00:14,NHDSJIVM19873644,Stocks,KRXZ15,JCWS17,72448.0,USD,800,23/04/2020,751.82,TOP,102.85
20/07/2018 00:14,HNMSMJVQ76234798,Stocks,ZELV96,PVAZ61,2301798.1,SCR,5000,17/10/2023,124.6,USD,403.91
20/07/2018 00:14,VLRUAZDJ98086280,Goldy Charms,TKVF94,UEVD88,4185.0,USD,300,09/12/2020,13.95,USD,15.39
20/07/2018 00:14,IIPFRIID94804044,Iron Balls,MDEQ10,RJCA92,3853434.53,STD,6000,04/09/2019,127.56,USD,735.78
20/07/2018 00:15,FPNRINPF75424256,Stocks,JXGF57,RNZB01,55000.0,USD,10000,17/02/2019,5.5,USD,6.19
20/07/2018 00:15,LEDFOHUT99598929,Rings of Cold Resistance,ZEHM52,DGTY64,325248.0,USD,700,01/11/2021,4185.57,DOP,540.18
20/07/2018 00:15,JUQPMOHV11658057,Meow Meow Beans,VPTI00,UEVD88,328260.0,USD,1000,19/05/2021,328.26,USD,358.69
20/07/2018 00:15,CFWUIPUR61607563,Stocks,MEOQ86,CAVR54,584990.0,USD,7000,03/08/2023,83.57,USD,78.21
20/07/2018 00:15,OBVWHIUK84953921,Stocks,IBLA29,YTAI13,150840.0,USD,800,02/07/2021,188.55,USD,204.81
20/07/2018 00:15,VZYCFYFE13437880,Naknadan Shrines,SUOX82,ZBIO05,59044.0,USD,200,05/01/2019,295.22,USD,310.03
20/07/2018 00:16,EXSNPWYG85110661,Philosopher Stones,VTKE98,IJPI82,15558.18,NAD,100,08/04/2019,115.7,USD,171.69
20/07/2018 00:16,FJKDQOND77110125,Pokeballs,LBKT00,OUNH49,4016400.0,USD,60000,08/06/2022,66.94,USD,60.02
20/07/2018 00:16,RRHMQATB01658828,Rift Crackers,DDIB11,LKPN86,226110.0,USD,3000,09/03/2019,237.81,HKD,77.26
20/07/2018 00:16,GYFAMEDH77390194,Rupees,AGBH66,EDYH00,201745.0,USD,500,13/06/2020,403.49,USD,364.45
20/07/2018 00:17,DHYWGWXD59695660,Stocks,LKPN86,KKGY69,73088.0,USD,800,12/09/2020,91.36,USD,84.9
20/07/2018 00:17,UMGXKBKX95614186,Stocks,RFZG50,JXGF57,563786.9,MXN,400,05/08/2022,184.79,USD,1459.01
20/07/2018 00:17,YZVWYYZZ48657810,Rings of Conflict,HWJF09,KUWI70,24689700.0,USD,90000,27/06/2021,274.33,USD,225.97
20/07/2018 00:17,RHYPREVH86663591,Helms of Telepathy,RLZK87,MEOQ86,26103.02,KWD,200,21/04/2023,30.6,USD,139.11
20/07/2018 00:18,BEMEEKNK88810896,Grassy Seeds,YTAI13,XHYN07,10482.0,USD,600,12/01/2021,76.42,AZN,16.29
20/07/2018 00:18,RWFFNXSJ48014078,Nails of Helena,DJNE62,JVHD93,63760.0,USD,200,14/07/2020,318.8,USD,338.08
20/07/2018 00:18,CFNNMZRK12087773,Stocks,SEKK26,XRBV61,222280.0,USD,500,30/07/2023,444.56,USD,404.84
20/07/2018 00:18,NBBHJGYV79821906,Stocks,EPZN28,HPTP65,114780.0,USD,1000,11/09/2022,114.78,USD,123.68
20/07/2018 00:18,FLLFVVPL39572504,Stocks,ZBIO05,JCWS17,18112.0,USD,200,07/04/2022,90.56,USD,83.01
20/07/2018 00:18,KYBKLJJJ03141184,Stocks,TYAE14,QETH27,10200.0,USD,6000,16/01/2020,1.7,USD,1.53
20/07/2018 00:19,SISNXCVC92960354,Iron Spiders,WHPS18,ZFHD93,81459.0,USD,300,20/06/2022,67.58,PLN,246.8
20/07/2018 00:19,NFZCAJBZ71293897,Stocks,PIFN94,QXFF29,8955.0,USD,900,01/11/2020,9.95,USD,8.71
20/07/2018 00:19,LKSZFBDN62465157,Aether Tanks,JCWS17,TVQQ54,6464.16,NOK,200,23/01/2022,36.0,USD,30.11
20/07/2018 00:19,HVXEMPHX46812287,Gold Pendants,SZRJ90,NQJL85,2193750.0,USD,9000,27/09/2019,243.75,USD,295.08
20/07/2018 00:19,VBJGHBFX50634961,Eyes of Agamotto,BDBU00,BPLN25,815460.0,USD,3000,05/05/2023,271.82,USD,309.62
20/07/2018 00:19,IEPMXNDH63214132,Razor Claws,OPZI26,UWUK72,4602.0,USD,200,31/08/2023,23.01,USD,21.61
20/07/2018 00:20,SRMNJVGY68287774,Stocks,QAZT26,CAVR54,2507100.0,USD,30000,12/08/2020,83.57,USD,74.17
20/07/2018 00:20,FRKVQUOI57153781,Stocks,SFZS08,IIZF28,7370.0,USD,100,17/02/2023,73.7,USD,84.41
20/07/2018 00:20,IWUKHPBN04046145,Tickle-tickle Bugs,CIXF70,FJOI82,120344.0,USD,800,17/04/2020,150.43,USD,145.03
20/07/2018 00:20,DAFMVMYR82231390,Blank Spellbooks,TGZI54,ISWT83,518349.84,TZS,400,13/06/2019,112.58,USD,1187.37
20/07/2018 00:20,BZRKENIX74144229,Stocks,DVVB31,NQJL85,36343.61,MVR,200,18/05/2019,31.28,USD,171.05
20/07/2018 00:20,THLHXLDX74095486,Absorb Bulbs,VAHJ53,ITTS26,55884.0,USD,400,01/11/2019,139.71,USD,159.56
20/07/2018 00:20,HPEISCGE37363292,Stocks,GGLV00,GZED20,9033500.0,USD,50000,31/01/2022,180.67,USD,191.68
20/07/2018 00:21,JGJYUIVC15114571,Stocks,SFEO61,DVVB31,686240.0,USD,8000,29/01/2023,85.78,USD,80.02
20/07/2018 00:21,MVDKVWAY38110837,Capes of Fujin,UFAY59,EWUY52,2392800.0,USD,20000,04/05/2020,119.64,USD,133.56
20/07/2018 00:21,NPTTJQQC27424247,Stocks,BMRZ75,NCCX02,4012700.0,USD,5000,24/06/2022,802.54,USD,927.27
20/07/2018 00:22,JHQZGBBT80098441,Redstone Blocks,AGBH66,CAVR54,903720.0,USD,2000,17/03/2019,3307.52,GHS,473.07
20/07/2018 00:22,TGZBESLJ06957640,Stocks,IBLA29,HYSJ42,245096.99,TOP,300,03/02/2021,98.41,USD,691.55
20/07/2018 00:22,IZVKCTXB75341568,Clank Model Robots,ZFHD93,QETH27,226720.0,USD,2000,08/10/2021,113.36,USD,123.91
20/07/2018 00:22,ZMJVYGHC58099244,Stocks,YWMD69,HWHS51,18768.0,USD,100,29/01/2021,187.68,USD,187.1
20/07/2018 00:22,DNJODOPG15982757,Stocks,NXTO39,FORM54,3904.0,USD,400,01/03/2023,9.76,USD,8.92
20/07/2018 00:22,WXJIDYRA61426514,Stocks,KEVJ11,VIMV38,4634290.77,SZL,3000,28/07/2021,320.67,USD,1442.55
20/07/2018 00:22,JHQLVVLE14018715,Stocks,EIWJ22,YLGZ72,406991.8,TRY,10000,06/12/2020,74.65,USD,37.23
20/07/2018 00:22,PRVQWXVS97178347,Stocks,VIMV38,SXHU74,35460.0,USD,600,16/03/2019,59.1,USD,54.58
20/07/2018 00:23,LUCSYRLK66358584,Chain Wind Staffs,HPTP65,NCYN50,2759897.74,RUB,600,01/11/2020,407.27,USD,4022.17
20/07/2018 00:23,YQBEOGHZ80506773,Gauntlets of Power,KKZA87,NFAH30,10766400.0,USD,20000,10/05/2023,538.32,USD,494.16
