dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
11/06/2018 00:00,AYHWBKJH80085980,Light Curtains,KRXZ15,YLGZ72,34078.0,USD,100,29/08/2020,340.78,USD,334.26
11/06/2018 00:00,ZQLICFLP18224690,Stocks,EWUY52,LKPN86,56924.0,USD,700,13/07/2021,81.32,USD,75.69
11/06/2018 00:01,CTYKPQWA41140935,Strongest Potions,SEKK26,VVXA11,15696.0,USD,200,02/03/2020,78.48,USD,77.89
11/06/2018 00:01,ZAYUUHFC92993814,Stocks,PBFW95,CUVZ50,109260.0,USD,1000,20/10/2019,109.26,USD,115.83
11/06/2018 00:01,VGLWELLU86555960,Stocks,ESPL27,ZBIO05,70290.0,USD,9000,27/05/2019,7.81,USD,7.22
11/06/2018 00:01,WCNRTPKN72766257,Seastone Cuffs,QLCE04,HXDA52,90684.0,USD,900,02/04/2020,100.76,USD,115.45
11/06/2018 00:02,FDLPVQLX29844223,Stocks,BMRZ75,YLGZ72,18396.4,NIO,100,10/03/2020,76.69,USD,198.19
11/06/2018 00:02,PGSPXQXS06213094,Stocks,VIMV38,SRYE59,452.0,USD,200,11/05/2020,2.26,USD,2.59
11/06/2018 00:02,NNMKQALU56749633,Vestiges,DDIB11,SZRJ90,1098737.4,BAM,5000,25/04/2019,661.89,USD,246.97
11/06/2018 00:02,HNQCCIFV45898824,Stocks,GZED20,DJNE62,4506000.0,USD,60000,09/01/2020,75.1,USD,61.09
11/06/2018 00:02,KWCAEEIR94600605,Stocks,INIL60,KEVJ11,14609.0,USD,700,18/04/2022,20.87,USD,20.55
11/06/2018 00:03,OKYXBOZD49703508,Stocks,QCRG59,CAVR54,714400.0,USD,8000,01/05/2020,89.3,USD,86.36
11/06/2018 00:03,AZXWHEAW50397660,Blue Digizoids,NCCX02,INIL60,267496.0,USD,400,06/09/2019,668.74,USD,622.88
11/06/2018 00:03,LQNDDZWX88914922,Loadstones,DNIL23,TYAE14,16224.0,USD,300,15/04/2023,54.08,USD,48.88
11/06/2018 00:03,JYZYSHGQ45163807,Jumbonium Atoms,ISWT83,MYXF05,529620.0,USD,3000,27/11/2022,176.54,USD,195.01
11/06/2018 00:04,KALUYJJG25404816,Stocks,GSTD71,GGLV00,35674.95,NIO,800,04/01/2022,18.59,USD,39.64
11/06/2018 00:04,VOVIBFMK31360004,Potions of Water,LBKT00,HHOA99,17223364.8,CRC,80000,29/03/2019,309.15,USD,238.65
11/06/2018 00:04,IFFMJFPL73891570,Stocks,XRBV61,MFJJ99,38016.0,USD,900,31/03/2019,42.24,USD,46.86
11/06/2018 00:04,BOEPYPIT96776577,Stocks,FJOI82,CQPJ57,8484.0,USD,200,22/11/2022,42.42,USD,50.43
11/06/2018 00:05,TOXOOCIX19452727,Joy Cans,MFZY76,ZEHM52,5602200.0,USD,30000,27/07/2019,186.74,USD,162.53
11/06/2018 00:05,ROMMUXCM05512978,Millennium Keys,CQPJ57,JXGF57,117420.0,USD,500,04/10/2023,234.84,USD,240.1
11/06/2018 00:05,YRMPEONU34077840,Rings of Gain Strength,TFLS35,OQXV70,580080.0,USD,8000,09/12/2021,72.51,USD,61.73
11/06/2018 00:05,MMXZKCWX35112242,Mental Herbs,SBUT62,HSWX88,14893251.84,ISK,30000,20/04/2023,196.16,USD,540.48
11/06/2018 00:05,KOIKJHHN31538003,Stocks,SXTM39,LBKT00,3366.0,USD,600,02/02/2022,5.61,USD,6.16
11/06/2018 00:08,BJWFHHKW47650769,Stocks,OKYS51,QLMY86,180074639.85,SBD,70000,25/12/2023,318.99,USD,2744.82
11/06/2018 00:09,QZBUBMAY26813547,Cerebros,MFZY76,AMRO66,1727790.0,USD,3000,12/02/2022,575.93,USD,654.22
11/06/2018 00:09,YRPEMHMY16663999,Rings of Regeneration,FAWI50,GZED20,104832.0,USD,700,10/04/2021,1371.29,ETB,165.75
11/06/2018 00:09,JFJMAAFF33407402,White Gold Rings,MRAH32,SXHU74,4141000.0,USD,50000,27/12/2022,82.82,USD,83.14
11/06/2018 00:09,DJHFFUUX02809560,Stocks,MYXF05,DOGG07,12655.0,USD,500,27/06/2022,25.31,USD,27.03
11/06/2018 00:10,SDYVQZFA82017953,Stocks,OKYS51,PJKH65,8040.0,USD,600,08/03/2023,13.4,USD,14.23
11/06/2018 00:10,FLLTIQPH74133238,Stocks,PNFK78,VGYT30,424760.0,USD,2000,31/03/2021,212.38,USD,221.03
11/06/2018 00:11,GPLXRBJG85881173,Stocks,UHOG52,KEVJ11,10563.56,ISK,200,11/04/2023,20.87,USD,47.18
11/06/2018 00:11,TCIMMBWQ07049442,Stocks,VTKE98,VPTI00,318950.0,USD,5000,10/08/2021,63.79,USD,74.24
11/06/2018 00:13,VGVUKPLI90009523,Stocks,QBVN33,RJUD59,320400.0,USD,20000,26/03/2019,74.37,GEL,14.79
11/06/2018 00:13,EUTFLHBW40223256,Stocks,VXSM31,NCCX02,66329100.0,USD,90000,27/12/2020,736.99,USD,722.19
11/06/2018 00:13,QMMFUMIF61329545,Stocks,IZTD25,OPET16,1680.0,USD,400,28/02/2022,4.2,USD,4.4
11/06/2018 00:14,QEZVNXDH95546806,Holy Bones,YWMD69,IIZF28,67080.0,USD,600,31/03/2023,111.8,USD,117.54
11/06/2018 00:14,JIRFOVLY96256968,Vagyrisk Claws,ORQH73,SHXQ48,204720.0,USD,3000,09/11/2021,68.24,USD,60.25
11/06/2018 00:14,VQKCDPST78262313,Kafel Masks,OUNH49,LAUA80,853.0,USD,100,27/03/2023,8.53,USD,7.39
11/06/2018 00:15,GIRQXMGQ39356974,Urns of Power,EDYH00,QLMY86,118090.0,USD,700,29/05/2021,168.7,USD,169.02
11/06/2018 00:15,LGJTDAAP73336835,Stocks,SAAM06,NCYN50,3640.0,USD,200,03/05/2022,18.2,USD,19.51
11/06/2018 00:15,LKBTADMV71921112,Gold Needles,FDWI64,PKBF70,20187600.0,USD,40000,30/11/2021,504.69,USD,563.68
11/06/2018 00:15,LEZRQSFW73941481,Stocks,WWNS72,QWOA67,86500.0,USD,400,26/11/2021,216.25,USD,199.66
11/06/2018 00:16,TQXDUSNZ25223212,Stocks,KKGY69,WWNS72,2181389.1,BZD,700,16/03/2022,474.73,USD,2757.23
11/06/2018 00:16,UTRYYMFC53507454,Stocks,HHOA99,VTKE98,8903059.07,LYD,6000,04/04/2023,84.63,USD,1711.67
11/06/2018 00:16,PSLKVHEU35233687,Stocks,DNIL23,HWHS51,144105.15,BIF,600,05/01/2022,193.3,USD,307.7
11/06/2018 00:16,ZNNKKHUW65663700,Valars,HNLV68,KKGY69,2229210.0,USD,9000,02/11/2020,247.69,USD,276.76
11/06/2018 00:16,IEUPECZN43751196,Blue Fire Powder,BBJG05,CIXF70,132939.0,USD,900,24/05/2021,147.71,USD,147.84
11/06/2018 00:17,ATKZKCED42199233,Stocks,XHYN07,SZRJ90,202923.0,USD,900,09/10/2019,225.47,USD,257.34
11/06/2018 00:17,LFPITZDA10549486,Hero Association Catalogs,VKMV12,QBAP68,93219.0,USD,700,21/01/2021,133.17,USD,130.84
11/06/2018 00:19,OGMMEKIZ68348749,Leftovers,SRYE59,NXTO39,155826.0,USD,900,25/06/2019,173.14,USD,160.82
11/06/2018 00:20,KNTPZYHO56356766,Stocks,SUOX82,ZMLP81,28759881.6,TZS,90000,07/11/2021,27.21,USD,276.55
11/06/2018 00:20,PROTVXFN45568823,Stocks,NGBA40,RLZK87,1495049.01,BBD,300,02/02/2022,101.08,USD,4528.79
