dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
26/09/2018 00:00,RFYQDZGY44885712,Bablefish,THJF58,TFLS35,2082800.0,USD,10000,22/01/2023,208.28,USD,188.89
26/09/2018 00:01,VBGSMPCA39845423,Moon Tears,RFZG50,PBFW95,5868900.0,USD,30000,25/11/2022,195.63,USD,244.17
26/09/2018 00:01,MQNZENDJ41590587,Big Roots,CQPJ57,MFZY76,18147000.0,USD,60000,29/11/2023,302.45,USD,283.55
26/09/2018 00:01,OKMXSAJD54160192,Stocks,SXHU74,TVQQ54,539680.0,USD,8000,06/12/2019,67.46,USD,70.62
26/09/2018 00:02,LHADZMOP92039995,T-1000s,SMYT95,GBEZ65,155750.0,USD,5000,08/01/2020,31.15,USD,28.99
26/09/2018 00:02,ZRZJBUMK74989546,Stocks,JXGF57,KUWI70,30660.0,USD,3000,01/09/2022,10.22,USD,11.63
26/09/2018 00:02,DASRHXNM63505250,Orcish Ring Mail,EIWJ22,VLJL11,433230.0,USD,7000,05/01/2023,61.89,USD,58.32
26/09/2018 00:02,YJRMCELT39804743,Stocks,INIL60,AYIH50,2592000.0,USD,10000,22/12/2020,259.2,USD,284.67
26/09/2018 00:02,KKCAIYHG57774106,Stocks,JCWS17,SAAM06,497018.72,NZD,2000,24/01/2022,148.63,USD,228.5
26/09/2018 00:02,QRMNSHTT08603178,Golden Lucky Cats,TVQQ54,KRRO64,160560.0,USD,800,15/11/2020,200.7,USD,225.3
26/09/2018 00:03,RDKSQHMZ26763486,Repulsor Beams,RNZB01,XRBV61,466700.0,USD,1000,26/01/2023,466.7,USD,469.49
26/09/2018 00:03,YSRKAXHE79643522,Stocks,DBCS17,SWGF93,550500.0,USD,30000,09/09/2019,18.35,USD,18.85
26/09/2018 00:03,XWVMGZWV65425833,Meow Meow Beans,GZED20,UEVD88,181404.0,USD,600,02/11/2022,302.34,USD,302.54
26/09/2018 00:03,NQEMWVKW08850068,Stocks,ZXVX98,UFAY59,283850.0,USD,5000,22/08/2021,56.77,USD,59.71
26/09/2018 00:04,PWCJYPRE89083658,Philosopher Stones,MEOQ86,IJPI82,5078862.4,PHP,300,12/11/2023,112.27,USD,18154.43
26/09/2018 00:04,VBSXCURH45116407,Quicksilver Bullets,YWMD69,QMZU44,607922.15,ZAR,500,06/02/2023,218.21,USD,1052.13
26/09/2018 00:04,BYPAVHBW62777765,Stocks,SWGF93,FTFI87,18607200.0,USD,30000,12/11/2020,620.24,USD,692.85
26/09/2018 00:04,RMCIJJQL95234745,Stocks,VTKE98,VVBY18,1737000.0,USD,50000,17/07/2021,34.74,USD,37.13
