dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
25/05/2019 00:00,SIGGKJDG89542634,Shinigami Eyes,QLCE04,GIWG34,48870.0,USD,600,11/10/2024,81.45,USD,78.47
25/05/2019 00:00,THRWRAYH23416587,Stocks,AWYB85,MSHS03,63318.0,USD,300,10/02/2021,682.34,MRO,232.99
25/05/2019 00:00,THEKIYMO52265320,Black Materia Orbs,QODV38,VCSF07,3265.0,USD,500,21/07/2022,6.53,USD,6.19
25/05/2019 00:00,ZUOHJITH41754210,Scent Charms,ITTS26,BPLN25,4328.0,USD,400,12/11/2024,10.82,USD,11.23
25/05/2019 00:01,TPBKYXQV43806297,Vampire Fangs,ZDAI73,PNFK78,794307.39,DKK,9000,26/07/2020,104.83,USD,101.47
25/05/2019 00:01,BOXTWCEO99121213,Stocks,MHFC34,VTKE98,1967229.84,CHF,3000,14/10/2020,77.6,USD,771.54
25/05/2019 00:01,CRROXGVF08322548,Stocks,CVMG22,BDBU00,37179.0,USD,300,15/04/2023,123.93,USD,104.94
25/05/2019 00:01,UMRKMLWT55375335,Marvins,SBUT62,WHPS18,404720.0,USD,4000,22/07/2021,101.18,USD,107.96
25/05/2019 00:01,OUDBEQQG15648062,Dino Disks,ZMLP81,MHFC34,32014825.44,VUV,60000,17/12/2024,21.15,NAD,611.31
25/05/2019 00:01,RDWIFAJO75596280,Cloaks of Magic Resistance,GSTD71,GZED20,1461000.0,USD,20000,04/11/2024,73.05,USD,72.4
25/05/2019 00:02,AXETXWUI84133196,Stocks,EIWJ22,IJPI82,238070.0,USD,7000,23/11/2020,34.01,USD,32.16
25/05/2019 00:02,WJHBBODP90625665,Stocks,TYAE14,FYYD57,2364777.23,MKD,7000,17/05/2024,94.42,USD,347.1
25/05/2019 00:02,BUQELUHP06246148,Gauntlets of FUmbling,ZEHM52,NQJL85,863.93,JPY,100,08/10/2021,175.24,USD,9.6
25/05/2019 00:02,VFLNLBHH31661766,Stocks,SAAM06,NFAH30,153456.0,USD,800,13/11/2021,191.82,USD,214.05
25/05/2019 00:02,JQPKSJKE07424293,Stocks,VIMV38,ZNQA84,350708.02,SYP,500,25/04/2022,156.72,USD,696.33
25/05/2019 00:02,JTXAWNJW69877575,Stocks,UEVD88,ZDAI73,1873260.0,USD,9000,19/11/2024,208.14,USD,210.23
25/05/2019 00:02,HFACQXGN76005911,Stocks,VESX21,UWUK72,307151.2,AOA,800,25/07/2024,66.12,USD,390.73
25/05/2019 00:03,BPWKOANY23493567,Wumpa Fruits,ZXVX98,FJOI82,61062.0,USD,100,13/04/2022,610.62,USD,690.2
25/05/2019 00:03,ACAXOTHS04242298,Rings of Searching,DILF10,IZLM67,225650.0,USD,5000,15/08/2023,45.13,USD,42.97
25/05/2019 00:03,LUMJMKKH17024236,Stocks,AMBT33,VXSM31,726480.0,USD,6000,26/06/2022,121.08,USD,137.65
25/05/2019 00:03,FAMNJBWN12887877,Stocks,PBFW95,BBJG05,7651067.13,TRY,90000,06/09/2022,7974.53,BBD,79.63
25/05/2019 00:03,AHCAHJOU57568978,Stocks,IZTD25,DDIB11,1769000.0,USD,50000,08/12/2021,35.38,USD,32.36
25/05/2019 00:04,MJAUYFFN22761344,Stocks,UHOG52,TGZI54,36009.0,USD,300,19/06/2023,120.03,USD,128.88
25/05/2019 00:05,SSNMWCOB21461575,Stocks,VESX21,VAHJ53,20778.0,USD,300,14/04/2022,69.26,USD,60.7
25/05/2019 00:05,OCYKQIAK84557886,Stocks,GBEZ65,ZMLP81,10348.0,USD,400,14/05/2023,25.87,USD,23.39
25/05/2019 00:05,WYOLLBJC62373641,Stamina Pluses,OQXV70,EMNK67,2835386.24,BSD,20000,31/01/2020,26.56,USD,125.54
25/05/2019 00:05,KLARJAEO21348889,Curse Masks,BMRZ75,ZNQA84,4034.0,USD,100,25/11/2020,40.34,USD,36.17
