date,product,marketPrice
24/04/2011,Moloko Plus,55.29
24/04/2011,Pan-Galactic Gargle Blaster,475.09
24/04/2011,Victory Gin,47.74
24/04/2011,Vesper,397.01
24/04/2011,Duff,339.11
24/04/2011,Dark Planet Cola,127.12
24/04/2011,Slurm,149.44
24/04/2011,Nuka-cola,31.43
24/04/2011,Ent-draught,34.8
24/04/2011,Ambrosia,42.53
24/04/2011,Romulan Ale,123.86
24/04/2011,Astro Boys,768.13
24/04/2011,Marvins,70.28
24/04/2011,K-9s,281.53
24/04/2011,Autobots,63.03
24/04/2011,Decepticons,61.87
24/04/2011,Golems,17.86
24/04/2011,Master Balls,148.19
24/04/2011,Ultra Balls,117.78
24/04/2011,T-800s,281.05
24/04/2011,T-1000s,125.95
24/04/2011,Flubbers,373.86
24/04/2011,Spyders,152.38
24/04/2011,B-4s,35.94
24/04/2011,Ultrons,205.93
24/04/2011,Ruby Slippers,65.24
24/04/2011,Catbuses,575.64
24/04/2011,Evangelions,325.35
24/04/2011,Behelits,554.72
24/04/2011,Lightsabres,11.73
24/04/2011,Devil Fruits,241.13
24/04/2011,SMILEs,309.83
24/04/2011,Cornballers,231.97
24/04/2011,Sabor de Soledad Chips,85.22
24/04/2011,Red Apple Cigarettes,337.68
24/04/2011,Wonka Bars,336.55
24/04/2011,Bags of Holding,290.25
24/04/2011,Sending Stones,523.33
24/04/2011,Elder Wands,316.46
24/04/2011,Dornish Red,282.16
24/04/2011,Valaryian Steel Bars,376.56
24/04/2011,Dragon Eggs,436.33
24/04/2011,Cranium Inflolinks,188.26
24/04/2011,LiDAR Mark-Trackers,471.76
24/04/2011,Arm Nanoblades,497.17
24/04/2011,Replicants,22.88
24/04/2011,Venom Canisters,114.41
24/04/2011,Atium Bars,153.54
24/04/2011,Otataral Bars,15.84
24/04/2011,Night Dust,307.15
24/04/2011,Dragon Scales,315.05
24/04/2011,Teeth of the Dragon,651.35
24/04/2011,Chunin Headband,162.57
24/04/2011,Djinns,344.11
24/04/2011,Flying Brooms,8.6
24/04/2011,Flying Carpets,198.69
24/04/2011,Mjolnirs,636.76
24/04/2011,Infinity Stones,224.53
24/04/2011,Infinity Gauntlets,10.13
24/04/2011,Repulsor Beams,480.36
24/04/2011,Super Soldier Serums,176.53
24/04/2011,Vibranium Bars,340.69
24/04/2011,Adamantium Bars,204.3
24/04/2011,Mithril Bars,2.37
24/04/2011,Rune Bars,277.2
24/04/2011,True Names,108.96
24/04/2011,Sigils,173.99
24/04/2011,Strongest Potions,92.52
24/04/2011,Knightmare Frames,332.24
24/04/2011,Mirrors of Erised,423.48
24/04/2011,Pensieves,78.73
24/04/2011,Veritaserums,508.6
24/04/2011,Felix Felicis,353.55
24/04/2011,Horcuxes,338.31
24/04/2011,Philosopher Stones,138.71
24/04/2011,Sorceror Stones,25.38
24/04/2011,Dragon Balls,97.56
24/04/2011,Wind Shurikens,114.2
24/04/2011,Time Turners,515.06
24/04/2011,Moranth Burners,389.09
24/04/2011,Moranth Crackers,169.34
24/04/2011,Moranth Cussers,229.4
24/04/2011,Moranth Flamers,315.05
24/04/2011,Moranth Melters,337.43
24/04/2011,Moranth Shapers,106.53
24/04/2011,Moranth Smokers,130.41
24/04/2011,Finnests,138.21
24/04/2011,Terondais,292.48
24/04/2011,White Gold Rings,117.11
24/04/2011,Hurtloam,309.42
24/04/2011,Rare Candies,193.11
24/04/2011,PP Ups,483.39
24/04/2011,Phoenix Downs,25.14
24/04/2011,Zanpakutos,10.33
24/04/2011,Sensu Beans,257.69
24/04/2011,Namekian Spring Water,10.26
24/04/2011,Australium Bars,197.72
24/04/2011,Aether Tanks,23.36
24/04/2011,Mana Ore,121.3
24/04/2011,Dilithium Crystals,525.64
24/04/2011,Dust Cannisters,366.25
24/04/2011,Energon Cubes,394.73
24/04/2011,Jumbonium Atoms,150.1
24/04/2011,Katchin Bars,16.45
24/04/2011,Krytonite Ore,281.18
24/04/2011,Nanomachines,245.6
24/04/2011,Octiron Bars,261.71
24/04/2011,Redstone Blocks,369.02
24/04/2011,Seastone Cuffs,74.0
24/04/2011,Z-crystals,199.35
24/04/2011,Digivices,72.09
24/04/2011,Pym Particles,9.06
24/04/2011,Wild Card Virus Vials,46.78
24/04/2011,Tachyons,220.79
24/04/2011,Hope,226.58
24/04/2011,Decks of Many Things,247.87
24/04/2011,Golden Fleeces,218.51
24/04/2011,Argonaughts,210.31
24/04/2011,Vestiges,356.25
24/04/2011,Tricorders,141.12
24/04/2011,Replicators,93.06
24/04/2011,Transporters,446.45
24/04/2011,Sonic Screwdrivers,177.16
24/04/2011,Holy Grails,201.31
24/04/2011,Nails of Helena,403.38
24/04/2011,Shrouds of Turin,308.86
24/04/2011,Hoverboards,43.28
24/04/2011,Holodecks,123.11
24/04/2011,Neuralizers,333.01
24/04/2011,Symbiotes,174.12
24/04/2011,Meow Meow Beans,449.76
24/04/2011,6IV Shiny Dittos,492.35
24/04/2011,Holy Hand Grenades,128.74
24/04/2011,Alpha-Omega Bombs,387.28
24/04/2011,Fatmans,104.61
24/04/2011,BFG 9000s,111.76
24/04/2011,Noisy Crickets,233.95
24/04/2011,Lawgivers,80.25
24/04/2011,Phasers,172.22
24/04/2011,Pulse Rifles,29.25
24/04/2011,Vorpal Swords,246.61
24/04/2011,Sausages inna bun,8.1
24/04/2011,Gundams,401.06
24/04/2011,HALs,500.35
24/04/2011,Agents,112.92
24/04/2011,Pipboys,146.22
24/04/2011,Scouters,60.26
24/04/2011,Daemons,413.56
24/04/2011,Pacts,77.93
