date,product,marketPrice
10/01/2011,Moloko Plus,50.76
10/01/2011,Pan-Galactic Gargle Blaster,574.61
10/01/2011,Victory Gin,46.46
10/01/2011,Vesper,438.14
10/01/2011,Duff,354.11
10/01/2011,Dark Planet Cola,142.07
10/01/2011,Slurm,155.25
10/01/2011,Nuka-cola,38.32
10/01/2011,Ent-draught,31.33
10/01/2011,Ambrosia,42.8
10/01/2011,Romulan Ale,148.21
10/01/2011,Astro Boys,715.8
10/01/2011,Marvins,65.79
10/01/2011,K-9s,284.45
10/01/2011,Autobots,57.7
10/01/2011,Decepticons,67.27
10/01/2011,Golems,20.12
10/01/2011,Master Balls,141.44
10/01/2011,Ultra Balls,117.87
10/01/2011,T-800s,313.52
10/01/2011,T-1000s,122.54
10/01/2011,Flubbers,412.79
10/01/2011,Spyders,166.59
10/01/2011,B-4s,42.94
10/01/2011,Ultrons,196.44
10/01/2011,Ruby Slippers,62.73
10/01/2011,Catbuses,677.62
10/01/2011,Evangelions,309.75
10/01/2011,Behelits,578.9
10/01/2011,Lightsabres,11.43
10/01/2011,Devil Fruits,253.51
10/01/2011,SMILEs,375.8
10/01/2011,Cornballers,230.28
10/01/2011,Sabor de Soledad Chips,104.82
10/01/2011,Red Apple Cigarettes,343.81
10/01/2011,Wonka Bars,350.53
10/01/2011,Bags of Holding,272.26
10/01/2011,Sending Stones,512.95
10/01/2011,Elder Wands,292.2
10/01/2011,Dornish Red,352.02
10/01/2011,Valaryian Steel Bars,397.46
10/01/2011,Dragon Eggs,330.8
10/01/2011,Cranium Inflolinks,203.79
10/01/2011,LiDAR Mark-Trackers,435.5
10/01/2011,Arm Nanoblades,458.78
10/01/2011,Replicants,20.54
10/01/2011,Venom Canisters,110.62
10/01/2011,Atium Bars,157.13
10/01/2011,Otataral Bars,17.22
10/01/2011,Night Dust,352.75
10/01/2011,Dragon Scales,274.89
10/01/2011,Teeth of the Dragon,639.76
10/01/2011,Chunin Headband,208.97
10/01/2011,Djinns,316.64
10/01/2011,Flying Brooms,7.52
10/01/2011,Flying Carpets,206.29
10/01/2011,Mjolnirs,669.57
10/01/2011,Infinity Stones,226.38
10/01/2011,Infinity Gauntlets,10.12
10/01/2011,Repulsor Beams,454.15
10/01/2011,Super Soldier Serums,191.05
10/01/2011,Vibranium Bars,323.11
10/01/2011,Adamantium Bars,224.21
10/01/2011,Mithril Bars,2.49
10/01/2011,Rune Bars,334.95
10/01/2011,True Names,99.07
10/01/2011,Sigils,185.01
10/01/2011,Strongest Potions,105.34
10/01/2011,Knightmare Frames,334.52
10/01/2011,Mirrors of Erised,458.53
10/01/2011,Pensieves,85.57
10/01/2011,Veritaserums,552.21
10/01/2011,Felix Felicis,355.06
10/01/2011,Horcuxes,344.64
10/01/2011,Philosopher Stones,154.25
10/01/2011,Sorceror Stones,22.85
10/01/2011,Dragon Balls,112.38
10/01/2011,Wind Shurikens,108.98
10/01/2011,Time Turners,421.15
10/01/2011,Moranth Burners,357.08
10/01/2011,Moranth Crackers,145.9
10/01/2011,Moranth Cussers,225.42
10/01/2011,Moranth Flamers,309.56
10/01/2011,Moranth Melters,342.92
10/01/2011,Moranth Shapers,100.67
10/01/2011,Moranth Smokers,131.59
10/01/2011,Finnests,149.46
10/01/2011,Terondais,267.51
10/01/2011,White Gold Rings,115.01
10/01/2011,Hurtloam,267.01
10/01/2011,Rare Candies,158.46
10/01/2011,PP Ups,501.5
10/01/2011,Phoenix Downs,28.85
