date,product,marketPrice
05/11/2011,Moloko Plus,65.7
05/11/2011,Pan-Galactic Gargle Blaster,642.74
05/11/2011,Victory Gin,38.19
05/11/2011,Vesper,471.41
05/11/2011,Duff,289.53
05/11/2011,Dark Planet Cola,130.98
05/11/2011,Slurm,121.66
05/11/2011,Nuka-cola,31.27
05/11/2011,Ent-draught,34.9
05/11/2011,Ambrosia,50.65
05/11/2011,Romulan Ale,122.58
05/11/2011,Astro Boys,654.57
05/11/2011,Marvins,73.53
05/11/2011,K-9s,277.33
05/11/2011,Autobots,53.83
05/11/2011,Decepticons,64.55
05/11/2011,Golems,15.84
05/11/2011,Master Balls,139.63
05/11/2011,Ultra Balls,82.12
05/11/2011,T-800s,258.7
05/11/2011,T-1000s,85.56
05/11/2011,Flubbers,397.41
05/11/2011,Spyders,144.8
05/11/2011,B-4s,38.47
05/11/2011,Ultrons,194.41
05/11/2011,Ruby Slippers,72.43
05/11/2011,Catbuses,683.48
05/11/2011,Evangelions,322.45
05/11/2011,Behelits,625.97
05/11/2011,Lightsabres,12.68
05/11/2011,Devil Fruits,255.0
05/11/2011,SMILEs,290.2
05/11/2011,Cornballers,222.24
05/11/2011,Sabor de Soledad Chips,90.39
05/11/2011,Red Apple Cigarettes,333.89
05/11/2011,Wonka Bars,293.22
05/11/2011,Bags of Holding,341.43
05/11/2011,Sending Stones,518.14
05/11/2011,Elder Wands,263.03
05/11/2011,Dornish Red,256.2
05/11/2011,Valaryian Steel Bars,387.5
05/11/2011,Dragon Eggs,639.93
05/11/2011,Cranium Inflolinks,216.9
05/11/2011,LiDAR Mark-Trackers,483.79
05/11/2011,Arm Nanoblades,473.35
05/11/2011,Replicants,21.64
05/11/2011,Venom Canisters,94.62
05/11/2011,Atium Bars,142.95
05/11/2011,Otataral Bars,16.67
05/11/2011,Night Dust,297.57
05/11/2011,Dragon Scales,300.62
05/11/2011,Teeth of the Dragon,551.99
05/11/2011,Chunin Headband,163.13
05/11/2011,Djinns,236.09
05/11/2011,Flying Brooms,6.81
05/11/2011,Flying Carpets,192.09
05/11/2011,Mjolnirs,633.56
05/11/2011,Infinity Stones,211.0
05/11/2011,Infinity Gauntlets,12.39
05/11/2011,Repulsor Beams,437.92
05/11/2011,Super Soldier Serums,155.84
05/11/2011,Vibranium Bars,354.45
05/11/2011,Adamantium Bars,174.07
05/11/2011,Mithril Bars,2.71
05/11/2011,Rune Bars,307.79
05/11/2011,True Names,107.05
05/11/2011,Sigils,175.45
05/11/2011,Strongest Potions,82.09
05/11/2011,Knightmare Frames,396.74
05/11/2011,Mirrors of Erised,457.56
05/11/2011,Pensieves,62.6
05/11/2011,Veritaserums,582.32
05/11/2011,Felix Felicis,370.21
05/11/2011,Horcuxes,338.48
05/11/2011,Philosopher Stones,119.35
05/11/2011,Sorceror Stones,23.49
05/11/2011,Dragon Balls,105.91
05/11/2011,Wind Shurikens,109.54
05/11/2011,Time Turners,435.65
05/11/2011,Moranth Burners,287.17
05/11/2011,Moranth Crackers,162.42
05/11/2011,Moranth Cussers,210.46
05/11/2011,Moranth Flamers,307.82
05/11/2011,Moranth Melters,302.54
05/11/2011,Moranth Shapers,109.56
05/11/2011,Moranth Smokers,112.64
05/11/2011,Finnests,109.7
05/11/2011,Terondais,254.21
05/11/2011,White Gold Rings,103.6
05/11/2011,Hurtloam,374.68
05/11/2011,Rare Candies,174.19
