date,product,marketPrice
17/03/2012,Moloko Plus,71.31
17/03/2012,Pan-Galactic Gargle Blaster,680.66
17/03/2012,Victory Gin,38.55
17/03/2012,Vesper,396.46
17/03/2012,Duff,374.97
17/03/2012,Dark Planet Cola,134.55
17/03/2012,Slurm,139.34
17/03/2012,Nuka-cola,34.15
17/03/2012,Ent-draught,31.52
17/03/2012,Ambrosia,60.06
17/03/2012,Romulan Ale,113.95
17/03/2012,Astro Boys,903.62
17/03/2012,Marvins,74.51
17/03/2012,K-9s,219.37
17/03/2012,Autobots,53.68
17/03/2012,Decepticons,61.62
17/03/2012,Golems,17.15
17/03/2012,Master Balls,126.19
17/03/2012,Ultra Balls,87.61
17/03/2012,T-800s,304.16
17/03/2012,T-1000s,75.11
17/03/2012,Flubbers,455.97
17/03/2012,Spyders,153.8
17/03/2012,B-4s,35.18
17/03/2012,Ultrons,192.68
17/03/2012,Ruby Slippers,65.54
17/03/2012,Catbuses,799.72
17/03/2012,Evangelions,412.3
17/03/2012,Behelits,651.77
17/03/2012,Lightsabres,11.89
17/03/2012,Devil Fruits,282.12
17/03/2012,SMILEs,265.26
17/03/2012,Cornballers,222.58
17/03/2012,Sabor de Soledad Chips,98.9
17/03/2012,Red Apple Cigarettes,342.0
17/03/2012,Wonka Bars,298.73
17/03/2012,Bags of Holding,308.64
17/03/2012,Sending Stones,527.1
17/03/2012,Elder Wands,296.15
17/03/2012,Dornish Red,247.23
17/03/2012,Valaryian Steel Bars,294.69
17/03/2012,Dragon Eggs,547.6
17/03/2012,Cranium Inflolinks,157.16
17/03/2012,LiDAR Mark-Trackers,381.83
17/03/2012,Arm Nanoblades,382.21
17/03/2012,Replicants,20.17
17/03/2012,Venom Canisters,114.31
17/03/2012,Atium Bars,137.16
17/03/2012,Otataral Bars,18.39
17/03/2012,Night Dust,265.45
17/03/2012,Dragon Scales,241.69
17/03/2012,Teeth of the Dragon,584.86
17/03/2012,Chunin Headband,162.28
17/03/2012,Djinns,197.14
17/03/2012,Flying Brooms,7.73
17/03/2012,Flying Carpets,188.52
17/03/2012,Mjolnirs,650.15
17/03/2012,Infinity Stones,169.81
17/03/2012,Infinity Gauntlets,13.9
17/03/2012,Repulsor Beams,426.63
17/03/2012,Super Soldier Serums,155.29
17/03/2012,Vibranium Bars,483.91
17/03/2012,Adamantium Bars,194.2
17/03/2012,Mithril Bars,2.83
17/03/2012,Rune Bars,325.95
17/03/2012,True Names,121.81
17/03/2012,Sigils,161.49
17/03/2012,Strongest Potions,75.65
17/03/2012,Knightmare Frames,395.14
17/03/2012,Mirrors of Erised,481.83
17/03/2012,Pensieves,62.35
17/03/2012,Veritaserums,636.54
17/03/2012,Felix Felicis,386.31
17/03/2012,Horcuxes,263.49
17/03/2012,Philosopher Stones,128.01
17/03/2012,Sorceror Stones,22.57
17/03/2012,Dragon Balls,102.44
17/03/2012,Wind Shurikens,114.09
17/03/2012,Time Turners,447.84
17/03/2012,Moranth Burners,315.01
17/03/2012,Moranth Crackers,167.09
17/03/2012,Moranth Cussers,199.22
17/03/2012,Moranth Flamers,356.17
17/03/2012,Moranth Melters,257.4
17/03/2012,Moranth Shapers,108.73
17/03/2012,Moranth Smokers,120.0
17/03/2012,Finnests,106.02
17/03/2012,Terondais,275.08
17/03/2012,White Gold Rings,101.18
17/03/2012,Hurtloam,380.88
17/03/2012,Rare Candies,153.68
17/03/2012,PP Ups,438.08
17/03/2012,Phoenix Downs,18.22
17/03/2012,Zanpakutos,10.6
17/03/2012,Sensu Beans,379.46
17/03/2012,Namekian Spring Water,12.82
17/03/2012,Australium Bars,203.62
17/03/2012,Aether Tanks,29.08
17/03/2012,Mana Ore,122.15
17/03/2012,Dilithium Crystals,483.52
17/03/2012,Dust Cannisters,553.51
17/03/2012,Energon Cubes,582.45
17/03/2012,Jumbonium Atoms,210.55
17/03/2012,Katchin Bars,18.77
17/03/2012,Krytonite Ore,280.53
17/03/2012,Nanomachines,235.31
17/03/2012,Octiron Bars,203.66
