date,product,marketPrice
20/02/2014,Moloko Plus,50.67
20/02/2014,Pan-Galactic Gargle Blaster,591.97
20/02/2014,Victory Gin,43.21
20/02/2014,Vesper,306.13
20/02/2014,Duff,275.57
20/02/2014,Dark Planet Cola,70.64
20/02/2014,Slurm,145.17
20/02/2014,Nuka-cola,39.56
20/02/2014,Ent-draught,25.75
20/02/2014,Ambrosia,48.74
20/02/2014,Romulan Ale,101.07
20/02/2014,Astro Boys,1269.75
20/02/2014,Marvins,56.92
20/02/2014,K-9s,107.19
20/02/2014,Autobots,36.28
20/02/2014,Decepticons,61.14
20/02/2014,Golems,11.38
20/02/2014,Master Balls,108.69
20/02/2014,Ultra Balls,66.83
20/02/2014,T-800s,248.32
20/02/2014,T-1000s,71.16
20/02/2014,Flubbers,564.25
20/02/2014,Spyders,147.47
20/02/2014,B-4s,48.74
20/02/2014,Ultrons,205.13
20/02/2014,Ruby Slippers,45.1
20/02/2014,Catbuses,1007.88
20/02/2014,Evangelions,464.95
20/02/2014,Behelits,835.14
20/02/2014,Lightsabres,14.1
20/02/2014,Devil Fruits,189.61
20/02/2014,SMILEs,269.33
20/02/2014,Cornballers,291.82
20/02/2014,Sabor de Soledad Chips,157.13
20/02/2014,Red Apple Cigarettes,345.45
20/02/2014,Wonka Bars,197.8
20/02/2014,Bags of Holding,241.76
20/02/2014,Sending Stones,831.71
20/02/2014,Elder Wands,273.36
20/02/2014,Dornish Red,174.32
20/02/2014,Valaryian Steel Bars,190.98
20/02/2014,Dragon Eggs,575.66
20/02/2014,Cranium Inflolinks,141.49
20/02/2014,LiDAR Mark-Trackers,302.07
20/02/2014,Arm Nanoblades,480.29
20/02/2014,Replicants,8.35
20/02/2014,Venom Canisters,125.05
20/02/2014,Atium Bars,151.61
20/02/2014,Otataral Bars,17.69
20/02/2014,Night Dust,242.76
20/02/2014,Dragon Scales,243.52
20/02/2014,Teeth of the Dragon,416.58
20/02/2014,Chunin Headband,160.14
20/02/2014,Djinns,220.46
20/02/2014,Flying Brooms,12.16
20/02/2014,Flying Carpets,218.25
20/02/2014,Mjolnirs,597.78
20/02/2014,Infinity Stones,107.73
20/02/2014,Infinity Gauntlets,12.88
20/02/2014,Repulsor Beams,385.7
20/02/2014,Super Soldier Serums,132.25
20/02/2014,Vibranium Bars,515.61
20/02/2014,Adamantium Bars,197.76
20/02/2014,Mithril Bars,2.32
20/02/2014,Rune Bars,324.42
20/02/2014,True Names,76.25
20/02/2014,Sigils,109.28
20/02/2014,Strongest Potions,70.28
20/02/2014,Knightmare Frames,411.56
20/02/2014,Mirrors of Erised,429.01
20/02/2014,Pensieves,72.45
20/02/2014,Veritaserums,440.98
20/02/2014,Felix Felicis,380.0
20/02/2014,Horcuxes,173.95
20/02/2014,Philosopher Stones,105.74
20/02/2014,Sorceror Stones,24.4
20/02/2014,Dragon Balls,72.75
20/02/2014,Wind Shurikens,121.75
20/02/2014,Time Turners,493.12
20/02/2014,Moranth Burners,291.63
20/02/2014,Moranth Crackers,182.99
20/02/2014,Moranth Cussers,218.39
20/02/2014,Moranth Flamers,312.66
20/02/2014,Moranth Melters,188.61
20/02/2014,Moranth Shapers,95.67
20/02/2014,Moranth Smokers,103.86
20/02/2014,Finnests,179.88
20/02/2014,Terondais,176.51
20/02/2014,White Gold Rings,100.28
20/02/2014,Hurtloam,247.56
20/02/2014,Rare Candies,116.35
20/02/2014,PP Ups,417.22
20/02/2014,Phoenix Downs,13.71
20/02/2014,Zanpakutos,9.43
20/02/2014,Sensu Beans,278.11
20/02/2014,Namekian Spring Water,12.97
20/02/2014,Australium Bars,103.74
20/02/2014,Aether Tanks,23.25
