date,product,marketPrice
13/06/2015,Moloko Plus,43.19
13/06/2015,Pan-Galactic Gargle Blaster,662.92
13/06/2015,Victory Gin,66.78
13/06/2015,Vesper,305.86
13/06/2015,Duff,343.59
13/06/2015,Dark Planet Cola,87.5
13/06/2015,Slurm,152.87
13/06/2015,Nuka-cola,26.4
13/06/2015,Ent-draught,32.33
13/06/2015,Ambrosia,49.82
13/06/2015,Romulan Ale,111.56
13/06/2015,Astro Boys,2255.28
13/06/2015,Marvins,67.05
13/06/2015,K-9s,74.48
13/06/2015,Autobots,48.36
13/06/2015,Decepticons,61.9
13/06/2015,Golems,13.81
13/06/2015,Master Balls,77.44
13/06/2015,Ultra Balls,56.22
13/06/2015,T-800s,242.94
13/06/2015,T-1000s,74.78
13/06/2015,Flubbers,380.54
13/06/2015,Spyders,143.8
13/06/2015,B-4s,55.63
13/06/2015,Ultrons,233.57
13/06/2015,Ruby Slippers,50.4
13/06/2015,Catbuses,1007.82
13/06/2015,Evangelions,544.49
13/06/2015,Behelits,1046.17
13/06/2015,Lightsabres,13.42
13/06/2015,Devil Fruits,188.05
13/06/2015,SMILEs,271.1
13/06/2015,Cornballers,228.59
13/06/2015,Sabor de Soledad Chips,163.35
13/06/2015,Red Apple Cigarettes,246.05
13/06/2015,Wonka Bars,301.8
13/06/2015,Bags of Holding,313.66
13/06/2015,Sending Stones,1098.6
13/06/2015,Elder Wands,224.67
13/06/2015,Dornish Red,291.8
13/06/2015,Valaryian Steel Bars,154.34
13/06/2015,Dragon Eggs,438.83
13/06/2015,Cranium Inflolinks,100.85
13/06/2015,LiDAR Mark-Trackers,276.22
13/06/2015,Arm Nanoblades,464.54
13/06/2015,Replicants,6.78
13/06/2015,Venom Canisters,128.88
13/06/2015,Atium Bars,146.78
13/06/2015,Otataral Bars,21.83
13/06/2015,Night Dust,241.75
13/06/2015,Dragon Scales,228.97
13/06/2015,Teeth of the Dragon,314.54
13/06/2015,Chunin Headband,157.87
13/06/2015,Djinns,250.76
13/06/2015,Flying Brooms,10.38
13/06/2015,Flying Carpets,100.11
13/06/2015,Mjolnirs,684.62
13/06/2015,Infinity Stones,145.77
13/06/2015,Infinity Gauntlets,11.43
13/06/2015,Repulsor Beams,594.9
13/06/2015,Super Soldier Serums,153.54
13/06/2015,Vibranium Bars,485.58
13/06/2015,Adamantium Bars,204.82
13/06/2015,Mithril Bars,2.44
13/06/2015,Rune Bars,289.08
13/06/2015,True Names,102.58
13/06/2015,Sigils,112.76
13/06/2015,Strongest Potions,88.47
13/06/2015,Knightmare Frames,617.13
13/06/2015,Mirrors of Erised,328.39
13/06/2015,Pensieves,80.01
13/06/2015,Veritaserums,449.44
13/06/2015,Felix Felicis,289.53
13/06/2015,Horcuxes,176.07
13/06/2015,Philosopher Stones,97.4
13/06/2015,Sorceror Stones,20.17
13/06/2015,Dragon Balls,65.95
13/06/2015,Wind Shurikens,88.32
13/06/2015,Time Turners,303.08
13/06/2015,Moranth Burners,441.49
13/06/2015,Moranth Crackers,119.05
13/06/2015,Moranth Cussers,200.22
13/06/2015,Moranth Flamers,216.72
13/06/2015,Moranth Melters,146.75
13/06/2015,Moranth Shapers,115.22
