date,product,marketPrice
14/09/2016,Moloko Plus,47.0
14/09/2016,Pan-Galactic Gargle Blaster,1176.65
14/09/2016,Victory Gin,40.37
14/09/2016,Vesper,295.86
14/09/2016,Duff,336.78
14/09/2016,Dark Planet Cola,93.26
14/09/2016,Slurm,139.9
14/09/2016,Nuka-cola,29.9
14/09/2016,Ent-draught,24.58
14/09/2016,Ambrosia,55.44
14/09/2016,Romulan Ale,125.67
14/09/2016,Astro Boys,2258.06
14/09/2016,Marvins,71.42
14/09/2016,K-9s,54.66
14/09/2016,Autobots,52.74
14/09/2016,Decepticons,42.07
14/09/2016,Golems,11.32
14/09/2016,Master Balls,54.66
14/09/2016,Ultra Balls,53.64
14/09/2016,T-800s,271.32
14/09/2016,T-1000s,33.73
14/09/2016,Flubbers,242.37
14/09/2016,Spyders,159.44
14/09/2016,B-4s,46.83
14/09/2016,Ultrons,198.98
14/09/2016,Ruby Slippers,43.94
14/09/2016,Catbuses,917.01
14/09/2016,Evangelions,523.03
14/09/2016,Behelits,622.58
14/09/2016,Lightsabres,9.79
14/09/2016,Devil Fruits,201.03
14/09/2016,SMILEs,212.09
14/09/2016,Cornballers,260.51
14/09/2016,Sabor de Soledad Chips,168.7
14/09/2016,Red Apple Cigarettes,342.06
14/09/2016,Wonka Bars,373.49
14/09/2016,Bags of Holding,205.37
14/09/2016,Sending Stones,915.9
14/09/2016,Elder Wands,165.26
14/09/2016,Dornish Red,154.31
14/09/2016,Valaryian Steel Bars,272.42
14/09/2016,Dragon Eggs,393.96
14/09/2016,Cranium Inflolinks,88.4
14/09/2016,LiDAR Mark-Trackers,195.99
14/09/2016,Arm Nanoblades,522.54
14/09/2016,Replicants,6.5
14/09/2016,Venom Canisters,152.9
14/09/2016,Atium Bars,168.93
14/09/2016,Otataral Bars,23.4
14/09/2016,Night Dust,151.56
14/09/2016,Dragon Scales,257.96
14/09/2016,Teeth of the Dragon,397.04
14/09/2016,Chunin Headband,192.48
14/09/2016,Djinns,197.59
14/09/2016,Flying Brooms,8.44
14/09/2016,Flying Carpets,117.17
14/09/2016,Mjolnirs,383.98
14/09/2016,Infinity Stones,114.18
14/09/2016,Infinity Gauntlets,14.15
14/09/2016,Repulsor Beams,598.14
14/09/2016,Super Soldier Serums,87.72
14/09/2016,Vibranium Bars,666.0
14/09/2016,Adamantium Bars,315.07
14/09/2016,Mithril Bars,3.25
14/09/2016,Rune Bars,208.68
14/09/2016,True Names,80.93
14/09/2016,Sigils,109.22
14/09/2016,Strongest Potions,76.75
14/09/2016,Knightmare Frames,525.27
14/09/2016,Mirrors of Erised,233.12
14/09/2016,Pensieves,123.17
14/09/2016,Veritaserums,335.98
14/09/2016,Felix Felicis,254.99
14/09/2016,Horcuxes,151.79
14/09/2016,Philosopher Stones,146.13
14/09/2016,Sorceror Stones,12.78
14/09/2016,Dragon Balls,79.3
14/09/2016,Wind Shurikens,136.89
14/09/2016,Time Turners,342.63
14/09/2016,Moranth Burners,349.19
14/09/2016,Moranth Crackers,161.59
14/09/2016,Moranth Cussers,199.8
14/09/2016,Moranth Flamers,208.71
14/09/2016,Moranth Melters,172.06
14/09/2016,Moranth Shapers,76.06
14/09/2016,Moranth Smokers,110.32
14/09/2016,Finnests,96.57
14/09/2016,Terondais,194.01
14/09/2016,White Gold Rings,80.98
14/09/2016,Hurtloam,243.95
14/09/2016,Rare Candies,125.36
14/09/2016,PP Ups,418.72
14/09/2016,Phoenix Downs,18.01
14/09/2016,Zanpakutos,14.04
14/09/2016,Sensu Beans,163.74
14/09/2016,Namekian Spring Water,11.53
14/09/2016,Australium Bars,87.52
14/09/2016,Aether Tanks,21.26
14/09/2016,Mana Ore,71.19
14/09/2016,Dilithium Crystals,161.03
14/09/2016,Dust Cannisters,414.02
14/09/2016,Energon Cubes,777.32
14/09/2016,Jumbonium Atoms,189.22
14/09/2016,Katchin Bars,17.79
14/09/2016,Krytonite Ore,281.2
14/09/2016,Nanomachines,216.3
14/09/2016,Octiron Bars,195.43
14/09/2016,Redstone Blocks,445.03
14/09/2016,Seastone Cuffs,84.05
14/09/2016,Z-crystals,186.3
14/09/2016,Digivices,103.47
14/09/2016,Pym Particles,15.49
14/09/2016,Wild Card Virus Vials,74.0
14/09/2016,Tachyons,195.22
14/09/2016,Hope,206.28
14/09/2016,Decks of Many Things,293.29
14/09/2016,Golden Fleeces,133.99
14/09/2016,Argonaughts,534.95
14/09/2016,Vestiges,715.22
14/09/2016,Tricorders,117.77
14/09/2016,Replicators,86.19
14/09/2016,Transporters,233.04
14/09/2016,Sonic Screwdrivers,426.2
14/09/2016,Holy Grails,410.99
14/09/2016,Nails of Helena,272.03
14/09/2016,Shrouds of Turin,236.02
14/09/2016,Hoverboards,30.93
14/09/2016,Holodecks,222.11
14/09/2016,Neuralizers,113.01
14/09/2016,Symbiotes,302.36
14/09/2016,Meow Meow Beans,338.91
14/09/2016,6IV Shiny Dittos,483.14
14/09/2016,Holy Hand Grenades,224.79
14/09/2016,Alpha-Omega Bombs,1009.83
14/09/2016,Fatmans,69.96
14/09/2016,BFG 9000s,71.15
14/09/2016,Noisy Crickets,108.78
14/09/2016,Lawgivers,52.66
14/09/2016,Phasers,213.03
14/09/2016,Pulse Rifles,18.2
14/09/2016,Vorpal Swords,370.56
14/09/2016,Sausages inna bun,15.72
14/09/2016,Gundams,391.19
14/09/2016,HALs,371.8
14/09/2016,Agents,162.41
14/09/2016,Pipboys,283.18
14/09/2016,Scouters,42.79
14/09/2016,Daemons,174.01
14/09/2016,Pacts,99.61
14/09/2016,Souls,71.91
14/09/2016,Key of Kings,113.12
14/09/2016,Horns of Gondor,488.7
14/09/2016,Excalibers,16.39
14/09/2016,Thousand Sunnys,190.49
14/09/2016,Ampules,150.14
14/09/2016,Badgers,596.97
14/09/2016,Blinds,151.42
14/09/2016,Butterflys,112.29
14/09/2016,Cancellers,160.48
14/09/2016,Carpenters,244.71
14/09/2016,Centipedes,147.89
14/09/2016,Chainsaws,71.76
14/09/2016,Cocoons,119.53
14/09/2016,Drops,284.2
14/09/2016,Diverseys,130.11
14/09/2016,Fridays,100.54
14/09/2016,Full Faces,517.33
14/09/2016,Fumbles,289.94
14/09/2016,Gauntlets,327.02
14/09/2016,Javelins,181.09
14/09/2016,Lavenders,287.48
14/09/2016,Beams,16.03
14/09/2016,Pressures,340.19
14/09/2016,Rapids,151.0
14/09/2016,Reflectors,445.16
14/09/2016,Scripts,73.54
14/09/2016,Shooters,25.1
14/09/2016,Stalkers,173.33
14/09/2016,Stations,214.86
14/09/2016,Stickers,157.12
14/09/2016,Stoles,315.22
14/09/2016,Stringers,347.85
14/09/2016,Surfacers,60.21
14/09/2016,Surrounders,64.32
14/09/2016,Tasters,254.97
14/09/2016,Tortures,33.02
14/09/2016,3D Maneuver Gears,3.01
14/09/2016,Red Orbs,620.03
14/09/2016,Blue Orbs,303.46
14/09/2016,Choice Bands,76.91
14/09/2016,Choice Scarfs,32.31
14/09/2016,Choice Specs,130.9
14/09/2016,Binding Bands,124.09
14/09/2016,Damp Rocks,49.1
14/09/2016,Grip Claws,295.99
14/09/2016,Heat Rocks,9.81
14/09/2016,Icy Rocks,342.36
14/09/2016,Light Clays,53.5
