date,product,marketPrice
27/12/2017,Moloko Plus,43.21
27/12/2017,Pan-Galactic Gargle Blaster,1431.41
27/12/2017,Victory Gin,38.83
27/12/2017,Vesper,213.36
27/12/2017,Duff,300.22
27/12/2017,Dark Planet Cola,111.48
27/12/2017,Slurm,93.96
27/12/2017,Nuka-cola,36.72
27/12/2017,Ent-draught,22.22
27/12/2017,Ambrosia,73.95
27/12/2017,Romulan Ale,102.34
27/12/2017,Astro Boys,1698.09
27/12/2017,Marvins,55.02
27/12/2017,K-9s,68.83
27/12/2017,Autobots,33.64
27/12/2017,Decepticons,43.83
27/12/2017,Golems,8.41
27/12/2017,Master Balls,45.3
27/12/2017,Ultra Balls,36.65
27/12/2017,T-800s,283.19
27/12/2017,T-1000s,29.49
27/12/2017,Flubbers,215.99
27/12/2017,Spyders,194.94
27/12/2017,B-4s,37.58
27/12/2017,Ultrons,176.07
27/12/2017,Ruby Slippers,46.15
27/12/2017,Catbuses,944.33
27/12/2017,Evangelions,565.68
27/12/2017,Behelits,579.85
27/12/2017,Lightsabres,7.79
27/12/2017,Devil Fruits,167.43
27/12/2017,SMILEs,212.88
27/12/2017,Cornballers,268.88
27/12/2017,Sabor de Soledad Chips,118.67
27/12/2017,Red Apple Cigarettes,423.38
27/12/2017,Wonka Bars,333.15
27/12/2017,Bags of Holding,181.8
27/12/2017,Sending Stones,850.77
27/12/2017,Elder Wands,151.58
27/12/2017,Dornish Red,110.88
27/12/2017,Valaryian Steel Bars,216.43
27/12/2017,Dragon Eggs,282.38
27/12/2017,Cranium Inflolinks,80.0
27/12/2017,LiDAR Mark-Trackers,151.26
27/12/2017,Arm Nanoblades,360.92
27/12/2017,Replicants,5.95
27/12/2017,Venom Canisters,131.54
27/12/2017,Atium Bars,176.18
27/12/2017,Otataral Bars,16.51
27/12/2017,Night Dust,160.87
27/12/2017,Dragon Scales,217.46
27/12/2017,Teeth of the Dragon,499.57
27/12/2017,Chunin Headband,192.01
27/12/2017,Djinns,170.67
27/12/2017,Flying Brooms,8.97
27/12/2017,Flying Carpets,98.53
27/12/2017,Mjolnirs,326.28
27/12/2017,Infinity Stones,108.14
