date,product,marketPrice
19/08/2019,Moloko Plus,26.53
19/08/2019,Pan-Galactic Gargle Blaster,1114.49
19/08/2019,Victory Gin,16.91
19/08/2019,Vesper,241.16
19/08/2019,Duff,261.9
19/08/2019,Dark Planet Cola,72.94
19/08/2019,Slurm,72.04
19/08/2019,Nuka-cola,38.36
19/08/2019,Ent-draught,17.72
19/08/2019,Ambrosia,87.48
19/08/2019,Romulan Ale,115.88
19/08/2019,Astro Boys,1875.98
19/08/2019,Marvins,95.26
19/08/2019,K-9s,90.6
19/08/2019,Autobots,38.53
19/08/2019,Decepticons,50.6
19/08/2019,Golems,8.96
19/08/2019,Master Balls,48.88
19/08/2019,Ultra Balls,44.87
19/08/2019,T-800s,208.56
19/08/2019,T-1000s,30.57
19/08/2019,Flubbers,165.99
19/08/2019,Spyders,318.48
19/08/2019,B-4s,44.89
19/08/2019,Ultrons,139.61
19/08/2019,Ruby Slippers,45.84
19/08/2019,Catbuses,603.87
19/08/2019,Evangelions,730.64
19/08/2019,Behelits,447.97
19/08/2019,Lightsabres,9.22
19/08/2019,Devil Fruits,180.23
19/08/2019,SMILEs,168.18
19/08/2019,Cornballers,193.35
19/08/2019,Sabor de Soledad Chips,121.61
19/08/2019,Red Apple Cigarettes,309.24
19/08/2019,Wonka Bars,240.55
19/08/2019,Bags of Holding,187.11
19/08/2019,Sending Stones,818.29
19/08/2019,Elder Wands,218.77
19/08/2019,Dornish Red,112.71
19/08/2019,Valaryian Steel Bars,321.43
19/08/2019,Dragon Eggs,519.88
19/08/2019,Cranium Inflolinks,67.55
19/08/2019,LiDAR Mark-Trackers,192.92
19/08/2019,Arm Nanoblades,236.77
19/08/2019,Replicants,5.17
19/08/2019,Venom Canisters,77.78
19/08/2019,Atium Bars,260.9
19/08/2019,Otataral Bars,20.81
19/08/2019,Night Dust,158.12
19/08/2019,Dragon Scales,226.97
19/08/2019,Teeth of the Dragon,409.83
19/08/2019,Chunin Headband,270.65
19/08/2019,Djinns,170.24
19/08/2019,Flying Brooms,6.24
19/08/2019,Flying Carpets,121.42
19/08/2019,Mjolnirs,710.35
19/08/2019,Infinity Stones,109.65
19/08/2019,Infinity Gauntlets,17.25
19/08/2019,Repulsor Beams,487.59
19/08/2019,Super Soldier Serums,85.66
19/08/2019,Vibranium Bars,477.59
19/08/2019,Adamantium Bars,549.73
19/08/2019,Mithril Bars,4.07
19/08/2019,Rune Bars,162.0
19/08/2019,True Names,70.36
19/08/2019,Sigils,159.24
19/08/2019,Strongest Potions,54.11
19/08/2019,Knightmare Frames,569.74
19/08/2019,Mirrors of Erised,230.9
19/08/2019,Pensieves,70.92
19/08/2019,Veritaserums,246.73
19/08/2019,Felix Felicis,269.09
19/08/2019,Horcuxes,141.1
19/08/2019,Philosopher Stones,115.32
19/08/2019,Sorceror Stones,6.64
19/08/2019,Dragon Balls,70.18
19/08/2019,Wind Shurikens,111.36
19/08/2019,Time Turners,321.39
19/08/2019,Moranth Burners,334.52
19/08/2019,Moranth Crackers,77.7
19/08/2019,Moranth Cussers,208.52
19/08/2019,Moranth Flamers,130.8
19/08/2019,Moranth Melters,250.92
19/08/2019,Moranth Shapers,67.06
19/08/2019,Moranth Smokers,76.24
19/08/2019,Finnests,171.67
19/08/2019,Terondais,125.89
19/08/2019,White Gold Rings,93.98
19/08/2019,Hurtloam,247.04
19/08/2019,Rare Candies,117.65
19/08/2019,PP Ups,500.54
19/08/2019,Phoenix Downs,17.92
19/08/2019,Zanpakutos,17.63
19/08/2019,Sensu Beans,172.67
19/08/2019,Namekian Spring Water,20.44
19/08/2019,Australium Bars,43.87
19/08/2019,Aether Tanks,36.44
19/08/2019,Mana Ore,72.72
19/08/2019,Dilithium Crystals,145.51
19/08/2019,Dust Cannisters,546.96
19/08/2019,Energon Cubes,1066.32
19/08/2019,Jumbonium Atoms,132.73
19/08/2019,Katchin Bars,9.65
19/08/2019,Krytonite Ore,362.79
19/08/2019,Nanomachines,210.32
19/08/2019,Octiron Bars,235.83
19/08/2019,Redstone Blocks,539.95
19/08/2019,Seastone Cuffs,146.85
19/08/2019,Z-crystals,212.22
19/08/2019,Digivices,78.88
19/08/2019,Pym Particles,16.26
19/08/2019,Wild Card Virus Vials,56.58
19/08/2019,Tachyons,105.59
19/08/2019,Hope,90.14
19/08/2019,Decks of Many Things,445.35
19/08/2019,Golden Fleeces,177.94
19/08/2019,Argonaughts,444.98
19/08/2019,Vestiges,756.77
19/08/2019,Tricorders,218.55
19/08/2019,Replicators,75.87
19/08/2019,Transporters,196.27
19/08/2019,Sonic Screwdrivers,375.6
19/08/2019,Holy Grails,719.45
19/08/2019,Nails of Helena,405.12
19/08/2019,Shrouds of Turin,236.57
19/08/2019,Hoverboards,32.99
19/08/2019,Holodecks,181.6
19/08/2019,Neuralizers,124.19
19/08/2019,Symbiotes,213.97
19/08/2019,Meow Meow Beans,292.09
19/08/2019,6IV Shiny Dittos,513.79
19/08/2019,Holy Hand Grenades,235.19
19/08/2019,Alpha-Omega Bombs,979.0
19/08/2019,Fatmans,105.92
19/08/2019,BFG 9000s,81.46
19/08/2019,Noisy Crickets,99.55
19/08/2019,Lawgivers,46.89
19/08/2019,Phasers,118.42
19/08/2019,Pulse Rifles,15.23
19/08/2019,Vorpal Swords,383.77
19/08/2019,Sausages inna bun,17.39
19/08/2019,Gundams,216.81
19/08/2019,HALs,441.59
19/08/2019,Agents,179.4
19/08/2019,Pipboys,178.79
19/08/2019,Scouters,46.07
19/08/2019,Daemons,241.65
19/08/2019,Pacts,75.1
19/08/2019,Souls,70.28
19/08/2019,Key of Kings,86.03
19/08/2019,Horns of Gondor,422.36
19/08/2019,Excalibers,17.09
19/08/2019,Thousand Sunnys,163.64
19/08/2019,Ampules,88.31
19/08/2019,Badgers,832.66
19/08/2019,Blinds,106.99
19/08/2019,Butterflys,93.02
19/08/2019,Cancellers,114.54
19/08/2019,Carpenters,278.85
19/08/2019,Centipedes,123.24
19/08/2019,Chainsaws,48.07
19/08/2019,Cocoons,67.81
19/08/2019,Drops,264.01
19/08/2019,Diverseys,87.82
19/08/2019,Fridays,70.83
19/08/2019,Full Faces,354.63
19/08/2019,Fumbles,151.12
19/08/2019,Gauntlets,320.92
19/08/2019,Javelins,342.28
19/08/2019,Lavenders,207.1
19/08/2019,Beams,23.59
19/08/2019,Pressures,374.2
19/08/2019,Rapids,55.68
19/08/2019,Reflectors,238.23
19/08/2019,Scripts,63.25
19/08/2019,Shooters,29.54
19/08/2019,Stalkers,221.36
19/08/2019,Stations,218.0
19/08/2019,Stickers,122.37
19/08/2019,Stoles,267.67
19/08/2019,Stringers,278.08
19/08/2019,Surfacers,93.46
19/08/2019,Surrounders,77.17
19/08/2019,Tasters,371.31
19/08/2019,Tortures,61.92
19/08/2019,3D Maneuver Gears,3.01
19/08/2019,Red Orbs,491.92
19/08/2019,Blue Orbs,212.04
19/08/2019,Choice Bands,174.17
19/08/2019,Choice Scarfs,34.31
19/08/2019,Choice Specs,94.13
19/08/2019,Binding Bands,174.81
19/08/2019,Damp Rocks,48.58
19/08/2019,Grip Claws,330.58
19/08/2019,Heat Rocks,12.1
19/08/2019,Icy Rocks,538.02
19/08/2019,Light Clays,44.08
19/08/2019,Smooth Rocks,252.27
19/08/2019,Terrain Extenders,225.82
19/08/2019,Mental Herbs,197.12
19/08/2019,Power Herbs,103.29
19/08/2019,White Herbs,247.36
19/08/2019,Big Roots,290.35
19/08/2019,Leftovers,141.67
19/08/2019,Shell Bells,334.67
19/08/2019,Absorb Bulbs,116.94
19/08/2019,Assault Vests,232.32
19/08/2019,Berserk Genes,72.96
19/08/2019,Cell Batteries,26.12
19/08/2019,Electric Seeds,304.66
19/08/2019,Expert Belts,474.94
19/08/2019,Grassy Seeds,13.4
19/08/2019,Life Orbs,29.48
19/08/2019,Metronomes,151.4
19/08/2019,Misty Seeds,156.71
19/08/2019,Muscle Bands,339.51
19/08/2019,Psychic Seeds,220.29
19/08/2019,Scope Lens,17.75
19/08/2019,Snowballs,77.37
19/08/2019,Weakness Policies,276.48
19/08/2019,Wide Lenses,56.11
19/08/2019,Wise Glasses,290.21
