date,product,marketPrice
28/05/2019,Moloko Plus,23.67
28/05/2019,Pan-Galactic Gargle Blaster,1157.5
28/05/2019,Victory Gin,19.96
28/05/2019,Vesper,246.18
28/05/2019,Duff,248.51
28/05/2019,Dark Planet Cola,73.17
28/05/2019,Slurm,76.8
28/05/2019,Nuka-cola,38.8
28/05/2019,Ent-draught,16.36
28/05/2019,Ambrosia,86.02
28/05/2019,Romulan Ale,112.61
28/05/2019,Astro Boys,1547.92
28/05/2019,Marvins,100.39
28/05/2019,K-9s,80.5
28/05/2019,Autobots,34.12
28/05/2019,Decepticons,53.97
28/05/2019,Golems,7.43
28/05/2019,Master Balls,44.27
28/05/2019,Ultra Balls,45.98
28/05/2019,T-800s,191.5
28/05/2019,T-1000s,26.34
28/05/2019,Flubbers,174.44
28/05/2019,Spyders,304.32
28/05/2019,B-4s,55.24
28/05/2019,Ultrons,147.28
28/05/2019,Ruby Slippers,53.79
28/05/2019,Catbuses,515.64
28/05/2019,Evangelions,710.97
28/05/2019,Behelits,461.8
28/05/2019,Lightsabres,8.76
28/05/2019,Devil Fruits,210.37
28/05/2019,SMILEs,166.07
28/05/2019,Cornballers,173.91
28/05/2019,Sabor de Soledad Chips,130.28
28/05/2019,Red Apple Cigarettes,304.48
28/05/2019,Wonka Bars,230.07
28/05/2019,Bags of Holding,196.0
28/05/2019,Sending Stones,856.62
28/05/2019,Elder Wands,237.23
28/05/2019,Dornish Red,103.89
28/05/2019,Valaryian Steel Bars,245.32
28/05/2019,Dragon Eggs,462.89
28/05/2019,Cranium Inflolinks,63.96
28/05/2019,LiDAR Mark-Trackers,162.49
28/05/2019,Arm Nanoblades,291.26
28/05/2019,Replicants,5.1
28/05/2019,Venom Canisters,99.04
28/05/2019,Atium Bars,285.12
28/05/2019,Otataral Bars,20.52
28/05/2019,Night Dust,159.78
28/05/2019,Dragon Scales,204.57
28/05/2019,Teeth of the Dragon,339.16
28/05/2019,Chunin Headband,240.51
28/05/2019,Djinns,155.99
28/05/2019,Flying Brooms,7.07
28/05/2019,Flying Carpets,108.79
28/05/2019,Mjolnirs,646.79
28/05/2019,Infinity Stones,127.26
28/05/2019,Infinity Gauntlets,17.14
28/05/2019,Repulsor Beams,452.01
28/05/2019,Super Soldier Serums,72.85
28/05/2019,Vibranium Bars,550.89
28/05/2019,Adamantium Bars,652.27
28/05/2019,Mithril Bars,3.48
28/05/2019,Rune Bars,184.1
28/05/2019,True Names,77.63
28/05/2019,Sigils,149.52
28/05/2019,Strongest Potions,63.47
