date,product,marketPrice
01/10/2019,Moloko Plus,26.86
01/10/2019,Pan-Galactic Gargle Blaster,1177.6
01/10/2019,Victory Gin,17.62
01/10/2019,Vesper,258.65
01/10/2019,Duff,266.26
01/10/2019,Dark Planet Cola,70.73
01/10/2019,Slurm,73.25
01/10/2019,Nuka-cola,39.56
01/10/2019,Ent-draught,18.29
01/10/2019,Ambrosia,81.76
01/10/2019,Romulan Ale,115.42
01/10/2019,Astro Boys,1896.04
01/10/2019,Marvins,94.86
01/10/2019,K-9s,90.19
01/10/2019,Autobots,39.02
01/10/2019,Decepticons,50.15
01/10/2019,Golems,8.28
01/10/2019,Master Balls,50.15
01/10/2019,Ultra Balls,45.84
01/10/2019,T-800s,232.55
01/10/2019,T-1000s,31.88
01/10/2019,Flubbers,156.55
01/10/2019,Spyders,319.35
01/10/2019,B-4s,45.1
01/10/2019,Ultrons,136.88
01/10/2019,Ruby Slippers,42.07
01/10/2019,Catbuses,683.37
01/10/2019,Evangelions,751.59
01/10/2019,Behelits,434.4
01/10/2019,Lightsabres,11.24
01/10/2019,Devil Fruits,189.61
01/10/2019,SMILEs,159.12
01/10/2019,Cornballers,184.28
01/10/2019,Sabor de Soledad Chips,126.16
01/10/2019,Red Apple Cigarettes,310.43
01/10/2019,Wonka Bars,241.66
01/10/2019,Bags of Holding,194.53
01/10/2019,Sending Stones,798.39
01/10/2019,Elder Wands,201.01
01/10/2019,Dornish Red,115.35
01/10/2019,Valaryian Steel Bars,305.43
01/10/2019,Dragon Eggs,554.41
01/10/2019,Cranium Inflolinks,69.56
01/10/2019,LiDAR Mark-Trackers,166.59
01/10/2019,Arm Nanoblades,231.53
01/10/2019,Replicants,5.15
01/10/2019,Venom Canisters,71.74
01/10/2019,Atium Bars,257.35
01/10/2019,Otataral Bars,22.63
01/10/2019,Night Dust,149.51
01/10/2019,Dragon Scales,244.87
01/10/2019,Teeth of the Dragon,397.89
01/10/2019,Chunin Headband,291.18
01/10/2019,Djinns,174.37
01/10/2019,Flying Brooms,6.45
01/10/2019,Flying Carpets,112.26
01/10/2019,Mjolnirs,769.31
01/10/2019,Infinity Stones,112.1
01/10/2019,Infinity Gauntlets,15.31
01/10/2019,Repulsor Beams,505.55
01/10/2019,Super Soldier Serums,78.04
01/10/2019,Vibranium Bars,482.59
01/10/2019,Adamantium Bars,524.56
01/10/2019,Mithril Bars,3.86
01/10/2019,Rune Bars,171.95
01/10/2019,True Names,70.91
01/10/2019,Sigils,162.1
01/10/2019,Strongest Potions,49.74
01/10/2019,Knightmare Frames,597.88
01/10/2019,Mirrors of Erised,244.89
01/10/2019,Pensieves,65.73
01/10/2019,Veritaserums,251.11
01/10/2019,Felix Felicis,266.02
01/10/2019,Horcuxes,123.78
01/10/2019,Philosopher Stones,106.29
01/10/2019,Sorceror Stones,6.79
01/10/2019,Dragon Balls,67.16
01/10/2019,Wind Shurikens,103.51
01/10/2019,Time Turners,314.78
01/10/2019,Moranth Burners,325.79
01/10/2019,Moranth Crackers,77.56
01/10/2019,Moranth Cussers,217.39
01/10/2019,Moranth Flamers,131.01
01/10/2019,Moranth Melters,256.48
01/10/2019,Moranth Shapers,62.35
01/10/2019,Moranth Smokers,75.8
01/10/2019,Finnests,176.83
01/10/2019,Terondais,127.36
01/10/2019,White Gold Rings,93.77
01/10/2019,Hurtloam,243.63
01/10/2019,Rare Candies,118.95
01/10/2019,PP Ups,499.55
01/10/2019,Phoenix Downs,17.98
01/10/2019,Zanpakutos,17.82
01/10/2019,Sensu Beans,192.49
01/10/2019,Namekian Spring Water,17.66
01/10/2019,Australium Bars,44.01
01/10/2019,Aether Tanks,36.28
01/10/2019,Mana Ore,68.45
01/10/2019,Dilithium Crystals,135.33
01/10/2019,Dust Cannisters,561.49
01/10/2019,Energon Cubes,1044.99
01/10/2019,Jumbonium Atoms,130.39
01/10/2019,Katchin Bars,9.11
01/10/2019,Krytonite Ore,384.56
01/10/2019,Nanomachines,191.43
01/10/2019,Octiron Bars,237.39
01/10/2019,Redstone Blocks,505.76
01/10/2019,Seastone Cuffs,141.4
01/10/2019,Z-crystals,172.3
01/10/2019,Digivices,85.01
01/10/2019,Pym Particles,15.51
01/10/2019,Wild Card Virus Vials,51.46
01/10/2019,Tachyons,106.8
01/10/2019,Hope,103.29
01/10/2019,Decks of Many Things,435.67
01/10/2019,Golden Fleeces,191.91
01/10/2019,Argonaughts,433.35
01/10/2019,Vestiges,827.99
01/10/2019,Tricorders,224.72
01/10/2019,Replicators,68.43
01/10/2019,Transporters,191.29
01/10/2019,Sonic Screwdrivers,348.92
01/10/2019,Holy Grails,705.8
01/10/2019,Nails of Helena,372.07
01/10/2019,Shrouds of Turin,216.38
01/10/2019,Hoverboards,29.42
01/10/2019,Holodecks,186.86
