date,companyID,stockPrice
14/04/2010,QETH27,1.73
14/04/2010,DVVB31,179.17
14/04/2010,EMNK67,179.56
14/04/2010,KTLA69,161.59
14/04/2010,EIWJ22,91.57
14/04/2010,SFZS08,222.61
14/04/2010,YSSR29,56.11
14/04/2010,SWGF93,38.98
14/04/2010,YTAI13,139.06
14/04/2010,NGBA40,128.41
14/04/2010,CMZC67,52.15
14/04/2010,PJKH65,25.9
14/04/2010,HWHS51,168.23
14/04/2010,ZBIO05,19.84
14/04/2010,YWMD69,235.51
14/04/2010,EPZN28,88.27
14/04/2010,VAHJ53,64.41
14/04/2010,HWJF09,156.53
14/04/2010,AGBH66,186.75
14/04/2010,TFLS35,22.91
14/04/2010,VPTI00,78.64
14/04/2010,FORM54,37.27
14/04/2010,QLCE04,92.46
14/04/2010,WIZJ73,10.18
14/04/2010,UFAY59,113.2
14/04/2010,DJNE62,129.71
14/04/2010,GBEZ65,65.81
14/04/2010,SXHU74,141.37
14/04/2010,DOGG07,53.07
14/04/2010,HPTP65,228.92
14/04/2010,GIWG34,4.63
14/04/2010,QHXJ50,136.5
14/04/2010,ERHJ34,235.87
14/04/2010,ZEHM52,134.0
14/04/2010,TBVE46,168.03
14/04/2010,RJUD59,7.24
14/04/2010,PKBF70,143.05
14/04/2010,BPLN25,118.61
14/04/2010,WVEI17,114.77
14/04/2010,VESX21,210.75
14/04/2010,UWUK72,116.34
14/04/2010,SHXQ48,90.79
14/04/2010,TRFG21,3.12
14/04/2010,SEKK26,202.87
14/04/2010,EKXA24,125.57
14/04/2010,PNFK78,95.99
14/04/2010,HFLM11,141.64
14/04/2010,VIMV38,154.5
14/04/2010,DDIB11,8.26
14/04/2010,LBKT00,7.94
14/04/2010,WVHK10,115.94
14/04/2010,EWUY52,232.24
14/04/2010,UHOG52,38.54
14/04/2010,GYWU23,22.91
14/04/2010,THJF58,25.33
14/04/2010,QAZT26,185.07
14/04/2010,MEOQ86,5.02
14/04/2010,KKZA87,38.54
14/04/2010,CQPJ57,49.19
14/04/2010,SAAM06,220.2
14/04/2010,QOKP03,288.96
14/04/2010,LKPN86,75.17
14/04/2010,SFEO61,3.96
14/04/2010,OKYS51,16.49
14/04/2010,MHFC34,139.22
14/04/2010,UIKN63,161.26
14/04/2010,CIXF70,121.85
14/04/2010,WYFO79,44.78
14/04/2010,SBUT62,66.93
14/04/2010,DREA89,65.3
14/04/2010,RNZB01,11.01
14/04/2010,ZFHD93,83.49
14/04/2010,NFAH30,222.85
14/04/2010,KUWI70,7.08
14/04/2010,CVMG22,79.2
14/04/2010,HSWX88,19.07
14/04/2010,VLJL11,225.27
14/04/2010,VCSF07,27.32
14/04/2010,IIZF28,97.52
14/04/2010,VVXA11,213.68
14/04/2010,BDBU00,153.17
14/04/2010,FTFI87,244.75
14/04/2010,DNIL23,241.23
14/04/2010,ZVEN26,66.44
14/04/2010,CBOX52,243.68
14/04/2010,LIIS96,125.03
14/04/2010,FDWI64,39.95
14/04/2010,NCYN50,18.14
14/04/2010,MRAH32,94.18
14/04/2010,FGVK43,71.15
14/04/2010,IJPI82,159.08
14/04/2010,AHMZ79,183.17
14/04/2010,TVQQ54,107.27
14/04/2010,SUOX82,202.65
14/04/2010,QODV38,207.23
14/04/2010,TGZI54,272.22
14/04/2010,BMRZ75,222.08
14/04/2010,QWOA67,189.46
14/04/2010,UEVD88,195.45
14/04/2010,ITTS26,261.81
14/04/2010,ZELV96,32.73
14/04/2010,RFZG50,35.4
14/04/2010,PIFN94,263.6
14/04/2010,YLGZ72,75.56
14/04/2010,ZSXF19,120.89
14/04/2010,IZLM67,81.1
14/04/2010,ORQH73,236.92
14/04/2010,QLMY86,187.06
14/04/2010,VGYT30,118.34
14/04/2010,DGTY64,28.35
14/04/2010,RJCA92,13.19
14/04/2010,JXGF57,120.74
14/04/2010,ZDAI73,163.23
14/04/2010,TKVF94,23.54
14/04/2010,XRBV61,158.23
14/04/2010,QCRG59,133.65
14/04/2010,GZED20,172.89
14/04/2010,VTKE98,99.53
14/04/2010,TYAE14,109.18
14/04/2010,OPET16,9.95
14/04/2010,KEVJ11,14.91
14/04/2010,DBCS17,99.14
14/04/2010,IZTD25,112.11
14/04/2010,KKGI60,158.58
14/04/2010,XHYN07,29.47
14/04/2010,OPZI26,37.58
14/04/2010,HNLV68,119.06
14/04/2010,ZNQA84,67.46
14/04/2010,IBLA29,235.37
14/04/2010,SZRJ90,175.63
14/04/2010,HYSJ42,239.44
14/04/2010,RLZK87,241.01
14/04/2010,NCCX02,205.63
14/04/2010,PVAZ61,148.72
14/04/2010,QBVN33,62.83
14/04/2010,RDBE21,26.58
14/04/2010,FGQR22,25.91
14/04/2010,KKGY69,207.08
14/04/2010,NCXS33,179.92
14/04/2010,NQJL85,97.73
14/04/2010,BBAX06,55.81
14/04/2010,PQSW95,16.37
14/04/2010,VXSM31,175.51
14/04/2010,LAUA80,155.6
14/04/2010,QXFF29,47.91
14/04/2010,LWGE44,8.78
14/04/2010,AMBT33,28.21
14/04/2010,MFZY76,176.6
14/04/2010,BBJG05,227.37
