date,companyID,stockPrice
22/02/2012,QETH27,2.25
22/02/2012,DVVB31,250.95
22/02/2012,EMNK67,213.17
22/02/2012,KTLA69,129.39
22/02/2012,EIWJ22,95.56
22/02/2012,SFZS08,173.67
22/02/2012,YSSR29,52.03
22/02/2012,SWGF93,41.9
22/02/2012,YTAI13,117.04
22/02/2012,NGBA40,109.91
22/02/2012,CMZC67,84.73
22/02/2012,PJKH65,18.44
22/02/2012,HWHS51,217.76
22/02/2012,ZBIO05,28.52
22/02/2012,YWMD69,195.97
22/02/2012,EPZN28,47.61
22/02/2012,VAHJ53,53.15
22/02/2012,HWJF09,280.38
22/02/2012,AGBH66,172.33
22/02/2012,TFLS35,19.79
22/02/2012,VPTI00,76.44
22/02/2012,FORM54,30.28
22/02/2012,QLCE04,71.14
22/02/2012,WIZJ73,11.91
22/02/2012,UFAY59,124.88
22/02/2012,DJNE62,112.19
22/02/2012,GBEZ65,63.48
22/02/2012,SXHU74,127.0
22/02/2012,DOGG07,32.77
22/02/2012,HPTP65,222.19
22/02/2012,GIWG34,3.19
22/02/2012,QHXJ50,91.78
22/02/2012,ERHJ34,212.67
22/02/2012,ZEHM52,93.79
22/02/2012,TBVE46,163.74
22/02/2012,RJUD59,10.35
22/02/2012,PKBF70,186.59
22/02/2012,BPLN25,115.42
22/02/2012,WVEI17,102.55
22/02/2012,VESX21,159.9
22/02/2012,UWUK72,163.07
22/02/2012,SHXQ48,101.52
22/02/2012,TRFG21,3.12
22/02/2012,SEKK26,97.74
22/02/2012,EKXA24,82.38
22/02/2012,PNFK78,134.95
22/02/2012,HFLM11,171.07
22/02/2012,VIMV38,179.38
22/02/2012,DDIB11,15.02
22/02/2012,LBKT00,8.74
22/02/2012,WVHK10,85.91
22/02/2012,EWUY52,153.48
22/02/2012,UHOG52,34.3
22/02/2012,GYWU23,24.69
22/02/2012,THJF58,22.46
22/02/2012,QAZT26,265.67
22/02/2012,MEOQ86,5.41
22/02/2012,KKZA87,40.97
22/02/2012,CQPJ57,50.82
22/02/2012,SAAM06,127.86
22/02/2012,QOKP03,461.63
22/02/2012,LKPN86,70.21
22/02/2012,SFEO61,4.37
22/02/2012,OKYS51,14.57
22/02/2012,MHFC34,94.98
22/02/2012,UIKN63,154.13
22/02/2012,CIXF70,73.88
22/02/2012,WYFO79,70.07
22/02/2012,SBUT62,61.04
22/02/2012,DREA89,72.65
22/02/2012,RNZB01,8.38
22/02/2012,ZFHD93,107.49
22/02/2012,NFAH30,267.65
22/02/2012,KUWI70,6.79
22/02/2012,CVMG22,64.78
22/02/2012,HSWX88,23.52
22/02/2012,VLJL11,315.46
22/02/2012,VCSF07,32.0
22/02/2012,IIZF28,110.15
22/02/2012,VVXA11,310.45
22/02/2012,BDBU00,214.52
22/02/2012,FTFI87,195.1
22/02/2012,DNIL23,189.76
22/02/2012,ZVEN26,41.11
22/02/2012,CBOX52,254.89
22/02/2012,LIIS96,133.49
22/02/2012,FDWI64,28.52
22/02/2012,NCYN50,13.16
22/02/2012,MRAH32,91.88
22/02/2012,FGVK43,40.46
22/02/2012,IJPI82,119.96
22/02/2012,AHMZ79,164.65
22/02/2012,TVQQ54,93.04
22/02/2012,SUOX82,184.84
22/02/2012,QODV38,125.35
22/02/2012,TGZI54,272.4
22/02/2012,BMRZ75,271.35
22/02/2012,QWOA67,185.54
22/02/2012,UEVD88,205.31
22/02/2012,ITTS26,174.99
22/02/2012,ZELV96,27.9
22/02/2012,RFZG50,42.47
22/02/2012,PIFN94,484.39
22/02/2012,YLGZ72,88.34
22/02/2012,ZSXF19,114.77
22/02/2012,IZLM67,75.85
22/02/2012,ORQH73,286.87
22/02/2012,QLMY86,221.85
22/02/2012,VGYT30,140.86
22/02/2012,DGTY64,18.53
22/02/2012,RJCA92,19.46
22/02/2012,JXGF57,126.98
22/02/2012,ZDAI73,204.96
22/02/2012,TKVF94,22.78
22/02/2012,XRBV61,219.15
22/02/2012,QCRG59,190.45
22/02/2012,GZED20,205.61
22/02/2012,VTKE98,74.94
22/02/2012,TYAE14,91.76
22/02/2012,OPET16,6.93
22/02/2012,KEVJ11,16.93
22/02/2012,DBCS17,102.88
22/02/2012,IZTD25,107.52
22/02/2012,KKGI60,139.75
22/02/2012,XHYN07,28.82
22/02/2012,OPZI26,35.77
22/02/2012,HNLV68,68.39
22/02/2012,ZNQA84,78.83
22/02/2012,IBLA29,316.66
22/02/2012,SZRJ90,194.1
22/02/2012,HYSJ42,310.87
22/02/2012,RLZK87,185.46
22/02/2012,NCCX02,207.8
22/02/2012,PVAZ61,137.59
22/02/2012,QBVN33,65.21
22/02/2012,RDBE21,25.32
22/02/2012,FGQR22,17.25
22/02/2012,KKGY69,163.9
22/02/2012,NCXS33,143.18
22/02/2012,NQJL85,81.2
22/02/2012,BBAX06,35.76
22/02/2012,PQSW95,21.33
22/02/2012,VXSM31,102.76
22/02/2012,LAUA80,208.16
22/02/2012,QXFF29,33.59
22/02/2012,LWGE44,8.81
22/02/2012,AMBT33,19.15
22/02/2012,MFZY76,200.19
22/02/2012,BBJG05,202.01
22/02/2012,UACN81,14.92
22/02/2012,NXTO39,178.7
22/02/2012,INIL60,37.83
22/02/2012,MKHA46,197.27
22/02/2012,OUNH49,121.5
22/02/2012,MYXF05,15.52
22/02/2012,GSTD71,91.74
22/02/2012,TQSJ85,191.71
22/02/2012,GGLV00,23.02
22/02/2012,AYIH50,120.8
22/02/2012,RQGG65,67.68
22/02/2012,OHKH76,22.29
22/02/2012,WWNS72,236.94
22/02/2012,SRYE59,3.7
22/02/2012,MFJJ99,69.08
22/02/2012,VVBY18,35.94
22/02/2012,KRRO64,246.94
22/02/2012,JZTC69,179.37
22/02/2012,KRXZ15,260.02
22/02/2012,QMZU44,142.18
22/02/2012,OQXV70,6.62
22/02/2012,FYYD57,146.49
22/02/2012,OCQF34,151.39
22/02/2012,EDYH00,88.69
22/02/2012,ISWT83,126.74
22/02/2012,QBAP68,16.63
22/02/2012,AMRO66,50.4
22/02/2012,YOQG45,25.75
22/02/2012,ESPL27,60.19
22/02/2012,VKMV12,84.06
22/02/2012,FAWI50,260.94
22/02/2012,SMYT95,212.59
22/02/2012,YCZA59,71.91
22/02/2012,ZMLP81,40.06
22/02/2012,MDEQ10,75.73
22/02/2012,JVHD93,6.46
22/02/2012,SXTM39,190.98
22/02/2012,HHFP66,138.34
22/02/2012,JCWS17,151.24
22/02/2012,HHOA99,18.49
22/02/2012,MSHS03,135.27
22/02/2012,YFAM59,93.71
22/02/2012,CAVR54,173.03
22/02/2012,HXDA52,179.74
22/02/2012,PBFW95,221.51
22/02/2012,CMOI26,172.75
22/02/2012,FJOI82,105.49
22/02/2012,WHPS18,40.67
22/02/2012,CUVZ50,79.1
22/02/2012,ZXVX98,144.72
22/02/2012,LIJW00,183.38
22/02/2012,AWYB85,146.48
22/02/2012,DILF10,196.9
