date,companyID,stockPrice
09/10/2012,QETH27,2.0
09/10/2012,DVVB31,213.92
09/10/2012,EMNK67,247.48
09/10/2012,KTLA69,122.1
09/10/2012,EIWJ22,77.5
09/10/2012,SFZS08,191.83
09/10/2012,YSSR29,51.54
09/10/2012,SWGF93,49.38
09/10/2012,YTAI13,124.03
09/10/2012,NGBA40,103.47
09/10/2012,CMZC67,88.74
09/10/2012,PJKH65,18.64
09/10/2012,HWHS51,217.16
09/10/2012,ZBIO05,20.63
09/10/2012,YWMD69,186.99
09/10/2012,EPZN28,39.96
09/10/2012,VAHJ53,53.84
09/10/2012,HWJF09,190.61
09/10/2012,AGBH66,142.07
09/10/2012,TFLS35,22.28
09/10/2012,VPTI00,63.44
09/10/2012,FORM54,20.29
09/10/2012,QLCE04,69.86
09/10/2012,WIZJ73,10.18
09/10/2012,UFAY59,119.14
09/10/2012,DJNE62,101.76
09/10/2012,GBEZ65,73.45
09/10/2012,SXHU74,114.29
09/10/2012,DOGG07,32.85
09/10/2012,HPTP65,212.24
09/10/2012,GIWG34,2.97
09/10/2012,QHXJ50,99.46
09/10/2012,ERHJ34,266.95
09/10/2012,ZEHM52,102.21
09/10/2012,TBVE46,134.66
09/10/2012,RJUD59,13.91
09/10/2012,PKBF70,204.36
09/10/2012,BPLN25,125.69
09/10/2012,WVEI17,94.78
09/10/2012,VESX21,138.03
09/10/2012,UWUK72,117.79
09/10/2012,SHXQ48,83.84
09/10/2012,TRFG21,3.12
09/10/2012,SEKK26,78.78
09/10/2012,EKXA24,70.0
09/10/2012,PNFK78,161.58
09/10/2012,HFLM11,166.33
09/10/2012,VIMV38,172.81
09/10/2012,DDIB11,15.79
09/10/2012,LBKT00,8.93
09/10/2012,WVHK10,103.16
09/10/2012,EWUY52,181.67
09/10/2012,UHOG52,31.9
09/10/2012,GYWU23,17.69
09/10/2012,THJF58,26.08
09/10/2012,QAZT26,284.87
09/10/2012,MEOQ86,5.93
09/10/2012,KKZA87,41.47
09/10/2012,CQPJ57,55.08
09/10/2012,SAAM06,116.66
09/10/2012,QOKP03,323.35
09/10/2012,LKPN86,56.32
09/10/2012,SFEO61,4.17
09/10/2012,OKYS51,12.34
09/10/2012,MHFC34,98.38
09/10/2012,UIKN63,132.41
09/10/2012,CIXF70,55.6
09/10/2012,WYFO79,80.0
09/10/2012,SBUT62,56.02
09/10/2012,DREA89,66.19
09/10/2012,RNZB01,6.87
09/10/2012,ZFHD93,87.9
09/10/2012,NFAH30,295.09
09/10/2012,KUWI70,8.68
09/10/2012,CVMG22,71.69
09/10/2012,HSWX88,19.67
09/10/2012,VLJL11,286.24
09/10/2012,VCSF07,34.64
09/10/2012,IIZF28,101.61
09/10/2012,VVXA11,316.95
09/10/2012,BDBU00,125.51
09/10/2012,FTFI87,211.54
09/10/2012,DNIL23,205.98
09/10/2012,ZVEN26,44.99
09/10/2012,CBOX52,221.97
09/10/2012,LIIS96,143.9
09/10/2012,FDWI64,21.38
09/10/2012,NCYN50,12.65
09/10/2012,MRAH32,108.47
09/10/2012,FGVK43,37.92
09/10/2012,IJPI82,101.67
09/10/2012,AHMZ79,153.1
09/10/2012,TVQQ54,84.38
09/10/2012,SUOX82,153.01
09/10/2012,QODV38,115.45
09/10/2012,TGZI54,311.52
09/10/2012,BMRZ75,258.54
09/10/2012,QWOA67,160.36
09/10/2012,UEVD88,254.94
09/10/2012,ITTS26,162.3
09/10/2012,ZELV96,18.07
09/10/2012,RFZG50,61.14
09/10/2012,PIFN94,439.17
09/10/2012,YLGZ72,75.02
09/10/2012,ZSXF19,65.32
09/10/2012,IZLM67,75.18
09/10/2012,ORQH73,289.18
09/10/2012,QLMY86,209.82
09/10/2012,VGYT30,143.73
09/10/2012,DGTY64,16.85
09/10/2012,RJCA92,21.34
09/10/2012,JXGF57,115.66
09/10/2012,ZDAI73,186.26
09/10/2012,TKVF94,34.85
09/10/2012,XRBV61,199.9
09/10/2012,QCRG59,167.64
09/10/2012,GZED20,213.24
09/10/2012,VTKE98,63.45
09/10/2012,TYAE14,73.43
09/10/2012,OPET16,6.43
09/10/2012,KEVJ11,12.81
09/10/2012,DBCS17,98.01
09/10/2012,IZTD25,111.48
09/10/2012,KKGI60,154.22
09/10/2012,XHYN07,30.99
09/10/2012,OPZI26,37.55
09/10/2012,HNLV68,60.78
09/10/2012,ZNQA84,104.91
09/10/2012,IBLA29,397.62
09/10/2012,SZRJ90,216.26
09/10/2012,HYSJ42,276.23
09/10/2012,RLZK87,172.33
09/10/2012,NCCX02,185.84
09/10/2012,PVAZ61,166.11
09/10/2012,QBVN33,79.08
09/10/2012,RDBE21,25.83
09/10/2012,FGQR22,14.46
09/10/2012,KKGY69,129.41
09/10/2012,NCXS33,154.63
09/10/2012,NQJL85,72.87
09/10/2012,BBAX06,32.82
09/10/2012,PQSW95,23.32
09/10/2012,VXSM31,93.5
09/10/2012,LAUA80,167.01
09/10/2012,QXFF29,38.52
09/10/2012,LWGE44,9.06
09/10/2012,AMBT33,15.97
09/10/2012,MFZY76,136.0
09/10/2012,BBJG05,208.66
09/10/2012,UACN81,14.57
09/10/2012,NXTO39,135.38
09/10/2012,INIL60,32.75
09/10/2012,MKHA46,224.22
09/10/2012,OUNH49,119.3
09/10/2012,MYXF05,14.56
09/10/2012,GSTD71,93.0
09/10/2012,TQSJ85,203.73
09/10/2012,GGLV00,25.6
09/10/2012,AYIH50,123.1
09/10/2012,RQGG65,58.25
09/10/2012,OHKH76,26.13
09/10/2012,WWNS72,220.07
09/10/2012,SRYE59,2.92
09/10/2012,MFJJ99,70.32
09/10/2012,VVBY18,40.35
09/10/2012,KRRO64,258.8
09/10/2012,JZTC69,192.69
09/10/2012,KRXZ15,255.87
09/10/2012,QMZU44,185.3
09/10/2012,OQXV70,6.74
09/10/2012,FYYD57,155.64
09/10/2012,OCQF34,142.92
09/10/2012,EDYH00,72.48
09/10/2012,ISWT83,129.54
09/10/2012,QBAP68,15.64
09/10/2012,AMRO66,59.14
09/10/2012,YOQG45,24.41
09/10/2012,ESPL27,60.99
09/10/2012,VKMV12,85.36
09/10/2012,FAWI50,291.95
09/10/2012,SMYT95,156.42
09/10/2012,YCZA59,96.85
09/10/2012,ZMLP81,40.54
09/10/2012,MDEQ10,75.59
09/10/2012,JVHD93,5.94
09/10/2012,SXTM39,137.11
