date,companyID,stockPrice
01/08/2014,QETH27,2.28
01/08/2014,DVVB31,188.49
01/08/2014,EMNK67,154.26
01/08/2014,KTLA69,118.01
01/08/2014,EIWJ22,60.79
01/08/2014,SFZS08,95.36
01/08/2014,YSSR29,53.54
01/08/2014,SWGF93,28.96
01/08/2014,YTAI13,179.96
01/08/2014,NGBA40,102.22
01/08/2014,CMZC67,63.97
01/08/2014,PJKH65,18.48
01/08/2014,HWHS51,301.98
01/08/2014,ZBIO05,16.07
01/08/2014,YWMD69,154.09
01/08/2014,EPZN28,51.5
01/08/2014,VAHJ53,77.79
01/08/2014,HWJF09,242.97
01/08/2014,AGBH66,121.36
01/08/2014,TFLS35,36.51
01/08/2014,VPTI00,44.98
01/08/2014,FORM54,14.25
01/08/2014,QLCE04,99.0
01/08/2014,WIZJ73,7.92
01/08/2014,UFAY59,104.16
01/08/2014,DJNE62,131.28
01/08/2014,GBEZ65,115.53
01/08/2014,SXHU74,82.73
01/08/2014,DOGG07,31.29
01/08/2014,HPTP65,187.07
01/08/2014,GIWG34,3.72
01/08/2014,QHXJ50,115.76
01/08/2014,ERHJ34,301.41
01/08/2014,ZEHM52,51.41
01/08/2014,TBVE46,139.32
01/08/2014,RJUD59,11.98
01/08/2014,PKBF70,203.19
01/08/2014,BPLN25,111.53
01/08/2014,WVEI17,84.69
01/08/2014,VESX21,178.39
01/08/2014,UWUK72,78.69
01/08/2014,SHXQ48,91.58
01/08/2014,TRFG21,3.12
01/08/2014,SEKK26,69.69
01/08/2014,EKXA24,66.76
01/08/2014,PNFK78,285.29
01/08/2014,HFLM11,131.32
01/08/2014,VIMV38,281.76
01/08/2014,DDIB11,16.23
01/08/2014,LBKT00,6.14
01/08/2014,WVHK10,127.78
01/08/2014,EWUY52,191.99
01/08/2014,UHOG52,37.65
01/08/2014,GYWU23,30.17
01/08/2014,THJF58,19.06
01/08/2014,QAZT26,258.12
01/08/2014,MEOQ86,5.26
01/08/2014,KKZA87,31.68
01/08/2014,CQPJ57,51.63
01/08/2014,SAAM06,142.33
01/08/2014,QOKP03,561.61
01/08/2014,LKPN86,41.8
01/08/2014,SFEO61,4.24
01/08/2014,OKYS51,16.03
01/08/2014,MHFC34,92.68
01/08/2014,UIKN63,193.76
