date,companyID,stockPrice
07/11/2014,QETH27,2.59
07/11/2014,DVVB31,186.58
07/11/2014,EMNK67,135.32
07/11/2014,KTLA69,112.01
07/11/2014,EIWJ22,43.69
07/11/2014,SFZS08,92.48
07/11/2014,YSSR29,49.87
07/11/2014,SWGF93,26.16
07/11/2014,YTAI13,156.4
07/11/2014,NGBA40,98.93
07/11/2014,CMZC67,58.67
07/11/2014,PJKH65,16.71
07/11/2014,HWHS51,302.92
07/11/2014,ZBIO05,16.24
07/11/2014,YWMD69,160.27
07/11/2014,EPZN28,56.06
07/11/2014,VAHJ53,89.25
07/11/2014,HWJF09,244.38
07/11/2014,AGBH66,125.45
07/11/2014,TFLS35,30.51
07/11/2014,VPTI00,50.11
07/11/2014,FORM54,15.67
07/11/2014,QLCE04,104.51
07/11/2014,WIZJ73,8.98
07/11/2014,UFAY59,116.08
07/11/2014,DJNE62,111.24
07/11/2014,GBEZ65,122.97
07/11/2014,SXHU74,80.21
07/11/2014,DOGG07,28.42
07/11/2014,HPTP65,206.94
07/11/2014,GIWG34,3.48
07/11/2014,QHXJ50,113.35
07/11/2014,ERHJ34,286.27
07/11/2014,ZEHM52,50.2
07/11/2014,TBVE46,159.42
07/11/2014,RJUD59,11.46
07/11/2014,PKBF70,197.99
07/11/2014,BPLN25,135.85
07/11/2014,WVEI17,84.67
07/11/2014,VESX21,164.43
07/11/2014,UWUK72,80.46
07/11/2014,SHXQ48,90.12
07/11/2014,TRFG21,3.12
07/11/2014,SEKK26,72.19
07/11/2014,EKXA24,66.12
07/11/2014,PNFK78,263.38
07/11/2014,HFLM11,133.21
07/11/2014,VIMV38,330.23
07/11/2014,DDIB11,17.29
07/11/2014,LBKT00,6.26
07/11/2014,WVHK10,143.07
07/11/2014,EWUY52,240.02
07/11/2014,UHOG52,39.23
07/11/2014,GYWU23,28.09
07/11/2014,THJF58,20.61
07/11/2014,QAZT26,257.14
07/11/2014,MEOQ86,5.28
07/11/2014,KKZA87,29.62
07/11/2014,CQPJ57,48.97
07/11/2014,SAAM06,131.74
07/11/2014,QOKP03,649.92
07/11/2014,LKPN86,45.37
07/11/2014,SFEO61,4.58
07/11/2014,OKYS51,12.43
07/11/2014,MHFC34,101.6
07/11/2014,UIKN63,139.47
07/11/2014,CIXF70,48.0
07/11/2014,WYFO79,94.9
07/11/2014,SBUT62,67.37
07/11/2014,DREA89,48.51
07/11/2014,RNZB01,7.26
07/11/2014,ZFHD93,79.19
07/11/2014,NFAH30,262.76
07/11/2014,KUWI70,13.81
07/11/2014,CVMG22,45.69
07/11/2014,HSWX88,26.23
07/11/2014,VLJL11,261.89
07/11/2014,VCSF07,43.32
07/11/2014,IIZF28,97.29
07/11/2014,VVXA11,210.51
07/11/2014,BDBU00,84.5
07/11/2014,FTFI87,182.13
07/11/2014,DNIL23,181.24
