date,companyID,stockPrice
10/09/2014,QETH27,2.32
10/09/2014,DVVB31,181.46
10/09/2014,EMNK67,158.99
10/09/2014,KTLA69,111.54
10/09/2014,EIWJ22,53.35
10/09/2014,SFZS08,94.94
10/09/2014,YSSR29,50.69
10/09/2014,SWGF93,29.34
10/09/2014,YTAI13,189.43
10/09/2014,NGBA40,108.63
10/09/2014,CMZC67,63.37
10/09/2014,PJKH65,18.53
10/09/2014,HWHS51,313.88
10/09/2014,ZBIO05,16.35
10/09/2014,YWMD69,162.55
10/09/2014,EPZN28,50.52
10/09/2014,VAHJ53,86.19
10/09/2014,HWJF09,229.51
10/09/2014,AGBH66,126.25
10/09/2014,TFLS35,33.72
10/09/2014,VPTI00,46.87
10/09/2014,FORM54,13.68
10/09/2014,QLCE04,107.72
10/09/2014,WIZJ73,8.67
10/09/2014,UFAY59,120.29
10/09/2014,DJNE62,116.06
10/09/2014,GBEZ65,116.45
10/09/2014,SXHU74,85.6
10/09/2014,DOGG07,31.11
10/09/2014,HPTP65,196.22
10/09/2014,GIWG34,3.55
10/09/2014,QHXJ50,120.25
10/09/2014,ERHJ34,314.22
10/09/2014,ZEHM52,47.84
10/09/2014,TBVE46,136.4
10/09/2014,RJUD59,11.54
10/09/2014,PKBF70,204.59
10/09/2014,BPLN25,126.38
10/09/2014,WVEI17,79.01
10/09/2014,VESX21,178.18
10/09/2014,UWUK72,70.77
10/09/2014,SHXQ48,94.42
10/09/2014,TRFG21,3.12
10/09/2014,SEKK26,68.85
10/09/2014,EKXA24,62.05
10/09/2014,PNFK78,279.34
10/09/2014,HFLM11,141.54
10/09/2014,VIMV38,308.99
10/09/2014,DDIB11,16.62
10/09/2014,LBKT00,5.99
10/09/2014,WVHK10,135.76
10/09/2014,EWUY52,221.31
10/09/2014,UHOG52,37.07
10/09/2014,GYWU23,29.41
10/09/2014,THJF58,21.12
10/09/2014,QAZT26,261.97
10/09/2014,MEOQ86,5.15
10/09/2014,KKZA87,30.74
10/09/2014,CQPJ57,46.93
10/09/2014,SAAM06,137.89
10/09/2014,QOKP03,558.86
10/09/2014,LKPN86,42.7
10/09/2014,SFEO61,4.56
10/09/2014,OKYS51,14.48
10/09/2014,MHFC34,99.48
10/09/2014,UIKN63,142.42
10/09/2014,CIXF70,42.37
10/09/2014,WYFO79,79.5
