date,companyID,stockPrice
12/12/2016,QETH27,1.81
12/12/2016,DVVB31,138.22
12/12/2016,EMNK67,107.64
12/12/2016,KTLA69,100.74
12/12/2016,EIWJ22,23.91
12/12/2016,SFZS08,82.81
12/12/2016,YSSR29,30.05
12/12/2016,SWGF93,24.16
12/12/2016,YTAI13,265.46
12/12/2016,NGBA40,106.81
12/12/2016,CMZC67,60.58
12/12/2016,PJKH65,20.22
12/12/2016,HWHS51,220.95
12/12/2016,ZBIO05,9.55
12/12/2016,YWMD69,107.56
12/12/2016,EPZN28,42.95
12/12/2016,VAHJ53,58.1
12/12/2016,HWJF09,324.98
12/12/2016,AGBH66,104.19
12/12/2016,TFLS35,31.22
12/12/2016,VPTI00,67.56
12/12/2016,FORM54,9.65
12/12/2016,QLCE04,130.94
12/12/2016,WIZJ73,10.67
12/12/2016,UFAY59,88.84
12/12/2016,DJNE62,86.36
12/12/2016,GBEZ65,93.88
12/12/2016,SXHU74,81.5
12/12/2016,DOGG07,20.02
12/12/2016,HPTP65,98.78
12/12/2016,GIWG34,2.19
12/12/2016,QHXJ50,115.58
12/12/2016,ERHJ34,436.18
12/12/2016,ZEHM52,53.48
12/12/2016,TBVE46,152.88
12/12/2016,RJUD59,19.16
12/12/2016,PKBF70,235.12
12/12/2016,BPLN25,210.95
12/12/2016,WVEI17,89.41
12/12/2016,VESX21,289.93
12/12/2016,UWUK72,102.34
12/12/2016,SHXQ48,108.97
12/12/2016,TRFG21,3.12
12/12/2016,SEKK26,67.71
12/12/2016,EKXA24,45.94
12/12/2016,PNFK78,324.49
12/12/2016,HFLM11,170.83
12/12/2016,VIMV38,280.24
12/12/2016,DDIB11,19.63
12/12/2016,LBKT00,4.42
12/12/2016,WVHK10,134.62
12/12/2016,EWUY52,284.31
12/12/2016,UHOG52,53.13
12/12/2016,GYWU23,34.0
12/12/2016,THJF58,22.16
12/12/2016,QAZT26,364.41
12/12/2016,MEOQ86,6.45
12/12/2016,KKZA87,35.02
12/12/2016,CQPJ57,50.26
12/12/2016,SAAM06,122.73
12/12/2016,QOKP03,534.54
12/12/2016,LKPN86,51.02
12/12/2016,SFEO61,12.02
12/12/2016,OKYS51,14.47
12/12/2016,MHFC34,115.5
12/12/2016,UIKN63,199.83
12/12/2016,CIXF70,39.53
12/12/2016,WYFO79,157.23
12/12/2016,SBUT62,74.05
12/12/2016,DREA89,42.97
12/12/2016,RNZB01,8.45
12/12/2016,ZFHD93,127.92
12/12/2016,NFAH30,133.52
12/12/2016,KUWI70,12.57
12/12/2016,CVMG22,42.0
12/12/2016,HSWX88,31.02
12/12/2016,VLJL11,237.81
12/12/2016,VCSF07,45.07
12/12/2016,IIZF28,94.41
12/12/2016,VVXA11,240.77
12/12/2016,BDBU00,123.05
12/12/2016,FTFI87,423.52
12/12/2016,DNIL23,224.39
12/12/2016,ZVEN26,47.65
12/12/2016,CBOX52,551.98
12/12/2016,LIIS96,131.39
12/12/2016,FDWI64,17.04
12/12/2016,NCYN50,14.28
12/12/2016,MRAH32,129.49
12/12/2016,FGVK43,16.98
12/12/2016,IJPI82,43.67
12/12/2016,AHMZ79,158.39
12/12/2016,TVQQ54,90.29
12/12/2016,SUOX82,118.26
12/12/2016,QODV38,120.86
12/12/2016,TGZI54,201.82
12/12/2016,BMRZ75,268.18
12/12/2016,QWOA67,157.76
12/12/2016,UEVD88,247.05
12/12/2016,ITTS26,170.7
12/12/2016,ZELV96,15.8
12/12/2016,RFZG50,53.49
12/12/2016,PIFN94,440.09
12/12/2016,YLGZ72,45.88
12/12/2016,ZSXF19,55.3
12/12/2016,IZLM67,96.01
12/12/2016,ORQH73,215.53
12/12/2016,QLMY86,402.59
12/12/2016,VGYT30,215.71
12/12/2016,DGTY64,11.51
12/12/2016,RJCA92,23.02
12/12/2016,JXGF57,157.46
12/12/2016,ZDAI73,190.74
12/12/2016,TKVF94,42.6
12/12/2016,XRBV61,382.34
12/12/2016,QCRG59,232.07
12/12/2016,GZED20,232.07
12/12/2016,VTKE98,113.71
12/12/2016,TYAE14,67.67
12/12/2016,OPET16,5.19
12/12/2016,KEVJ11,20.04
12/12/2016,DBCS17,124.26
12/12/2016,IZTD25,46.45
12/12/2016,KKGI60,149.4
12/12/2016,XHYN07,17.93
12/12/2016,OPZI26,18.55
12/12/2016,HNLV68,58.0
12/12/2016,ZNQA84,132.35
12/12/2016,IBLA29,346.6
12/12/2016,SZRJ90,271.55
12/12/2016,HYSJ42,105.0
12/12/2016,RLZK87,120.3
12/12/2016,NCCX02,658.71
12/12/2016,PVAZ61,126.17
12/12/2016,QBVN33,32.47
12/12/2016,RDBE21,20.78
12/12/2016,FGQR22,9.72
12/12/2016,KKGY69,81.77
12/12/2016,NCXS33,102.02
12/12/2016,NQJL85,38.76
12/12/2016,BBAX06,40.18
12/12/2016,PQSW95,21.32
12/12/2016,VXSM31,94.73
12/12/2016,LAUA80,241.29
12/12/2016,QXFF29,10.06
12/12/2016,LWGE44,5.52
12/12/2016,AMBT33,14.32
12/12/2016,MFZY76,165.07
12/12/2016,BBJG05,189.55
12/12/2016,UACN81,20.83
12/12/2016,NXTO39,158.31
12/12/2016,INIL60,35.0
12/12/2016,MKHA46,265.39
12/12/2016,OUNH49,99.74
12/12/2016,MYXF05,8.33
12/12/2016,GSTD71,64.11
12/12/2016,TQSJ85,358.1
12/12/2016,GGLV00,22.34
12/12/2016,AYIH50,226.03
12/12/2016,RQGG65,48.2
12/12/2016,OHKH76,20.73
12/12/2016,WWNS72,310.01
12/12/2016,SRYE59,2.16
12/12/2016,MFJJ99,32.38
12/12/2016,VVBY18,26.07
12/12/2016,KRRO64,508.57
12/12/2016,JZTC69,211.6
12/12/2016,KRXZ15,230.73
12/12/2016,QMZU44,203.74
12/12/2016,OQXV70,13.41
12/12/2016,FYYD57,124.09
12/12/2016,OCQF34,69.96
12/12/2016,EDYH00,163.79
12/12/2016,ISWT83,172.55
12/12/2016,QBAP68,20.67
12/12/2016,AMRO66,53.63
12/12/2016,YOQG45,57.71
12/12/2016,ESPL27,55.24
12/12/2016,VKMV12,76.03
12/12/2016,FAWI50,140.8
12/12/2016,SMYT95,113.96
12/12/2016,YCZA59,63.91
12/12/2016,ZMLP81,24.73
12/12/2016,MDEQ10,33.39
12/12/2016,JVHD93,8.7
12/12/2016,SXTM39,117.79
12/12/2016,HHFP66,221.91
12/12/2016,JCWS17,114.77
12/12/2016,HHOA99,7.48
12/12/2016,MSHS03,186.81
12/12/2016,YFAM59,76.86
12/12/2016,CAVR54,76.5
12/12/2016,HXDA52,233.57
12/12/2016,PBFW95,151.81
12/12/2016,CMOI26,194.17
12/12/2016,FJOI82,69.59
12/12/2016,WHPS18,40.76
12/12/2016,CUVZ50,93.47
12/12/2016,ZXVX98,54.53
12/12/2016,LIJW00,273.24
12/12/2016,AWYB85,228.86
12/12/2016,DILF10,320.22
