date,companyID,stockPrice
20/03/2016,QETH27,2.44
20/03/2016,DVVB31,144.1
20/03/2016,EMNK67,113.93
20/03/2016,KTLA69,129.01
20/03/2016,EIWJ22,30.31
20/03/2016,SFZS08,71.94
20/03/2016,YSSR29,44.11
20/03/2016,SWGF93,22.61
20/03/2016,YTAI13,301.85
20/03/2016,NGBA40,96.74
20/03/2016,CMZC67,53.57
20/03/2016,PJKH65,13.97
20/03/2016,HWHS51,240.77
20/03/2016,ZBIO05,8.44
20/03/2016,YWMD69,161.1
20/03/2016,EPZN28,45.61
20/03/2016,VAHJ53,78.35
20/03/2016,HWJF09,314.79
20/03/2016,AGBH66,122.89
20/03/2016,TFLS35,28.16
20/03/2016,VPTI00,78.85
20/03/2016,FORM54,11.75
20/03/2016,QLCE04,158.91
20/03/2016,WIZJ73,10.03
20/03/2016,UFAY59,104.04
20/03/2016,DJNE62,89.05
20/03/2016,GBEZ65,118.64
20/03/2016,SXHU74,81.74
20/03/2016,DOGG07,20.49
20/03/2016,HPTP65,114.82
20/03/2016,GIWG34,2.01
20/03/2016,QHXJ50,87.86
20/03/2016,ERHJ34,456.44
20/03/2016,ZEHM52,45.49
20/03/2016,TBVE46,137.74
20/03/2016,RJUD59,13.61
20/03/2016,PKBF70,160.75
20/03/2016,BPLN25,209.64
20/03/2016,WVEI17,75.61
20/03/2016,VESX21,208.07
20/03/2016,UWUK72,81.16
20/03/2016,SHXQ48,73.92
20/03/2016,TRFG21,3.12
20/03/2016,SEKK26,66.18
20/03/2016,EKXA24,47.18
20/03/2016,PNFK78,344.43
20/03/2016,HFLM11,152.68
20/03/2016,VIMV38,205.9
20/03/2016,DDIB11,15.12
20/03/2016,LBKT00,5.78
20/03/2016,WVHK10,118.78
20/03/2016,EWUY52,299.14
20/03/2016,UHOG52,50.3
20/03/2016,GYWU23,30.22
20/03/2016,THJF58,20.31
20/03/2016,QAZT26,288.36
20/03/2016,MEOQ86,4.74
20/03/2016,KKZA87,32.74
20/03/2016,CQPJ57,59.38
20/03/2016,SAAM06,132.78
20/03/2016,QOKP03,647.6
20/03/2016,LKPN86,40.23
20/03/2016,SFEO61,7.42
20/03/2016,OKYS51,16.25
20/03/2016,MHFC34,147.88
20/03/2016,UIKN63,175.29
20/03/2016,CIXF70,39.45
20/03/2016,WYFO79,105.42
20/03/2016,SBUT62,51.13
20/03/2016,DREA89,48.49
20/03/2016,RNZB01,9.68
20/03/2016,ZFHD93,111.3
20/03/2016,NFAH30,131.09
20/03/2016,KUWI70,12.53
20/03/2016,CVMG22,33.58
20/03/2016,HSWX88,26.98
20/03/2016,VLJL11,223.51
20/03/2016,VCSF07,38.84
20/03/2016,IIZF28,105.47
20/03/2016,VVXA11,315.78
20/03/2016,BDBU00,147.31
20/03/2016,FTFI87,281.3
20/03/2016,DNIL23,222.72
20/03/2016,ZVEN26,43.57
20/03/2016,CBOX52,479.22
20/03/2016,LIIS96,137.08
20/03/2016,FDWI64,23.62
20/03/2016,NCYN50,13.69
20/03/2016,MRAH32,130.05
20/03/2016,FGVK43,19.58
20/03/2016,IJPI82,59.31
20/03/2016,AHMZ79,173.61
20/03/2016,TVQQ54,70.78
20/03/2016,SUOX82,106.5
20/03/2016,QODV38,123.62
20/03/2016,TGZI54,207.24
20/03/2016,BMRZ75,271.77
20/03/2016,QWOA67,153.35
20/03/2016,UEVD88,307.17
20/03/2016,ITTS26,139.45
20/03/2016,ZELV96,12.67
20/03/2016,RFZG50,60.81
20/03/2016,PIFN94,427.25
20/03/2016,YLGZ72,46.06
20/03/2016,ZSXF19,51.37
20/03/2016,IZLM67,89.54
20/03/2016,ORQH73,217.64
20/03/2016,QLMY86,365.42
20/03/2016,VGYT30,167.45
20/03/2016,DGTY64,14.44
20/03/2016,RJCA92,21.78
20/03/2016,JXGF57,137.08
20/03/2016,ZDAI73,168.83
20/03/2016,TKVF94,41.68
20/03/2016,XRBV61,381.04
20/03/2016,QCRG59,256.0
20/03/2016,GZED20,270.5
20/03/2016,VTKE98,93.22
20/03/2016,TYAE14,47.65
