date,companyID,stockPrice
28/05/2016,QETH27,2.26
28/05/2016,DVVB31,131.99
28/05/2016,EMNK67,123.71
28/05/2016,KTLA69,116.05
28/05/2016,EIWJ22,32.89
28/05/2016,SFZS08,68.9
28/05/2016,YSSR29,46.67
28/05/2016,SWGF93,19.36
28/05/2016,YTAI13,266.93
28/05/2016,NGBA40,95.84
28/05/2016,CMZC67,51.99
28/05/2016,PJKH65,14.59
28/05/2016,HWHS51,233.9
28/05/2016,ZBIO05,8.61
28/05/2016,YWMD69,136.55
28/05/2016,EPZN28,50.15
28/05/2016,VAHJ53,78.68
28/05/2016,HWJF09,331.06
28/05/2016,AGBH66,114.4
28/05/2016,TFLS35,31.25
28/05/2016,VPTI00,71.23
28/05/2016,FORM54,11.26
28/05/2016,QLCE04,138.25
28/05/2016,WIZJ73,10.93
28/05/2016,UFAY59,100.15
28/05/2016,DJNE62,99.46
28/05/2016,GBEZ65,98.45
28/05/2016,SXHU74,90.26
28/05/2016,DOGG07,21.59
28/05/2016,HPTP65,104.46
28/05/2016,GIWG34,1.95
28/05/2016,QHXJ50,91.65
28/05/2016,ERHJ34,470.15
28/05/2016,ZEHM52,52.95
28/05/2016,TBVE46,139.38
28/05/2016,RJUD59,16.32
28/05/2016,PKBF70,150.17
28/05/2016,BPLN25,205.97
28/05/2016,WVEI17,70.15
28/05/2016,VESX21,229.57
28/05/2016,UWUK72,79.81
28/05/2016,SHXQ48,80.28
28/05/2016,TRFG21,3.12
28/05/2016,SEKK26,73.82
28/05/2016,EKXA24,43.03
28/05/2016,PNFK78,346.59
28/05/2016,HFLM11,168.94
28/05/2016,VIMV38,186.71
28/05/2016,DDIB11,16.88
28/05/2016,LBKT00,4.97
28/05/2016,WVHK10,123.53
28/05/2016,EWUY52,259.81
28/05/2016,UHOG52,54.92
28/05/2016,GYWU23,29.78
28/05/2016,THJF58,17.05
28/05/2016,QAZT26,304.36
28/05/2016,MEOQ86,4.8
28/05/2016,KKZA87,40.36
28/05/2016,CQPJ57,65.1
28/05/2016,SAAM06,117.31
28/05/2016,QOKP03,590.43
28/05/2016,LKPN86,41.25
28/05/2016,SFEO61,9.08
28/05/2016,OKYS51,15.91
28/05/2016,MHFC34,139.51
28/05/2016,UIKN63,166.62
28/05/2016,CIXF70,40.4
28/05/2016,WYFO79,124.6
28/05/2016,SBUT62,53.66
28/05/2016,DREA89,43.81
28/05/2016,RNZB01,9.66
28/05/2016,ZFHD93,107.47
28/05/2016,NFAH30,151.65
28/05/2016,KUWI70,12.17
28/05/2016,CVMG22,36.32
28/05/2016,HSWX88,25.28
28/05/2016,VLJL11,218.3
28/05/2016,VCSF07,40.49
28/05/2016,IIZF28,113.5
28/05/2016,VVXA11,321.1
28/05/2016,BDBU00,150.32
28/05/2016,FTFI87,312.04
28/05/2016,DNIL23,221.73
28/05/2016,ZVEN26,43.26
28/05/2016,CBOX52,467.24
28/05/2016,LIIS96,142.15
28/05/2016,FDWI64,19.28
28/05/2016,NCYN50,14.0
28/05/2016,MRAH32,118.72
28/05/2016,FGVK43,19.02
28/05/2016,IJPI82,52.04
28/05/2016,AHMZ79,161.79
28/05/2016,TVQQ54,74.44
28/05/2016,SUOX82,104.4
28/05/2016,QODV38,125.06
28/05/2016,TGZI54,175.24
28/05/2016,BMRZ75,258.08
28/05/2016,QWOA67,168.33
28/05/2016,UEVD88,316.46
28/05/2016,ITTS26,145.87
28/05/2016,ZELV96,14.67
28/05/2016,RFZG50,52.87
28/05/2016,PIFN94,396.58
28/05/2016,YLGZ72,48.43
28/05/2016,ZSXF19,57.16
28/05/2016,IZLM67,78.01
28/05/2016,ORQH73,220.94
28/05/2016,QLMY86,333.74
28/05/2016,VGYT30,198.29
28/05/2016,DGTY64,12.18
28/05/2016,RJCA92,21.08
28/05/2016,JXGF57,147.59
28/05/2016,ZDAI73,174.69
28/05/2016,TKVF94,42.86
28/05/2016,XRBV61,362.78
28/05/2016,QCRG59,270.23
28/05/2016,GZED20,248.31
28/05/2016,VTKE98,96.14
28/05/2016,TYAE14,52.24
28/05/2016,OPET16,5.33
28/05/2016,KEVJ11,18.49
28/05/2016,DBCS17,130.61
28/05/2016,IZTD25,51.25
28/05/2016,KKGI60,150.82
28/05/2016,XHYN07,25.89
28/05/2016,OPZI26,17.47
28/05/2016,HNLV68,52.84
28/05/2016,ZNQA84,103.36
28/05/2016,IBLA29,268.9
28/05/2016,SZRJ90,318.79
28/05/2016,HYSJ42,108.9
28/05/2016,RLZK87,143.59
28/05/2016,NCCX02,425.07
28/05/2016,PVAZ61,158.43
28/05/2016,QBVN33,39.88
28/05/2016,RDBE21,20.97
28/05/2016,FGQR22,11.27
28/05/2016,KKGY69,84.81
28/05/2016,NCXS33,110.54
28/05/2016,NQJL85,43.92
28/05/2016,BBAX06,43.66
28/05/2016,PQSW95,17.72
28/05/2016,VXSM31,104.1
28/05/2016,LAUA80,239.1
28/05/2016,QXFF29,11.57
28/05/2016,LWGE44,7.42
28/05/2016,AMBT33,18.03
28/05/2016,MFZY76,158.15
28/05/2016,BBJG05,236.1
28/05/2016,UACN81,19.41
28/05/2016,NXTO39,147.24
28/05/2016,INIL60,45.3
28/05/2016,MKHA46,328.57
28/05/2016,OUNH49,109.76
28/05/2016,MYXF05,8.6
28/05/2016,GSTD71,65.71
28/05/2016,TQSJ85,364.65
28/05/2016,GGLV00,17.72
28/05/2016,AYIH50,168.73
28/05/2016,RQGG65,41.42
28/05/2016,OHKH76,24.59
28/05/2016,WWNS72,257.18
28/05/2016,SRYE59,2.25
28/05/2016,MFJJ99,28.54
28/05/2016,VVBY18,26.71
28/05/2016,KRRO64,619.17
28/05/2016,JZTC69,254.21
28/05/2016,KRXZ15,223.33
28/05/2016,QMZU44,254.07
28/05/2016,OQXV70,11.34
28/05/2016,FYYD57,101.35
28/05/2016,OCQF34,79.98
28/05/2016,EDYH00,145.77
28/05/2016,ISWT83,125.94
28/05/2016,QBAP68,21.76
28/05/2016,AMRO66,53.75
28/05/2016,YOQG45,66.3
28/05/2016,ESPL27,53.88
28/05/2016,VKMV12,78.83
28/05/2016,FAWI50,178.3
28/05/2016,SMYT95,141.67
28/05/2016,YCZA59,61.8
28/05/2016,ZMLP81,22.27
28/05/2016,MDEQ10,42.46
28/05/2016,JVHD93,8.7
28/05/2016,SXTM39,112.78
28/05/2016,HHFP66,234.97
28/05/2016,JCWS17,148.47
28/05/2016,HHOA99,8.28
28/05/2016,MSHS03,156.94
28/05/2016,YFAM59,84.47
28/05/2016,CAVR54,87.5
28/05/2016,HXDA52,223.25
28/05/2016,PBFW95,176.33
28/05/2016,CMOI26,190.91
28/05/2016,FJOI82,77.02
28/05/2016,WHPS18,32.19
28/05/2016,CUVZ50,89.47
28/05/2016,ZXVX98,48.85
28/05/2016,LIJW00,206.72
28/05/2016,AWYB85,222.95
28/05/2016,DILF10,350.52
