date,companyID,stockPrice
17/01/2019,QETH27,1.51
17/01/2019,DVVB31,76.86
17/01/2019,EMNK67,113.77
17/01/2019,KTLA69,123.17
17/01/2019,EIWJ22,43.4
17/01/2019,SFZS08,78.37
17/01/2019,YSSR29,28.83
17/01/2019,SWGF93,20.54
17/01/2019,YTAI13,212.3
17/01/2019,NGBA40,203.41
17/01/2019,CMZC67,48.87
17/01/2019,PJKH65,14.09
17/01/2019,HWHS51,246.7
17/01/2019,ZBIO05,8.48
17/01/2019,YWMD69,139.57
17/01/2019,EPZN28,57.03
17/01/2019,VAHJ53,79.59
17/01/2019,HWJF09,443.53
17/01/2019,AGBH66,99.01
17/01/2019,TFLS35,14.43
17/01/2019,VPTI00,70.39
17/01/2019,FORM54,12.43
17/01/2019,QLCE04,115.48
17/01/2019,WIZJ73,12.54
17/01/2019,UFAY59,57.7
17/01/2019,DJNE62,68.15
17/01/2019,GBEZ65,46.81
17/01/2019,SXHU74,71.78
17/01/2019,DOGG07,24.58
17/01/2019,HPTP65,118.67
17/01/2019,GIWG34,2.29
17/01/2019,QHXJ50,154.84
17/01/2019,ERHJ34,762.66
17/01/2019,ZEHM52,34.57
17/01/2019,TBVE46,150.32
17/01/2019,RJUD59,9.78
17/01/2019,PKBF70,133.89
17/01/2019,BPLN25,184.74
17/01/2019,WVEI17,92.04
17/01/2019,VESX21,332.31
17/01/2019,UWUK72,74.42
17/01/2019,SHXQ48,116.72
17/01/2019,TRFG21,3.12
17/01/2019,SEKK26,52.39
17/01/2019,EKXA24,30.01
17/01/2019,PNFK78,281.93
17/01/2019,HFLM11,119.84
17/01/2019,VIMV38,305.54
17/01/2019,DDIB11,30.74
17/01/2019,LBKT00,4.79
17/01/2019,WVHK10,145.64
17/01/2019,EWUY52,270.26
17/01/2019,UHOG52,64.01
17/01/2019,GYWU23,36.09
17/01/2019,THJF58,19.75
17/01/2019,QAZT26,303.44
17/01/2019,MEOQ86,6.33
17/01/2019,KKZA87,33.29
17/01/2019,CQPJ57,51.38
17/01/2019,SAAM06,136.08
17/01/2019,QOKP03,702.88
17/01/2019,LKPN86,65.04
17/01/2019,SFEO61,14.97
17/01/2019,OKYS51,4.98
17/01/2019,MHFC34,122.74
17/01/2019,UIKN63,155.91
17/01/2019,CIXF70,48.71
17/01/2019,WYFO79,168.39
17/01/2019,SBUT62,72.58
17/01/2019,DREA89,35.12
17/01/2019,RNZB01,5.7
