date,companyID,stockPrice
26/07/2019,QETH27,1.3
26/07/2019,DVVB31,72.07
26/07/2019,EMNK67,112.15
26/07/2019,KTLA69,114.62
26/07/2019,EIWJ22,33.81
26/07/2019,SFZS08,77.34
26/07/2019,YSSR29,23.91
26/07/2019,SWGF93,24.5
26/07/2019,YTAI13,206.4
26/07/2019,NGBA40,234.37
26/07/2019,CMZC67,49.99
26/07/2019,PJKH65,11.53
26/07/2019,HWHS51,259.49
26/07/2019,ZBIO05,9.0
26/07/2019,YWMD69,122.92
26/07/2019,EPZN28,61.59
26/07/2019,VAHJ53,62.5
26/07/2019,HWJF09,341.05
26/07/2019,AGBH66,142.03
26/07/2019,TFLS35,16.68
26/07/2019,VPTI00,63.1
26/07/2019,FORM54,14.01
26/07/2019,QLCE04,159.12
26/07/2019,WIZJ73,13.83
26/07/2019,UFAY59,53.88
26/07/2019,DJNE62,53.54
26/07/2019,GBEZ65,42.67
26/07/2019,SXHU74,48.61
26/07/2019,DOGG07,28.83
26/07/2019,HPTP65,128.73
26/07/2019,GIWG34,1.68
26/07/2019,QHXJ50,177.96
26/07/2019,ERHJ34,737.17
26/07/2019,ZEHM52,33.81
26/07/2019,TBVE46,123.5
26/07/2019,RJUD59,11.12
26/07/2019,PKBF70,108.47
26/07/2019,BPLN25,199.77
26/07/2019,WVEI17,104.02
26/07/2019,VESX21,417.28
26/07/2019,UWUK72,71.04
26/07/2019,SHXQ48,119.95
26/07/2019,TRFG21,3.12
26/07/2019,SEKK26,65.72
26/07/2019,EKXA24,35.63
26/07/2019,PNFK78,394.89
26/07/2019,HFLM11,121.4
26/07/2019,VIMV38,234.8
26/07/2019,DDIB11,33.91
26/07/2019,LBKT00,4.11
26/07/2019,WVHK10,166.83
26/07/2019,EWUY52,342.64
26/07/2019,UHOG52,69.36
26/07/2019,GYWU23,38.63
26/07/2019,THJF58,14.3
26/07/2019,QAZT26,365.67
26/07/2019,MEOQ86,5.85
26/07/2019,KKZA87,26.43
26/07/2019,CQPJ57,52.72
26/07/2019,SAAM06,120.24
26/07/2019,QOKP03,732.66
26/07/2019,LKPN86,53.01
26/07/2019,SFEO61,13.44
26/07/2019,OKYS51,4.63
26/07/2019,MHFC34,99.24
26/07/2019,UIKN63,149.5
26/07/2019,CIXF70,43.66
26/07/2019,WYFO79,176.34
26/07/2019,SBUT62,79.48
26/07/2019,DREA89,34.09
26/07/2019,RNZB01,4.91
26/07/2019,ZFHD93,107.51
26/07/2019,NFAH30,222.19
26/07/2019,KUWI70,10.97
26/07/2019,CVMG22,31.89
26/07/2019,HSWX88,34.34
26/07/2019,VLJL11,245.64
26/07/2019,VCSF07,35.4
26/07/2019,IIZF28,62.12
26/07/2019,VVXA11,120.35
26/07/2019,BDBU00,106.75
26/07/2019,FTFI87,613.97
