date,companyID,stockPrice
20/06/2019,QETH27,1.33
20/06/2019,DVVB31,70.94
20/06/2019,EMNK67,122.12
20/06/2019,KTLA69,126.71
20/06/2019,EIWJ22,34.3
20/06/2019,SFZS08,74.1
20/06/2019,YSSR29,24.38
20/06/2019,SWGF93,24.95
20/06/2019,YTAI13,217.78
20/06/2019,NGBA40,229.56
20/06/2019,CMZC67,46.48
20/06/2019,PJKH65,12.2
20/06/2019,HWHS51,264.65
20/06/2019,ZBIO05,8.41
20/06/2019,YWMD69,119.88
20/06/2019,EPZN28,60.25
20/06/2019,VAHJ53,63.37
20/06/2019,HWJF09,344.22
20/06/2019,AGBH66,135.0
20/06/2019,TFLS35,15.04
20/06/2019,VPTI00,64.71
20/06/2019,FORM54,13.2
20/06/2019,QLCE04,137.7
20/06/2019,WIZJ73,13.72
20/06/2019,UFAY59,61.61
20/06/2019,DJNE62,55.72
20/06/2019,GBEZ65,43.67
20/06/2019,SXHU74,51.11
20/06/2019,DOGG07,27.52
20/06/2019,HPTP65,135.42
20/06/2019,GIWG34,1.7
20/06/2019,QHXJ50,154.15
20/06/2019,ERHJ34,694.16
20/06/2019,ZEHM52,33.92
20/06/2019,TBVE46,125.64
20/06/2019,RJUD59,10.64
20/06/2019,PKBF70,108.19
20/06/2019,BPLN25,226.32
20/06/2019,WVEI17,102.6
20/06/2019,VESX21,377.8
20/06/2019,UWUK72,65.49
20/06/2019,SHXQ48,122.88
20/06/2019,TRFG21,3.12
20/06/2019,SEKK26,62.43
20/06/2019,EKXA24,34.62
20/06/2019,PNFK78,363.15
20/06/2019,HFLM11,114.9
20/06/2019,VIMV38,243.82
20/06/2019,DDIB11,30.6
20/06/2019,LBKT00,4.14
20/06/2019,WVHK10,149.96
20/06/2019,EWUY52,331.98
20/06/2019,UHOG52,77.68
20/06/2019,GYWU23,38.04
20/06/2019,THJF58,14.32
20/06/2019,QAZT26,328.81
20/06/2019,MEOQ86,5.75
20/06/2019,KKZA87,29.37
20/06/2019,CQPJ57,52.48
20/06/2019,SAAM06,121.2
20/06/2019,QOKP03,629.35
20/06/2019,LKPN86,56.93
20/06/2019,SFEO61,13.22
20/06/2019,OKYS51,4.43
